Type of data	Overall and by COICOP group	Period	Total
Monthly change	Overall index	2008M06	0.6
Monthly change	Overall index	2008M05	0.7
Monthly change	Overall index	2008M04	1.1
Monthly change	Overall index	2008M03	0.9
Monthly change	Overall index	2008M02	0.2
Monthly change	Overall index	2008M01	-0.6
Monthly change	Overall index	2007M12	0.4
Monthly change	Overall index	2007M11	0.7
Monthly change	Overall index	2007M10	1.3
Monthly change	Overall index	2007M09	0.3
Monthly change	Overall index	2007M08	0.1
Monthly change	Overall index	2007M07	-0.7
Monthly change	Overall index	2007M06	0.2
Monthly change	Overall index	2007M05	0.3
Monthly change	Overall index	2007M04	1.4
Monthly change	Overall index	2007M03	0.8
Monthly change	Overall index	2007M02	0.1
Monthly change	Overall index	2007M01	-0.7
Monthly change	Overall index	2006M12	0.3
Monthly change	Overall index	2006M11	0.2
Monthly change	Overall index	2006M10	0.4
Monthly change	Overall index	2006M09	-0.2
Monthly change	Overall index	2006M08	0.2
Monthly change	Overall index	2006M07	-0.6
Monthly change	Overall index	2006M06	0.2
Monthly change	Overall index	2006M05	0.4
Monthly change	Overall index	2006M04	1.4
Monthly change	Overall index	2006M03	0.7
Monthly change	Overall index	2006M02	0.0
Monthly change	Overall index	2006M01	-0.4
Monthly change	Overall index	2005M12	0.2
Monthly change	Overall index	2005M11	0.2
Monthly change	Overall index	2005M10	0.8
Monthly change	Overall index	2005M09	0.6
Monthly change	Overall index	2005M08	0.4
Monthly change	Overall index	2005M07	-0.6
Monthly change	Overall index	2005M06	0.2
Monthly change	Overall index	2005M05	0.2
Monthly change	Overall index	2005M04	1.4
Monthly change	Overall index	2005M03	0.8
Monthly change	Overall index	2005M02	0.3
Monthly change	Overall index	2005M01	-0.8
Monthly change	Overall index	2004M12	-0.1
Monthly change	Overall index	2004M11	0.2
Monthly change	Overall index	2004M10	1.0
Monthly change	Overall index	2004M09	0.2
Monthly change	Overall index	2004M08	0.4
Monthly change	Overall index	2004M07	-0.8
Monthly change	Overall index	2004M06	0.2
Monthly change	Overall index	2004M05	0.6
Monthly change	Overall index	2004M04	1.4
Monthly change	Overall index	2004M03	0.7
Monthly change	Overall index	2004M02	0.0
Monthly change	Overall index	2004M01	-0.7
Monthly change	Overall index	2003M12	0.2
Monthly change	Overall index	2003M11	0.3
Monthly change	Overall index	2003M10	0.7
Monthly change	Overall index	2003M09	0.3
Monthly change	Overall index	2003M08	0.5
Monthly change	Overall index	2003M07	-0.6
Monthly change	Overall index	2003M06	0.1
Monthly change	Overall index	2003M05	-0.1
Monthly change	Overall index	2003M04	0.8
Monthly change	Overall index	2003M03	0.7
Monthly change	Overall index	2003M02	0.2
Monthly change	Overall index	2003M01	-0.4
Monthly change	Overall index	2002M12	0.3
Monthly change	Overall index	2002M11	0.2
Monthly change	Overall index	2002M10	1.0
Monthly change	Overall index	2002M09	0.4
Monthly change	Overall index	2002M08	0.3
Monthly change	Overall index	2002M07	-0.7
Monthly change	Overall index	2002M06	0.0
Monthly change	Overall index	2002M05	0.4
Monthly change	Overall index	2002M04	1.4
Monthly change	Overall index	2002M03	0.8
Monthly change	Overall index	2002M02	0.1
Monthly change	Overall index	2002M01	-0.1
Monthly change	Overall index	2001M12	0.4
Monthly change	Overall index	2001M11	-0.1
Monthly change	Overall index	2001M10	-0.1
Monthly change	Overall index	2001M09	0.0
Monthly change	Overall index	2001M08	0.2
Monthly change	Overall index	2001M07	0.2
Monthly change	Overall index	2001M06	0.3
Monthly change	Overall index	2001M05	0.4
Monthly change	Overall index	2001M04	0.5
Monthly change	Overall index	2001M03	0.4
Monthly change	Overall index	2001M02	0.3
Monthly change	Overall index	2001M01	0.0
Monthly change	Overall index	2000M12	0.3
Monthly change	Overall index	2000M11	0.2
Monthly change	Overall index	2000M10	0.3
Monthly change	Overall index	2000M09	0.3
Monthly change	Overall index	2000M08	0.4
Monthly change	Overall index	2000M07	0.6
Monthly change	Overall index	2000M06	0.3
Monthly change	Overall index	2000M05	0.2
Monthly change	Overall index	2000M04	0.4
Monthly change	Overall index	2000M03	0.4
Monthly change	Overall index	2000M02	0.1
Monthly change	Overall index	2000M01	0.3
Monthly change	Overall index	1999M12	0.5
Monthly change	Overall index	1999M11	0.2
Monthly change	Overall index	1999M10	0.0
Monthly change	Overall index	1999M09	0.2
Monthly change	Overall index	1999M08	0.4
Monthly change	Overall index	1999M07	0.4
Monthly change	Overall index	1999M06	0.0
Monthly change	Overall index	1999M05	0.0
Monthly change	Overall index	1999M04	0.4
Monthly change	Overall index	1999M03	0.4
Monthly change	Overall index	1999M02	0.1
Monthly change	Overall index	1999M01	0.4
Monthly change	Overall index	1998M12	0.3
Monthly change	Overall index	1998M11	-0.1
Monthly change	Overall index	1998M10	0.0
Monthly change	Overall index	1998M09	0.1
Monthly change	Overall index	1998M08	0.3
Monthly change	Overall index	1998M07	0.4
Monthly change	Overall index	1998M06	0.1
Monthly change	Overall index	1998M05	0.1
Monthly change	Overall index	1998M04	0.2
Monthly change	Overall index	1998M03	0.0
Monthly change	Overall index	1998M02	-0.2
Monthly change	Overall index	1998M01	0.2
Monthly change	Overall index	1997M12	0.3
Monthly change	Overall index	1997M11	0.2
Monthly change	Overall index	1997M10	0.0
Monthly change	Overall index	1997M09	0.5
Monthly change	Overall index	1997M08	0.4
Monthly change	Overall index	1997M07	0.2
Monthly change	Overall index	1997M06	0.0
Monthly change	Overall index	1997M05	0.1
Monthly change	Overall index	1997M04	0.0
Monthly change	Overall index	1997M03	0.0
Monthly change	Overall index	1997M02	-0.1
Monthly change	Overall index	1997M01	0.3
Monthly change	Overall index	1996M12	0.3
Monthly change	Overall index	1996M11	0.0
Monthly change	Overall index	1996M10	0.1
Monthly change	Overall index	1996M09	0.2
Monthly change	Overall index	1996M08	0.3
Monthly change	Overall index	1996M07	0.1
Monthly change	Overall index	1996M06	-0.1
Monthly change	Overall index	1996M05	0.3
Monthly change	Overall index	1996M04	0.6
Monthly change	Overall index	1996M03	0.4
Monthly change	Overall index	1996M02	0.3
Monthly change	Overall index	1996M01	0.6
Monthly change	Overall index	1995M12	0.3
Monthly change	Overall index	1995M11	0.3
Monthly change	Overall index	1995M10	0.2
Monthly change	Overall index	1995M09	0.4
Monthly change	Overall index	1995M08	0.3
Monthly change	Overall index	1995M07	0.0
Monthly change	Overall index	1995M06	0.1
Monthly change	Overall index	1995M05	0.0
Monthly change	Overall index	1995M04	0.5
Monthly change	Overall index	1995M03	0.6
Monthly change	Overall index	1995M02	0.5
Monthly change	Overall index	1995M01	1.0
Monthly change	Overall index	1994M12	0.4
Monthly change	Overall index	1994M11	0.2
Monthly change	Overall index	1994M10	0.2
Monthly change	Overall index	1994M09	0.3
Monthly change	Overall index	1994M08	0.6
Monthly change	Overall index	1994M07	0.4
Monthly change	Overall index	1994M06	0.1
Monthly change	Overall index	1994M05	0.2
Monthly change	Overall index	1994M04	0.4
Monthly change	Overall index	1994M03	0.3
Monthly change	Overall index	1994M02	0.0
Monthly change	Overall index	1994M01	1.0
Monthly change	Overall index	1993M12	0.5
Monthly change	Overall index	1993M11	0.2
Monthly change	Overall index	1993M10	0.4
Monthly change	Overall index	1993M09	0.6
Monthly change	Overall index	1993M08	0.6
Monthly change	Overall index	1993M07	0.4
Monthly change	Overall index	1993M06	0.2
Monthly change	Overall index	1993M05	0.3
Monthly change	Overall index	1993M04	0.4
Monthly change	Overall index	1993M03	0.4
Monthly change	Overall index	1993M02	0.0
Monthly change	Overall index	1993M01	0.9
Monthly change	Overall index	1992M12	0.3
Monthly change	Overall index	1992M11	0.1
Monthly change	Overall index	1992M10	0.1
Monthly change	Overall index	1992M09	0.8
Monthly change	Overall index	1992M08	0.9
Monthly change	Overall index	1992M07	0.3
Monthly change	Overall index	1992M06	0.0
Monthly change	Overall index	1992M05	0.3
Monthly change	Overall index	1992M04	-0.1
Monthly change	Overall index	1992M03	0.4
Monthly change	Overall index	1992M02	0.7
Monthly change	Overall index	1992M01	1.6
Monthly change	Overall index	1991M12	0.1
Monthly change	Overall index	1991M11	0.2
Monthly change	Overall index	1991M10	0.6
Monthly change	Overall index	1991M09	0.8
Monthly change	Overall index	1991M08	0.4
Monthly change	Overall index	1991M07	1.2
Monthly change	Overall index	1991M06	0.3
Monthly change	Overall index	1991M05	0.3
Monthly change	Overall index	1991M04	0.2
Monthly change	Overall index	1991M03	0.3
Monthly change	Overall index	1991M02	-0.1
Monthly change	Overall index	1991M01	1.2
Monthly change	Overall index	1990M12	0.2
Monthly change	Overall index	1990M11	-0.1
Monthly change	Overall index	1990M10	0.9
Monthly change	Overall index	1990M09	1.1
Monthly change	Overall index	1990M08	0.4
Monthly change	Overall index	1990M07	1.3
Monthly change	Overall index	1990M06	0.3
Monthly change	Overall index	1990M05	0.0
Monthly change	Overall index	1990M04	0.2
Monthly change	Overall index	1990M03	0.4
Monthly change	Overall index	1990M02	0.6
Monthly change	Overall index	1990M01	1.0
Monthly change	Overall index	1989M12	0.4
Monthly change	Overall index	1989M11	0.2
Monthly change	Overall index	1989M10	0.4
Monthly change	Overall index	1989M09	1.1
Monthly change	Overall index	1989M08	0.2
Monthly change	Overall index	1989M07	1.6
Monthly change	Overall index	1989M06	0.5
Monthly change	Overall index	1989M05	0.1
Monthly change	Overall index	1989M04	0.3
Monthly change	Overall index	1989M03	0.6
Monthly change	Overall index	1989M02	0.1
Monthly change	Overall index	1989M01	1.2
Monthly change	Overall index	1988M12	0.8
Monthly change	Overall index	1988M11	-0.1
Monthly change	Overall index	1988M10	0.1
Monthly change	Overall index	1988M09	0.9
Monthly change	Overall index	1988M08	1.0
Monthly change	Overall index	1988M07	1.3
Monthly change	Overall index	1988M06	0.4
Monthly change	Overall index	1988M05	0.0
Monthly change	Overall index	1988M04	-0.3
Monthly change	Overall index	1988M03	0.7
Monthly change	Overall index	1988M02	0.3
Monthly change	Overall index	1988M01	0.6
Monthly change	Overall index	1987M12	0.4
Monthly change	Overall index	1987M11	-0.2
Monthly change	Overall index	1987M10	0.6
Monthly change	Overall index	1987M09	0.9
Monthly change	Overall index	1987M08	0.0
Monthly change	Overall index	1987M07	1.0
Monthly change	Overall index	1987M06	0.0
Monthly change	Overall index	1987M05	-0.1
Monthly change	Overall index	1987M04	0.2
Monthly change	Overall index	1987M03	0.6
Monthly change	Overall index	1987M02	0.4
Monthly change	Overall index	1987M01	0.8
Monthly change	Overall index	1986M12	0.4
Monthly change	Overall index	1986M11	-0.2
Monthly change	Overall index	1986M10	0.4
Monthly change	Overall index	1986M09	1.0
Monthly change	Overall index	1986M08	0.3
Monthly change	Overall index	1986M07	1.0
Monthly change	Overall index	1986M06	0.9
Monthly change	Overall index	1986M05	0.3
Monthly change	Overall index	1986M04	0.2
Monthly change	Overall index	1986M03	0.3
Monthly change	Overall index	1986M02	0.4
Monthly change	Overall index	1986M01	2.9
Monthly change	Overall index	1985M12	0.4
Monthly change	Overall index	1985M11	0.8
Monthly change	Overall index	1985M10	0.5
Monthly change	Overall index	1985M09	1.1
Monthly change	Overall index	1985M08	0.1
Monthly change	Overall index	1985M07	0.6
Monthly change	Overall index	1985M06	-0.2
Monthly change	Overall index	1985M05	0.3
Monthly change	Overall index	1985M04	1.0
Monthly change	Overall index	1985M03	0.6
Monthly change	Overall index	1985M02	0.7
Monthly change	Overall index	1985M01	1.9
Monthly change	Overall index	1984M12	0.7
Monthly change	Overall index	1984M11	0.5
Monthly change	Overall index	1984M10	0.6
Monthly change	Overall index	1984M09	0.2
Monthly change	Overall index	1984M08	0.7
Monthly change	Overall index	1984M07	1.5
Monthly change	Overall index	1984M06	0.7
Monthly change	Overall index	1984M05	0.5
Monthly change	Overall index	1984M04	0.5
Monthly change	Overall index	1984M03	0.8
Monthly change	Overall index	1984M02	0.4
Monthly change	Overall index	1984M01	1.5
Monthly change	Overall index	1983M12	1.6
Monthly change	Overall index	1983M11	1.0
Monthly change	Overall index	1983M10	1.4
Monthly change	Overall index	1983M09	0.8
Monthly change	Overall index	1983M08	1.3
Monthly change	Overall index	1983M07	0.4
Monthly change	Overall index	1983M06	0.6
Monthly change	Overall index	1983M05	0.4
Monthly change	Overall index	1983M04	1.4
Monthly change	Overall index	1983M03	0.6
Monthly change	Overall index	1983M02	0.5
Monthly change	Overall index	1983M01	1.7
Monthly change	Overall index	1982M12	2.2
Monthly change	Overall index	1982M11	0.3
Monthly change	Overall index	1982M10	1.0
Monthly change	Overall index	1982M09	0.1
Monthly change	Overall index	1982M08	0.7
Monthly change	Overall index	1982M07	1.3
Monthly change	Overall index	1982M06	1.0
Monthly change	Overall index	1982M05	1.4
Monthly change	Overall index	1982M04	1.3
Monthly change	Overall index	1982M03	1.0
Monthly change	Overall index	1982M02	0.8
Monthly change	Overall index	1982M01	2.1
Monthly change	Overall index	1981M12	1.5
Monthly change	Overall index	1981M11	0.9
Monthly change	Overall index	1981M10	1.1
Monthly change	Overall index	1981M09	0.8
Monthly change	Overall index	1981M08	1.2
Monthly change	Overall index	1981M07	2.0
Monthly change	Overall index	1981M06	0.1
Monthly change	Overall index	1981M05	0.5
Monthly change	Overall index	1981M04	1.0
Monthly change	Overall index	1981M03	2.0
Monthly change	Overall index	1981M02	0.5
Monthly change	Overall index	1981M01	2.0
Monthly change	Overall index	1980M12	1.4
Monthly change	Overall index	1980M11	1.0
Monthly change	Overall index	1980M10	0.8
Monthly change	Overall index	1980M09	1.1
Monthly change	Overall index	1980M08	1.2
Monthly change	Overall index	1980M07	1.4
Monthly change	Overall index	1980M06	1.6
Monthly change	Overall index	1980M05	0.7
Monthly change	Overall index	1980M04	1.0
Monthly change	Overall index	1980M03	0.5
Monthly change	Overall index	1980M02	0.9
Monthly change	Overall index	1980M01	2.8
Monthly change	Overall index	1979M12	1.5
Monthly change	Overall index	1979M11	0.2
Monthly change	Overall index	1979M10	1.3
Monthly change	Overall index	1979M09	1.3
Monthly change	Overall index	1979M08	1.0
Monthly change	Overall index	1979M07	2.2
Monthly change	Overall index	1979M06	0.9
Monthly change	Overall index	1979M05	1.2
Monthly change	Overall index	1979M04	1.5
Monthly change	Overall index	1979M03	1.0
Monthly change	Overall index	1979M02	0.8
Monthly change	Overall index	1979M01	1.7
Monthly change	Overall index	1978M12	1.4
Monthly change	Overall index	1978M11	0.4
Monthly change	Overall index	1978M10	0.9
Monthly change	Overall index	1978M09	0.8
Monthly change	Overall index	1978M08	1.7
Monthly change	Overall index	1978M07	2.2
Monthly change	Overall index	1978M06	1.0
Monthly change	Overall index	1978M05	1.0
Monthly change	Overall index	1978M04	2.1
Monthly change	Overall index	1978M03	1.3
Monthly change	Overall index	1978M02	1.0
Monthly change	Overall index	1978M01	1.6
Monthly change	Overall index	1977M12	0.8
Monthly change	Overall index	1977M11	0.8
Monthly change	Overall index	1977M10	1.6
Monthly change	Overall index	1977M09	1.4
Monthly change	Overall index	1977M08	3.2
Monthly change	Overall index	1977M07	3.3
Monthly change	Overall index	1977M06	2.8
Monthly change	Overall index	1977M05	0.9
Monthly change	Overall index	1977M04	1.8
Monthly change	Overall index	1977M03	2.4
Monthly change	Overall index	1977M02	1.5
Monthly change	Overall index	1977M01	3.3
Monthly change	Overall index	1976M12	1.0
Monthly change	Overall index	1976M11	1.9
Monthly change	Overall index	1976M10	1.4
Monthly change	Overall index	1976M09	1.9
Monthly change	Overall index	1976M08	0.8
Monthly change	Overall index	1976M07	0.6
Monthly change	Overall index	1976M06	-0.6
Monthly change	Overall index	1976M05	4.6
Monthly change	Overall index	1976M04	2.0
Monthly change	Overall index	1976M03	2.3
Monthly change	Overall index	1976M02	1.1
Monthly change	Overall index	1976M01	1.2
Monthly change	Overall index	1975M12	1.6
Monthly change	Overall index	1975M11	0.7
Monthly change	Overall index	1975M10	0.0
Monthly change	Overall index	1975M09	1.6
Monthly change	Overall index	1975M08	1.6
Monthly change	Overall index	1975M07	1.6
Monthly change	Overall index	1975M06	0.3
Monthly change	Overall index	1975M05	1.2
Monthly change	Overall index	1975M04	1.8
Monthly change	Overall index	1975M03	0.7
Monthly change	Overall index	1975M02	1.0
Monthly change	Overall index	1975M01	1.4
Monthly change	Overall index	1974M12	1.4
Monthly change	Overall index	1974M11	2.8
Monthly change	Overall index	1974M10	1.1
Monthly change	Overall index	1974M09	1.6
Monthly change	Overall index	1974M08	1.7
Monthly change	Overall index	1974M07	1.2
Monthly change	Overall index	1974M06	0.4
Monthly change	Overall index	1974M05	1.3
Monthly change	Overall index	1974M04	2.2
Monthly change	Overall index	1974M03	2.2
Monthly change	Overall index	1974M02	0.3
Monthly change	Overall index	1974M01	0.6
Monthly change	Overall index	1973M12	1.1
Monthly change	Overall index	1973M11	0.1
Monthly change	Overall index	1973M10	1.6
Monthly change	Overall index	1973M09	1.7
Monthly change	Overall index	1973M08	1.6
Monthly change	Overall index	1973M07	1.1
Monthly change	Overall index	1973M06	1.5
Monthly change	Overall index	1973M05	1.5
Monthly change	Overall index	1973M04	1.4
Monthly change	Overall index	1973M03	0.8
Monthly change	Overall index	1973M02	0.2
Monthly change	Overall index	1973M01	0.7
Monthly change	Overall index	1972M12	0.8
Monthly change	Overall index	1972M11	0.2
Monthly change	Overall index	1972M10	0.7
Monthly change	Overall index	1972M09	1.4
Monthly change	Overall index	1972M08	1.0
Monthly change	Overall index	1972M07	1.4
Monthly change	Overall index	1972M06	0.2
Monthly change	Overall index	1972M05	0.5
Monthly change	Overall index	1972M04	0.0
Monthly change	Overall index	1972M03	1.0
Monthly change	Overall index	1972M02	-0.1
Monthly change	Overall index	1972M01	0.1
Monthly change	Overall index	1971M12	1.3
Monthly change	Overall index	1971M11	1.4
Monthly change	Overall index	1971M10	1.1
Monthly change	Overall index	1971M09	1.2
Monthly change	Overall index	1971M08	0.2
Monthly change	Overall index	1971M07	0.0
Monthly change	Overall index	1971M06	0.4
Monthly change	Overall index	1971M05	0.6
Monthly change	Overall index	1971M04	1.1
Monthly change	Overall index	1971M03	1.1
Monthly change	Overall index	1971M02	-0.1
Monthly change	Overall index	1971M01	1.1
Monthly change	Overall index	1970M12	0.3
Monthly change	Overall index	1970M11	0.3
Monthly change	Overall index	1970M10	1.0
Monthly change	Overall index	1970M09	0.5
Monthly change	Overall index	1970M08	1.6
Monthly change	Overall index	1970M07	1.9
Monthly change	Overall index	1970M06	0.4
Monthly change	Overall index	1970M05	-0.7
Monthly change	Overall index	1970M04	0.6
Monthly change	Overall index	1970M03	0.8
Monthly change	Overall index	1970M02	-0.4
Monthly change	Overall index	1970M01	0.5
Monthly change	Overall index	1969M12	1.1
Monthly change	Overall index	1969M11	0.9
Monthly change	Overall index	1969M10	0.4
Monthly change	Overall index	1969M09	0.2
Monthly change	Overall index	1969M08	0.3
Monthly change	Overall index	1969M07	0.8
Monthly change	Overall index	1969M06	-1.2
Monthly change	Overall index	1969M05	0.0
Monthly change	Overall index	1969M04	1.2
Monthly change	Overall index	1969M03	0.6
Monthly change	Overall index	1969M02	-0.6
Monthly change	Overall index	1969M01	-0.2
Monthly change	Overall index	1968M12	0.7
Monthly change	Overall index	1968M11	0.7
Monthly change	Overall index	1968M10	0.3
Monthly change	Overall index	1968M09	-0.2
Monthly change	Overall index	1968M08	0.1
Monthly change	Overall index	1968M07	-0.8
Monthly change	Overall index	1968M06	0.3
Monthly change	Overall index	1968M05	-0.3
Monthly change	Overall index	1968M04	0.9
Monthly change	Overall index	1968M03	1.0
Monthly change	Overall index	1968M02	0.0
Monthly change	Overall index	1968M01	0.3
Monthly change	Overall index	1967M12	0.0
Monthly change	Overall index	1967M11	2.1
Monthly change	Overall index	1967M10	0.4
Monthly change	Overall index	1967M09	0.3
Monthly change	Overall index	1967M08	1.5
Monthly change	Overall index	1967M07	0.1
Monthly change	Overall index	1967M06	-0.9
Monthly change	Overall index	1967M05	0.3
Monthly change	Overall index	1967M04	1.4
Monthly change	Overall index	1967M03	0.4
Monthly change	Overall index	1967M02	0.8
Monthly change	Overall index	1967M01	0.1
Monthly change	Overall index	1966M12	0.6
Monthly change	Overall index	1966M11	1.7
Monthly change	Overall index	1966M10	0.6
Monthly change	Overall index	1966M09	-0.3
Monthly change	Overall index	1966M08	0.2
Monthly change	Overall index	1966M07	-0.1
Monthly change	Overall index	1966M06	0.2
Monthly change	Overall index	1966M05	1.5
Monthly change	Overall index	1966M04	1.0
Monthly change	Overall index	1966M03	0.0
Monthly change	Overall index	1966M02	-0.1
Monthly change	Overall index	1966M01	-0.2
Monthly change	Overall index	1965M12	0.6
Monthly change	Overall index	1965M11	2.2
Monthly change	Overall index	1965M10	0.5
Monthly change	Overall index	1965M09	1.0
Monthly change	Overall index	1965M08	0.5
Monthly change	Overall index	1965M07	0.1
Monthly change	Overall index	1965M06	-0.4
Monthly change	Overall index	1965M05	0.4
Monthly change	Overall index	1965M04	0.7
Monthly change	Overall index	1965M03	0.8
Monthly change	Overall index	1965M02	1.7
Monthly change	Overall index	1965M01	1.0
Monthly change	Overall index	1964M12	1.2
Monthly change	Overall index	1964M11	2.3
Monthly change	Overall index	1964M10	1.6
Monthly change	Overall index	1964M09	1.0
Monthly change	Overall index	1964M08	1.6
Monthly change	Overall index	1964M07	2.2
Monthly change	Overall index	1964M06	1.3
Monthly change	Overall index	1964M05	0.3
