plan_number,plan_years_ah,plan_years_ce,category,indicator,unit,base_value,interim_value,final_value,avg_annual_growth_pct,value_type,notes,source_file,source_page,extraction_method
2,1374-1378,1995/96-1999/2000,macro,GDP growth rate (constant 1361 prices),% avg annual,,,,5.1,"target (law text, quantitative-goals section)",From dedicated 'اهداف کمی کلان در برنامه دوم' section. GDP level figures (base/final rials) were also visible in source but read at lower confidence given contact-sheet resolution; the 5.1%/year headline rate is the high-confidence figure.,برنامه-دوم.pdf,book's own pp.119 (rendered ~p.128),pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,macro,"GDP per capita, target at program end","rials/person, constant 1361 prices",,,256000,,target (law text),,برنامه-دوم.pdf,book's own p.119,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,investment,Gross fixed capital formation growth (constant prices),% avg annual,,,,6.2,target (law text),"Level: ~2,262.7bn rials (1373) to ~3,055.5bn rials (1378), constant prices.",برنامه-دوم.pdf,book's own pp.120-121,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,consumption,Private consumption growth (constant 1361 prices),% avg annual,,,,4,target (law text),,برنامه-دوم.pdf,book's own p.121,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,fiscal,Total government revenue over Plan 2,billion rials,,,237311,,5-year program total (law text),,برنامه-دوم.pdf,book's own p.122,pdftoppm render 300-400dpi + visual read
2,1374-1378,1995/96-1999/2000,fiscal,Average annual government revenue growth,% avg annual,,,,15.2,target (law text),,برنامه-دوم.pdf,book's own p.122,pdftoppm render 300-400dpi + visual read
3,1379-1384,2000-2005/06,macro,GDP growth rate / quantitative macro targets,,,,,,not located,"Plan 3 (the Khatami-era structural-reform / Article-44-privatization law) is organized as extensive policy chapters (currency reserve fund, banking reform, privatization mechanics, admin-structure reform) rather than a compact targets clause like Plans 1/2/6/7. A headline GDP growth % may exist deeper in the 263-page document but was NOT located within this pass's time budget -- flagged as a genuine gap for a future continuation, not filled from outside knowledge.",برنامه-سوم.pdf,,
4,1384-1388,2005/06-2009/10,macro,GDP growth rate / quantitative macro targets,,,,,,not located,"Same structural issue as Plan 3 -- organized as policy chapters. Checked Plan 4's own Article 1 (under chapter heading 'رشد سریع اقتصادی' / rapid economic growth) -- its actual content is the Oil Stabilization Fund (حساب ذخیره ارزی) mechanism, not a stated GDP growth %. Not located within this pass's time budget -- genuine gap, not guessed.",برنامه-چهارم.pdf,checked rendered pp.30-41 (book's own Article 1 area),pdftoppm render 300-400dpi + visual read
5,1390-1394,2011/12-2015/16,macro,GDP growth rate / quantitative macro targets,,,,,,not located,برنامه-پنجم.pdf has almost no extractable text at all (font/encoding issue worse than the other scanned plans) and was not deep-dived this round -- genuine gap.,برنامه-پنجم.pdf,,
6,1396-1400,2017/18-2021/22,macro,"GDP growth rate (headline target, Article 3)",% avg annual,,,,8,"target (law text, Article 3)",Article 3 also states a target Gini coefficient of 0.34 by the plan's final year.,۶.pdf,rendered p.2,pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,macro,GDP (constant 1383 prices),thousand billion rials,2095,2256,3078,8,target (law text),"base year=1395, interim=1396, final=1400.",۶.pdf,rendered p.2 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,macro,GDP per capita (constant 1383 prices),million rials/person,26.1,27.8,36.1,6.7,target (law text),,۶.pdf,rendered p.2 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,macro,Total factor productivity index,index (1395=100),100,102,115,2.8,target (law text),,۶.pdf,rendered p.2 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,investment,Gross fixed capital formation (constant 1383 prices),thousand billion rials,440,495,1160,21.4,target (law text),,۶.pdf,rendered p.2 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,consumption,Total consumption expenditure (constant 1383 prices),thousand billion rials,1197,1263,1524,5,target (law text),,۶.pdf,rendered p.3 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,trade,Non-oil exports of goods+services (excl. gas condensate),million USD,42150,47583,112739,21.7,target (law text),,۶.pdf,rendered p.3 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,trade,Total imports,million USD,69967,86557,152497,16.9,target (law text),,۶.pdf,rendered p.3 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,money,Liquidity (M2),thousand billion rials,13003,15604,28508,17,target (law text),,۶.pdf,rendered p.3 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,prices,Inflation rate,%,7.9,8.3,7.9,,target (law text),"Program-average column in source reads 8.8% -- base/interim/final columns and the 'average' column do not resolve to a single trajectory in the printed table; recorded exactly as printed, not reconciled.",۶.pdf,rendered p.3 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,labor,Unemployment rate,%,12.6,12,8.6,,target (law text),Program-average column in source reads 10.2%.,۶.pdf,rendered p.3 (Table 1),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Agriculture value-added growth,% avg annual,,,,8.0,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Oil value-added growth,% avg annual,,,,7.0,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Mining value-added growth,% avg annual,,,,8.8,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Industry value-added growth,% avg annual,,,,9.3,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Water/power/gas value-added growth,% avg annual,,,,9.0,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Construction value-added growth,% avg annual,,,,7.5,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Transport/storage value-added growth,% avg annual,,,,8.3,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Communications value-added growth,% avg annual,,,,19.4,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,Other services value-added growth,% avg annual,,,,5.8,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_value_added,TOTAL (all sectors) value-added growth,% avg annual,,,,8.0,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Agriculture employment growth,% avg annual,,,,3.9,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Oil employment growth,% avg annual,,,,2.1,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Mining employment growth,% avg annual,,,,4.6,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Industry employment growth,% avg annual,,,,3.4,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Water/power/gas employment growth,% avg annual,,,,6.6,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Construction employment growth,% avg annual,,,,3.7,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Transport/storage employment growth,% avg annual,,,,5.0,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Communications employment growth,% avg annual,,,,9.5,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,Other services employment growth,% avg annual,,,,4.3,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
6,1396-1400,2017/18-2021/22,sectoral_employment,TOTAL (all sectors) employment growth,% avg annual,,,,3.9,target (law text),,۶.pdf,rendered p.3 (Table 2),pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,macro,Economic growth (headline target),% avg annual,,,,8,"BILL target (لایحه, not yet enacted law)",,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,macro,Total factor productivity growth,% avg annual,,,,2.8,BILL target,Stated to supply 35% of the 8% headline growth target.,barname_haftom.pdf,rendered p.10,pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,labor,Employment growth,% avg annual,,,,3.5,BILL target,"~1,000,000 jobs/year average, per source annotation.",barname_haftom.pdf,rendered p.10,pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,trade,Oil exports growth,% avg annual,,,,12,BILL target,,barname_haftom.pdf,rendered p.10,pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,trade,Non-oil exports growth,% avg annual,,,,23,BILL target,,barname_haftom.pdf,rendered p.10,pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Oil sector growth,% avg annual,,,,9,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Water/power/gas sector growth,% avg annual,,,,8,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Transport/storage sector growth,% avg annual,,,,10,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Mining sector growth,% avg annual,,,,13,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Industry sector growth,% avg annual,,,,8.5,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Construction sector growth,% avg annual,,,,9.0,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Agriculture sector growth,% avg annual,,,,5.5,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Communications sector growth,% avg annual,,,,11,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
7,1402-1406,2023/24-2027/28,sectoral_value_added,Other services sector growth,% avg annual,,,,6.5,BILL target,,barname_haftom.pdf,"rendered p.10 (Article 2, Table 1)",pdftoppm render 300-400dpi + visual read
