country_iso3,country_name,indicator_id,indicator_label,year,date,value,unit,source_dataset,source_file
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1911,1911-01-01,5971.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1911,1911-01-01,7098.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1912,1912-01-01,6223.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1912,1912-01-01,7370.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1913,1913-01-01,6052.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1913,1913-01-01,7653.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1914,1914-01-01,5263.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1914,1914-01-01,7885.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1915,1915-01-01,5171.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1915,1915-01-01,8072.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1916,1916-01-01,4927.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1916,1916-01-01,8226.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1917,1917-01-01,4447.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1917,1917-01-01,8374.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1918,1918-01-01,5177.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1918,1918-01-01,8518.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1919,1919-01-01,5271.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1919,1919-01-01,8672.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1920,1920-01-01,5536.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1920,1920-01-01,8861.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1921,1921-01-01,5533.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1921,1921-01-01,9092.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1922,1922-01-01,5796.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1922,1922-01-01,9368.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1923,1923-01-01,6213.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1923,1923-01-01,9707.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1924,1924-01-01,6464.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1924,1924-01-01,10054.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1925,1925-01-01,6247.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1925,1925-01-01,10358.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1926,1926-01-01,6366.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1926,1926-01-01,10652.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1927,1927-01-01,6625.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1927,1927-01-01,10965.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1928,1928-01-01,6840.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1928,1928-01-01,11282.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1929,1929-01-01,6961.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1929,1929-01-01,11592.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1930,1930-01-01,6503.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1930,1930-01-01,11896.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1931,1931-01-01,5917.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1931,1931-01-01,12167.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1932,1932-01-01,5614.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1932,1932-01-01,12402.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1933,1933-01-01,5772.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1933,1933-01-01,12623.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1934,1934-01-01,6129.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1934,1934-01-01,12834.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1935,1935-01-01,6296.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1935,1935-01-01,13044.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1936,1936-01-01,6236.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1936,1936-01-01,13260.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1937,1937-01-01,6575.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1937,1937-01-01,13490.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1938,1938-01-01,6491.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1938,1938-01-01,13724.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1939,1939-01-01,6612.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1939,1939-01-01,13984.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1940,1940-01-01,6633.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1940,1940-01-01,14169.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1941,1941-01-01,6861.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1941,1941-01-01,14402.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1942,1942-01-01,6829.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1942,1942-01-01,14638.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1943,1943-01-01,6666.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1943,1943-01-01,14877.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1944,1944-01-01,7299.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1944,1944-01-01,15130.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1945,1945-01-01,6943.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1945,1945-01-01,15390.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1946,1946-01-01,7436.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1946,1946-01-01,15654.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1947,1947-01-01,8112.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1947,1947-01-01,15942.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1948,1948-01-01,8372.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1948,1948-01-01,16307.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1949,1949-01-01,8045.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1949,1949-01-01,16737.0,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1950,1950-01-01,7949.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1950,1950-01-01,17150.336,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1951,1951-01-01,8086.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1951,1951-01-01,17517.342,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1952,1952-01-01,7519.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1952,1952-01-01,17876.956,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1953,1953-01-01,7769.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1953,1953-01-01,18230.816,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1954,1954-01-01,7938.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1954,1954-01-01,18580.559,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1955,1955-01-01,8348.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1955,1955-01-01,18927.821,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1956,1956-01-01,8424.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1956,1956-01-01,19271.511,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1957,1957-01-01,8705.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1957,1957-01-01,19610.538,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1958,1958-01-01,9083.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1958,1958-01-01,19946.539,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1959,1959-01-01,8354.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1959,1959-01-01,20281.15,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1960,1960-01-01,8861.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1960,1960-01-01,20616.009,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1961,1961-01-01,9344.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1961,1961-01-01,20950.583,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1962,1962-01-01,9049.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1962,1962-01-01,21283.783,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1963,1963-01-01,8695.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1963,1963-01-01,21616.403,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1964,1964-01-01,9446.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1964,1964-01-01,21949.244,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1965,1965-01-01,10155.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1965,1965-01-01,22283.1,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1966,1966-01-01,10076.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1966,1966-01-01,22611.604,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1967,1967-01-01,10200.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1967,1967-01-01,22934.225,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1968,1968-01-01,10485.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1968,1968-01-01,23260.514,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1969,1969-01-01,11217.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1969,1969-01-01,23600.026,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1970,1970-01-01,11639.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1970,1970-01-01,23962.313,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1971,1971-01-01,12003.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1971,1971-01-01,24363.816,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1972,1972-01-01,12170.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1972,1972-01-01,24779.799,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1973,1973-01-01,12691.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1973,1973-01-01,25209.829,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1974,1974-01-01,13284.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1974,1974-01-01,25646.371,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1975,1975-01-01,12946.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1975,1975-01-01,26081.88,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1976,1976-01-01,12696.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1976,1976-01-01,26531.28,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1977,1977-01-01,13236.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1977,1977-01-01,26983.828,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1978,1978-01-01,12444.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1978,1978-01-01,27440.272,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1979,1979-01-01,13114.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1979,1979-01-01,27901.971,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1980,1980-01-01,13080.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1980,1980-01-01,28369.799,thousands,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.gdppc,"GDP per capita (2011 international $, PPP)",1981,1981-01-01,12125.0,2011 international $,maddison-project,mpd2023_web.xlsx
ARG,Argentina,maddison.pop,Population (thousands),1981,1981-01-01,28848.0,thousands,maddison-project,mpd2023_web.xlsx
