correlation_id,chart_id,chart_title,event_date,event_title,event_source_file,relationship_type,confidence,direction,lag_description,justification,caveats
evm_000011,fx__official_vs_parallel_gap_irn,U.S. Dollar Exchange Rate,1946-01-30,Azerbaijan Crisis reaches the UN Security Council,timeline/iran.csv,context,2,ambiguous,same year,"The crisis centered partly on a Soviet demand for a northern Iranian oil concession (refused by the Majlis), and the accompanying political instability and blocked-currency legacy of the wartime occupation plausibly widened official/parallel exchange-rate pressures in this period.","No direct oil-production or FX-rate mechanism is documented for this specific diplomatic crisis; effects, if any, are swamped by broader postwar reconstruction and inflation dynamics. Treat as background context only."
evm_000012,pahlavi__oil_revenue_by_allocation_1955_63,"Oil Revenue by Allocation (Budget/NIOC/Plan Org/B.P.C.), 1955/56-1962/63",1949-02-08,Plan Organization established; First Seven-Year Plan,timeline/iran.csv,context,2,ambiguous,pre-dates chart coverage by several years,The Plan Organization created in 1949 is the same institution whose share of oil-revenue allocation this chart tracks starting 1955/56; the chart begins recording the funding channel that this event created.,"The chart's data window (1955/56-1962/63) starts six years after the event and cannot show the First Seven-Year Plan's own 1949-1955 funding pattern; this is background institutional context, not a measured effect."
evm_000013,pahlavi__oil_industry_employment_by_nationality_1939_60,"Oil Industry Employment by Nationality, 1939-1960",1951-03-15,Oil industry nationalized,timeline/iran.csv,causal,5,decrease,same year through 1954 (British boycott/embargo period),"Nationalization triggered an AIOC-led international boycott and the closure of the Abadan refinery, collapsing Iranian oil output and exports from 1951 until the 1954 Consortium Agreement restored production; it also ends the AIOC royalty/profit series entirely (British operations ceased) and prompted the withdrawal of most foreign technical staff.","The ocean-trade-tonnage link (excl. petroleum) is weaker and more speculative -- non-oil trade could have moved in either direction as the country adjusted import spending to the sudden loss of oil-financed foreign exchange, and other factors (global commodity prices, domestic harvests) also drove that series."
evm_000014,owid__oil_production_volume,Oil Production (physical volume),1953-08-19,1953 coup d'état,timeline/iran.csv,contributing,3,ambiguous,1-2 year lag (production recovery materializes with the 1954 Consortium Agreement),The coup removed the political impasse over nationalization and cleared the way for the 1954 Consortium Agreement that actually restored output and foreign staffing; the coup itself is a necessary precondition rather than the proximate cause of the production rebound.,Production did not recover immediately in 1953 -- the actual increase is better attributed to the 1954 Consortium Agreement recorded as a separate event; listing the coup here risks over-crediting a single political event for an outcome finalized a year later by a separate commercial agreement.
evm_000015,pahlavi__oil_industry_employment_by_nationality_1939_60,"Oil Industry Employment by Nationality, 1939-1960",1953-08-19,1953 coup d'état,timeline/iran.csv,contributing,3,ambiguous,1-2 year lag (production recovery materializes with the 1954 Consortium Agreement),The coup removed the political impasse over nationalization and cleared the way for the 1954 Consortium Agreement that actually restored output and foreign staffing; the coup itself is a necessary precondition rather than the proximate cause of the production rebound.,Production did not recover immediately in 1953 -- the actual increase is better attributed to the 1954 Consortium Agreement recorded as a separate event; listing the coup here risks over-crediting a single political event for an outcome finalized a year later by a separate commercial agreement.
evm_000016,pahlavi__oil_industry_personnel_by_company_category_1955_61,"Oil Industry Personnel by Company & Labor Category, 1955-1961",1954-08-19,Consortium Agreement,timeline/iran.csv,causal,5,increase,"same year, ramping up over 1954-1956","The Consortium Agreement directly restored Iranian oil production and exports after the 1951-54 shutdown, and directly created the consortium wage bill and by-company personnel structure that two of these charts explicitly measure (1954-62 and 1955-61 respectively).",The ocean-trade-tonnage (excl. petroleum) link is weaker -- broader postwar trade normalization and the Second Seven-Year Plan's investment program likely contributed to any recovery in non-oil trade volumes alongside the oil settlement itself.
evm_000017,pahlavi__oil_industry_employment_by_nationality_1939_60,"Oil Industry Employment by Nationality, 1939-1960",1954-08-19,Consortium Agreement,timeline/iran.csv,causal,5,increase,"same year, ramping up over 1954-1956","The Consortium Agreement directly restored Iranian oil production and exports after the 1951-54 shutdown, and directly created the consortium wage bill and by-company personnel structure that two of these charts explicitly measure (1954-62 and 1955-61 respectively).",The ocean-trade-tonnage (excl. petroleum) link is weaker -- broader postwar trade normalization and the Second Seven-Year Plan's investment program likely contributed to any recovery in non-oil trade volumes alongside the oil settlement itself.
evm_000018,pahlavi__oil_revenue_by_allocation_1955_63,"Oil Revenue by Allocation (Budget/NIOC/Plan Org/B.P.C.), 1955/56-1962/63",1955-09-01,Second Seven-Year Plan launched,timeline/iran.csv,causal,4,increase,"same year, continuing through the plan's 1955-1962 span","The plan was financed substantially by oil revenue following the 1954 Consortium Agreement, with allocations to the Plan Organization exactly matching the budget categories (Budget/NIOC/Plan Org/B.P.C.) this chart records for the same 1955/56-1962/63 window.","The allocation shares reflect ongoing budget-negotiation dynamics each year, not solely the plan's initial design; the 1957-59 distribution chart is a narrower three-year slice and may not represent the plan's allocation pattern across its full run."
evm_000019,pahlavi__oil_revenue_distribution_pct_1957_59,"Oil Revenue Distribution by Recipient (% share), 1957-1959",1955-09-01,Second Seven-Year Plan launched,timeline/iran.csv,causal,4,increase,"same year, continuing through the plan's 1955-1962 span","The plan was financed substantially by oil revenue following the 1954 Consortium Agreement, with allocations to the Plan Organization exactly matching the budget categories (Budget/NIOC/Plan Org/B.P.C.) this chart records for the same 1955/56-1962/63 window.","The allocation shares reflect ongoing budget-negotiation dynamics each year, not solely the plan's initial design; the 1957-59 distribution chart is a narrower three-year slice and may not represent the plan's allocation pattern across its full run."
evm_000020,gfdd__gfdd_di_06,Central Bank Assets to GDP (World Bank GFDD),1960-05-28,Central Bank of Iran established,timeline/iran.csv,context,3,increase,"immediate institutional start, gradual growth over decades",Bank Markazi's creation in May 1960 is the founding event for the central-bank balance sheet and the modern monetary aggregates (broad money/liquid liabilities) that these GFDD series begin tracking that same year.,"The chart values reflect decades of subsequent monetary policy, financial deepening, and (post-1978) very different institutional conditions; the 1960 founding explains why the series starts then, not the specific trajectory of the ratios afterward."
evm_000021,gfdd__gfdd_oi_07,Liquid Liabilities (Broad Money) (World Bank GFDD),1960-05-28,Central Bank of Iran established,timeline/iran.csv,context,3,increase,"immediate institutional start, gradual growth over decades",Bank Markazi's creation in May 1960 is the founding event for the central-bank balance sheet and the modern monetary aggregates (broad money/liquid liabilities) that these GFDD series begin tracking that same year.,"The chart values reflect decades of subsequent monetary policy, financial deepening, and (post-1978) very different institutional conditions; the 1960 founding explains why the series starts then, not the specific trajectory of the ratios afterward."
evm_000022,gfdd__gfdd_di_05,Liquid Liabilities to GDP (World Bank GFDD),1960-05-28,Central Bank of Iran established,timeline/iran.csv,context,3,increase,"immediate institutional start, gradual growth over decades",Bank Markazi's creation in May 1960 is the founding event for the central-bank balance sheet and the modern monetary aggregates (broad money/liquid liabilities) that these GFDD series begin tracking that same year.,"The chart values reflect decades of subsequent monetary policy, financial deepening, and (post-1978) very different institutional conditions; the 1960 founding explains why the series starts then, not the specific trajectory of the ratios afterward."
evm_000023,owid__oil_production_volume,Oil Production (physical volume),1960-09-14,OPEC founded with Iran as charter member,timeline/iran.csv,context,2,ambiguous,gradual over decades,"OPEC's founding gave Iran a coordinating body for petroleum output and pricing policy that would later matter greatly for its production decisions (notably in the 1970s), but had no immediate production effect in 1960.",OPEC exerted negligible influence on member output in its first decade; any visible movement in Iranian production around 1960 is far better explained by post-Consortium-Agreement capacity expansion than by OPEC membership itself.
evm_000024,fx__official_vs_parallel_gap_irn,U.S. Dollar Exchange Rate,1960-10-10,First IMF stand-by arrangement and stabilization program,timeline/iran.csv,causal,3,decrease,same year through 1962,"The IMF-backed austerity program explicitly curbed bank credit expansion and government spending through 1962 to defend reserves and the currency, which is exactly what the private-credit-to-GDP and broad-money (liquid liabilities) series measure, and directly targeted the exchange-rate pressure the FX chart tracks.","The GFDD monetary series only begin in 1960/61, giving very little pre-program baseline to confirm the credit slowdown against; broader global commodity-price and oil-revenue trends also affected Iran's reserves and credit conditions independent of the IMF program."
evm_000025,gfdd__gfdd_di_01,Private Credit by Deposit Money Banks to GDP (World Bank GFDD),1960-10-10,First IMF stand-by arrangement and stabilization program,timeline/iran.csv,causal,3,decrease,same year through 1962,"The IMF-backed austerity program explicitly curbed bank credit expansion and government spending through 1962 to defend reserves and the currency, which is exactly what the private-credit-to-GDP and broad-money (liquid liabilities) series measure, and directly targeted the exchange-rate pressure the FX chart tracks.","The GFDD monetary series only begin in 1960/61, giving very little pre-program baseline to confirm the credit slowdown against; broader global commodity-price and oil-revenue trends also affected Iran's reserves and credit conditions independent of the IMF program."
evm_000026,gfdd__gfdd_oi_07,Liquid Liabilities (Broad Money) (World Bank GFDD),1960-10-10,First IMF stand-by arrangement and stabilization program,timeline/iran.csv,causal,3,decrease,same year through 1962,"The IMF-backed austerity program explicitly curbed bank credit expansion and government spending through 1962 to defend reserves and the currency, which is exactly what the private-credit-to-GDP and broad-money (liquid liabilities) series measure, and directly targeted the exchange-rate pressure the FX chart tracks.","The GFDD monetary series only begin in 1960/61, giving very little pre-program baseline to confirm the credit slowdown against; broader global commodity-price and oil-revenue trends also affected Iran's reserves and credit conditions independent of the IMF program."
evm_000027,iran_monetary__government_debt_to_central_bank_1978_2016,Government Debt to the Central Bank,1986-01-01,1986 oil price collapse,timeline/global.csv,contributing,2,increase,same year to 1-2 year lag,"Collapsing oil revenue during an active war reduced fiscal space, plausibly pushing the wartime government toward greater borrowing from the central bank to cover the gap.",War spending itself (not the price collapse specifically) is the dominant driver of 1980s central-bank financing; hard to isolate the price-collapse contribution from war-driven deficits.
evm_000028,fx__official_vs_parallel_gap_irn,U.S. Dollar Exchange Rate,1986-01-01,1986 oil price collapse,timeline/global.csv,contributing,2,increase,same year,"A sudden drop in dollar oil earnings reduces the central bank's ability to supply hard currency at the official rate, typically widening the gap to the parallel/black-market rate.","The official-parallel FX gap in this period is driven mainly by wartime foreign-exchange rationing and multiple exchange rates, not the oil price alone."
evm_000029,wdi__FP.CPI.TOTL,"Inflation, consumer prices",1991-12-26,Dissolution of the Soviet Union,timeline/global.csv,causal,4,increase,same year to 1 year lag,"January 1992 'shock therapy' price liberalization in the newly independent Russia removed Soviet-era price controls essentially overnight, producing a documented inflation spike (roughly 2,500% in 1992).","Concurrent ruble-zone breakdown, supply-chain collapse among former Soviet republics, and loose monetary financing of the deficit all contributed alongside price liberalization itself."
evm_000030,wdi__NY.GDP.MKTP.KD,GDP growth,1991-12-26,Dissolution of the Soviet Union,timeline/global.csv,causal,3,decrease,"same year, multi-year decline through the 1990s",The chaotic dismantling of central planning and loss of intra-Soviet trade links drove a sustained Russian output collapse (the 'transformational recession') through the 1990s.,"The decline continued for most of the decade, so later years reflect additional shocks (1998 default) rather than the dissolution alone."
evm_000031,wdi__NY.GDP.MKTP.KD,GDP growth,1994-12-20,"Mexican ""Tequila Crisis""",timeline/global.csv,contributing,3,decrease,same year to 1 year lag (1995),"Emerging-market contagion from the peso collapse triggered a bank run and capital flight in Argentina, contributing to Argentina's 1995 recession under its dollar-pegged convertibility regime.","Argentina's convertibility-plan vulnerabilities (rigid peg, weak bank capitalization) were pre-existing; the Tequila shock was a trigger among several structural weaknesses, not the sole cause."
evm_000032,wdi__NY.GDP.MKTP.KD,GDP growth,1997-07-02,Asian Financial Crisis begins,timeline/global.csv,causal,4,decrease,same year to 1 year lag (1998),Contagion from the Thai baht collapse forced South Korea into an IMF program in late 1997; Korean GDP contracted roughly 5.5% in 1998 as credit and investment collapsed.,Domestic corporate over-leverage (chaebol debt) and weak bank supervision were pre-existing vulnerabilities the crisis exposed rather than created.
evm_000033,wdi__FP.CPI.TOTL,"Inflation, consumer prices",1997-07-02,Asian Financial Crisis begins,timeline/global.csv,contributing,3,increase,same year to 1 year lag (1998),"The won's sharp depreciation during the crisis raised import prices, pushing Korean consumer-price inflation up to roughly 7-8% in 1998 before it subsided.","Inflation eased quickly once the won stabilized in 1999, consistent with a one-off pass-through effect rather than a persistent inflation regime change."
evm_000034,wdi__FP.CPI.TOTL,"Inflation, consumer prices",1998-08-17,Russian default and LTCM crisis trigger global contagion,timeline/global.csv,causal,4,increase,same year to 1 year lag (1999),The August 1998 ruble devaluation and domestic debt default drove Russian consumer prices up roughly 84% in 1999 as the currency collapse passed through to import and domestic prices.,Chronic pre-1998 fiscal weakness and reliance on short-term GKO debt financing set up the default; low oil prices that year compounded the fiscal strain.
evm_000035,wdi__NY.GDP.MKTP.KD,GDP growth,1998-08-17,Russian default and LTCM crisis trigger global contagion,timeline/global.csv,causal,4,decrease,same year,The default and ruble devaluation triggered a banking-system collapse and a roughly 5.3% contraction in Russian GDP in 1998.,Concurrent low world oil prices (a Russian export mainstay) independently depressed output; the two shocks are hard to fully separate in the same-year GDP figure.
evm_000036,wdi__FR.INR,Real interest rate,1999-01-01,Euro launched as accounting currency,timeline/global.csv,contributing,3,decrease,"gradual, centered on 1996-1999 convergence","Locking Italy's exchange rate and monetary policy into the euro convergence process eliminated the currency-risk and inflation-risk premium that had kept Italian interest rates elevated, driving real rates down toward German/core-euro levels.",Broader European disinflation and independent Bank of Italy tightening in the run-up to convergence also pushed rates down; the euro-launch effect is one strand of a multi-year convergence trend.
evm_000037,wdi__NY.GDP.PETR.RT,Oil rents (% of GDP),2003-01-01/2008-07-11,2000s commodity super-cycle,timeline/global.csv,causal,4,increase,"gradual over the period, same year to 1 year lag","Crude prices rising from ~$30 to $147/barrel between 2003 and mid-2008 directly lifted Iran's oil rents (% of GDP) and dollar goods-export earnings, which are overwhelmingly oil-export-driven.","Iranian export volumes also fluctuated with OPEC quota decisions and domestic field investment, so the revenue windfall is not price alone."
evm_000038,wdi__BX.GSR.MRCH,Goods exports,2003-01-01/2008-07-11,2000s commodity super-cycle,timeline/global.csv,causal,4,increase,"gradual over the period, same year to 1 year lag","Crude prices rising from ~$30 to $147/barrel between 2003 and mid-2008 directly lifted Iran's oil rents (% of GDP) and dollar goods-export earnings, which are overwhelmingly oil-export-driven.","Iranian export volumes also fluctuated with OPEC quota decisions and domestic field investment, so the revenue windfall is not price alone."
evm_000039,iran_monetary__liquidity_m2_monetary_base_2000_2023,Money Supply and Monetary Base,2003-01-01/2008-07-11,2000s commodity super-cycle,timeline/global.csv,contributing,3,increase,gradual over the period,"The oil windfall financed large government spending and central-bank credit expansion under the Ahmadinejad administration, a widely cited driver of the mid-2000s surge in Iranian money supply and monetary base.","Domestic monetary and credit policy choices (subsidized lending, the Maskan-e Mehr housing scheme) were discretionary decisions layered on top of the oil windfall, not an automatic mechanical link."
evm_000040,wdi__TT.PRI.MRCH.XD,Net barter terms of trade index,2003-01-01/2008-07-11,2000s commodity super-cycle,timeline/global.csv,contributing,3,increase,"same year, 2005-2008 portion of the cycle","Rising oil prices relative to import prices mechanically improved Iran's net barter terms of trade over 2005-2008, the portion of the cycle this series covers.","Series only begins in 2005, so it captures the back half of the super-cycle, not the full 2003 run-up."
evm_000041,wdi__NY.GDP.PETR.RT,Oil rents (% of GDP),2003-03-20,Iraq War begins,timeline/global.csv,causal,4,decrease,same year,"The US-led invasion halted roughly 2 million barrels/day of Iraqi oil production and exports in 2003, directly collapsing Iraq's oil rents and goods-export revenue for the year.","Post-invasion looting, infrastructure sabotage, and sanctions-era underinvestment also suppressed Iraqi output independent of the invasion's immediate combat effects."
evm_000042,wdi__BX.GSR.MRCH,Goods exports,2003-03-20,Iraq War begins,timeline/global.csv,causal,4,decrease,same year,"The US-led invasion halted roughly 2 million barrels/day of Iraqi oil production and exports in 2003, directly collapsing Iraq's oil rents and goods-export revenue for the year.","Post-invasion looting, infrastructure sabotage, and sanctions-era underinvestment also suppressed Iraqi output independent of the invasion's immediate combat effects."
evm_000043,wdi__NY.GDP.MKTP.KD,GDP growth,2003-03-20,Iraq War begins,timeline/global.csv,contributing,3,ambiguous,"same year, multi-year volatility follows","Iraqi GDP swung sharply around the invasion — an initial wartime contraction followed by a chaotic, aid- and oil-financed rebound — reflecting the direct disruption of the war and occupation.","Post-2003 Iraqi GDP is exceptionally volatile and driven by security conditions, reconstruction spending, and oil-price swings together, making a single-event attribution imprecise."
evm_000044,wdi__BX.GSR.MRCH,Goods exports,2008-09-15,Global Financial Crisis — Lehman Brothers collapse,timeline/global.csv,causal,4,decrease,same year to 1 year lag,"The synchronized global recession crashed oil prices from ~$147 to ~$40/barrel within months of the Lehman collapse, directly cutting Iran's oil rents and goods-export earnings.",OPEC production-cut responses partially offset the price collapse's revenue impact by early 2009; the recovery trajectory reflects both price and policy response.
evm_000045,wdi__NY.GDP.MKTP.KD,GDP growth,2008-09-15,Global Financial Crisis — Lehman Brothers collapse,timeline/global.csv,causal,4,decrease,same year to 1-2 year lag,"The credit freeze and demand collapse drove recessions across Spain, Italy, the US, and Russia in 2008-2009 (Spain and Italy entering prolonged downturns), all captured in this shared GDP-growth series.","Spain and Italy's downturns were prolonged well past the initial 2008-09 shock by their own banking and sovereign-debt vulnerabilities (see European sovereign debt crisis), so post-2009 weakness has additional causes."
evm_000046,wdi__NY.GDP.MKTP.KD,GDP growth,2010-01-01,European sovereign debt crisis,timeline/global.csv,causal,4,decrease,"multi-year, 2010-2013","The fiscal-sustainability crisis and ensuing austerity programs drove Spain and Italy into a multi-year recession/stagnation from 2010-2013, both captured in this shared GDP-growth series.","Spain's crisis was compounded by its own housing-bubble bust and bank recapitalization needs, distinct from the fiscal-crisis mechanism proper; Italy's stagnation predates 2010 and has structural roots."
evm_000047,weo__net_govt_debt,Government Net Debt (assets netted),2010-01-01,European sovereign debt crisis,timeline/global.csv,causal,3,increase,"multi-year, 2010-2014",Recession-driven revenue shortfalls plus crisis-response spending and bank bailouts pushed Spanish and Italian net government debt sharply higher through the crisis years.,Italy's debt-to-GDP ratio was already high before 2010 for structural reasons; the crisis accelerated but did not originate Italy's debt trajectory.
evm_000048,wdi__NY.GDP.PETR.RT,Oil rents (% of GDP),2011-01-01,Arab Spring begins,timeline/global.csv,contributing,3,increase,same year,"Over 2 million barrels/day of regional production lost (Libya, Syria, Yemen) pushed Brent from $92 to $120/barrel by April 2011, lifting oil rents for exporters in the roster including Saudi Arabia and, to a lesser extent, Iran.","For Iran specifically the windfall was partly offset by tightening US/EU sanctions that same year targeting its central bank and oil exports, muddying the net effect on Iranian series; the price effect is clearer for Saudi Arabia."
evm_000049,wdi__BX.GSR.MRCH,Goods exports,2014-06-01,2014-2016 oil price collapse,timeline/global.csv,causal,4,decrease,same year to 1-2 year lag,Oil prices falling from ~$115 to below $30/barrel amid US shale supply growth and OPEC's decision not to cut output directly cut Iran's oil rents and goods-export revenue over 2014-2016.,"Iran's exports over the same window were also constrained by nuclear-related sanctions until JCPOA implementation in January 2016, so pre-2016 export levels reflect sanctions as much as price."
evm_000050,weo__primary_balance,Government Primary Balance (excl. interest),2014-06-01,2014-2016 oil price collapse,timeline/global.csv,contributing,3,decrease,1-2 year lag,"The collapse in oil revenue widened Iran's fiscal deficit, a widely cited driver of primary-balance deterioration in this period.",Subsidy-reform costs and pre-existing structural spending commitments also weighed on the primary balance independent of the oil-price shock.
evm_000051,fx__official_vs_parallel_gap_irn,U.S. Dollar Exchange Rate,2014-06-01,2014-2016 oil price collapse,timeline/global.csv,contributing,2,increase,same year to 1 year lag,"Reduced dollar oil earnings tightened the central bank's hard-currency supply, a plausible contributor to renewed pressure on the parallel-market premium in 2014-2015.","This period also saw active nuclear negotiations shaping FX-market expectations independent of the oil price itself, making the two hard to disentangle."
evm_000052,fx__official_vs_parallel_gap_irn,U.S. Dollar Exchange Rate,2015-07-14,Iran nuclear deal (JCPOA) signed,timeline/global.csv,causal,3,decrease,6 months to 1 year lag (implementation from Jan 2016),Expectation of sanctions relief and the January 2016 Implementation Day narrowed the gap between Iran's official and parallel exchange rates as capital-flight pressure eased.,The improvement was temporary and partly reflects government FX-market intervention around the deal's signing rather than the deal's economic terms alone.
evm_000053,wdi__BX.GSR.MRCH,Goods exports,2015-07-14,Iran nuclear deal (JCPOA) signed,timeline/global.csv,causal,4,increase,1-2 year lag (exports rebound through 2016-2017),"Lifting of nuclear-related EU/UN oil and shipping-insurance sanctions let Iranian crude exports roughly double from under 1 million to over 2 million barrels/day by 2017, directly lifting export revenue and oil rents.","Global oil prices were still relatively low in 2016 (post-2014 collapse), so the volume rebound was partly offset by weak per-barrel prices."
evm_000054,wdi__NY.GDP.PETR.RT,Oil rents (% of GDP),2015-07-14,Iran nuclear deal (JCPOA) signed,timeline/global.csv,causal,4,increase,1-2 year lag (exports rebound through 2016-2017),"Lifting of nuclear-related EU/UN oil and shipping-insurance sanctions let Iranian crude exports roughly double from under 1 million to over 2 million barrels/day by 2017, directly lifting export revenue and oil rents.","Global oil prices were still relatively low in 2016 (post-2014 collapse), so the volume rebound was partly offset by weak per-barrel prices."
evm_000055,wdi__NY.GDP.MKTP.KD,GDP growth,2015-07-14,Iran nuclear deal (JCPOA) signed,timeline/global.csv,causal,4,increase,1 year lag (2016),"The oil-export rebound following sanctions relief drove a sharp Iranian GDP growth rebound (roughly 12-13%) in 2016, widely attributed to JCPOA implementation.","The 2016 growth spike was driven overwhelmingly by the oil sector; non-oil growth remained comparatively modest, so the headline figure overstates broad-based recovery."
evm_000056,wdi__FI.RES.TOTL,Total reserves in months of imports,2015-07-14,Iran nuclear deal (JCPOA) signed,timeline/global.csv,causal,3,increase,6 months to 1 year lag,Release of roughly $100bn in frozen Iranian assets after IAEA-verified implementation began in January 2016 directly boosted reserve availability.,"Much of the 'frozen assets' figure represented restricted, already-earned oil receivables rather than freely disposable new reserves, so the practical liquidity gain was smaller than the headline number."
evm_000057,fx__official_vs_parallel_gap_irn,U.S. Dollar Exchange Rate,2018-05-08,US withdraws from the JCPOA,timeline/global.csv,causal,5,increase,"same year, accelerating through 2019","Reimposed US sanctions and the threat of secondary sanctions on any bank dealing with Iran triggered a well-documented rial collapse in the parallel market in 2018, with the gap to the official rate widening several-fold within months.",Domestic mismanagement of a dual/multiple exchange-rate system introduced by the government in April 2018 (just before the US withdrawal) also directly fed the parallel-market blowout.
evm_000058,wdi__BX.GSR.MRCH,Goods exports,2018-05-08,US withdraws from the JCPOA,timeline/global.csv,causal,4,decrease,same year to 1 year lag,"Reimposition of oil sanctions (full 'snapback' by November 2018) cut Iranian crude exports from roughly 2.5 million to under 0.5 million barrels/day by 2019-2020, directly collapsing export revenue and oil rents.","A portion of the 2019-2020 decline coincides with the COVID-19 oil-demand collapse, which independently depressed both price and volume from March 2020 onward."
