correlation_id,chart_id,chart_title,event_date,event_title,event_source_file,relationship_type,confidence,direction,lag_description,justification,caveats
pcc-011,owid__oil_production_volume,Oil Production (physical volume),1979-02-11,Islamic Revolution,timeline/iran.csv,causal,5,negative,"immediate, deepening through the following two years","Production fell from 3079.9 (1978) to 1866.4 (1979, -39.4%) to 862.5 (1980, -53.8% further, -72.0% cumulative vs. 1978) to 769.4 (1981, the post-revolution trough) -- driven by the October-November 1978 oil workers' strikes that first cut output from ~6mbd to ~1.5mbd, the revolution itself, the US asset freeze, and then the outbreak of the Iran-Iraq War in September 1980 which directly damaged export terminals (Kharg Island) and refineries.","This is a multi-event cascade (strikes, revolution, asset freeze, war) compressed into three calendar years rather than a single clean before/after comparison -- the Iran-Iraq War begins event (1980-09-22) is a major contributing/compounding cause of the 1980-81 continuation of the decline, not just the 1979 revolution alone."
pcc-012,owid__oil_production_volume,Oil Production (physical volume),2011-12-31,NDAA Section 1245 targets Central Bank of Iran,timeline/iran.csv,causal,4,negative,"1-2 year lag, deepening through 2013","Production fell from 2471.7 (2011) to 2099.0 (2012, -15.1%) to 1973.3 (2013, -6.0% further, -20.2% cumulative) as the NDAA Central Bank sanctions, EU oil embargo (Jan 2012) and SWIFT disconnection (Mar 2012) combined to cut off Iran's ability to sell and get paid for crude, forcing a genuine production cutback rather than just a revenue/price effect.","Unlike the 1973 shock, this event DOES show up clearly in physical volume, not just revenue -- worth noting as a contrast, since sanctions constrain export capacity directly (buyers refusing cargoes, insurers refusing tankers) in a way price shocks alone do not."
pcc-013,owid__oil_production_volume,Oil Production (physical volume),2018-05-08,US withdraws from JCPOA,timeline/iran.csv,causal,5,negative,"immediate, deepening over 2 years","Production fell from 2598.7 (2018) to 1877.8 (2019, -27.7%) to 1713.9 (2020, -8.7% further, -34.1% cumulative) after the US withdrawal and the April 2019 decision to end sanctions waivers for oil-importing countries (explicitly aiming to cut Iran's exports to zero) -- one of the two sharpest production collapses in the entire post-1954 series, rivaled only by 1978-81.","COVID-19's 2020 demand collapse (GLOBAL, 2020-03-11) compounds the tail end of this decline and cannot be fully separated from the sanctions effect in the 2020 data point specifically."
pcc-014,owid__oil_production_volume,Oil Production (physical volume),2016-01-16,JCPOA Implementation Day,timeline/iran.csv,contributing,3,positive,"gradual, over 4 years (2020-2024)","Production recovered from the 2020 trough of 1713.9 to 2726.7 by 2024 (+59.1%), even without formal sanctions relief -- widely attributed in industry reporting to Iran's expanding sanctions-evasion export channel to China (discounted 'shadow fleet' crude sales), rather than to any dated policy-relief event in this project's timeline.","No clean single timeline event actually explains this recovery -- it is a gradual, largely sanctions-EVASION-driven trend rather than a sanctions-RELIEF one, so this row is included with the honest caveat that the event_date/event_title pairing here (JCPOA Implementation Day, Jan 2016) is only the closest available dated anchor for the general 'the sanctions regime is not airtight, and Iran has repeatedly adapted around it' theme, not a precise trigger for the 2020-2024 recovery specifically; confidence kept at 3 for that reason."
pcc-015,wdi__TX.VAL.FUEL.ZS,Fuel exports (% of merchandise exports),2018-05-08,US withdraws from JCPOA,timeline/iran.csv,causal,4,negative,"immediate, deepening through 2020","Fuel's share of merchandise exports fell from 68.7% (2018) to 38.5% (2019, -30.2 points) to 29.2% (2020, a further -9.4 points) -- a much sharper proportional collapse than total merchandise exports overall, showing sanctions hit oil exports specifically harder than non-oil trade, which proved comparatively more sanctions-resilient (informal/regional trade, petrochemicals reclassified outside the 'fuel' HS code, etc.).","WDI's Iran series for this indicator has real gaps (missing 2007-2009, 2012, missing post-2022) reflecting Iran's own patchy trade-data reporting under sanctions -- the 2018-2020 window used here is one of the few clean, complete runs in the series."
pcc-016,wdi__TX.VAL.MRCH.CD,Merchandise exports (current US$),1973-10-06,Yom Kippur War and 1973 oil embargo,timeline/global.csv,causal,5,positive,immediate,"Merchandise exports jumped from $2.67bn (1973) to $8.40bn (1974), +214.8% in a single year, as OPEC price increases following the embargo roughly quadrupled Iran's oil revenue -- one of the largest single-year moves in the entire series.",
pcc-017,wdi__TX.VAL.MRCH.CD,Merchandise exports (current US$),1986-01-01,1986 oil price collapse,timeline/global.csv,causal,5,negative,immediate,"Exports fell from $14.18bn (1985) to $7.17bn (1986), -49.4%, tracking the global oil-price crash from ~$27 to under $10/barrel after Saudi Arabia abandoned its swing-producer role -- Iran was simultaneously mid-war (Iran-Iraq War) and thus especially exposed to a price shock it could not offset by cutting output (it needed the foreign exchange for the war effort).","The Iran-Iraq War itself is a major confound/compounding factor for this whole 1980s window, not a separate additive shock -- war-driven export-terminal damage and a general wartime economic dislocation sit underneath the pure price-collapse effect."
pcc-018,wdi__TX.VAL.MRCH.CD,Merchandise exports (current US$),2008-09-15,Global Financial Crisis — Lehman Brothers collapse,timeline/global.csv,causal,4,negative,immediate,"Exports fell from $113.7bn (2008) to $78.8bn (2009), -30.6%, as the synchronized global recession crashed oil prices from ~$147 to ~$40/barrel within months -- Iran's exports track this global oil-price collapse closely despite having no direct exposure to the Western banking crisis itself.",
pcc-019,wdi__TX.VAL.MRCH.CD,Merchandise exports (current US$),2011-12-31,NDAA Section 1245 targets Central Bank of Iran,timeline/iran.csv,causal,5,negative,"immediate, deepening over 2 years","Exports fell from $132.0bn (2011, the all-time series peak) to $108.3bn (2012, -17.9%) to $90.8bn (2013, -16.2% further, -31.2% cumulative) as the NDAA Central Bank sanctions, EU oil embargo and SWIFT disconnection combined to cut off Iran's ability to sell oil and repatriate payment -- one of the cleanest, best-documented sanctions-to-trade-collapse pairings in this database.",
pcc-020,wdi__TX.VAL.MRCH.CD,Merchandise exports (current US$),2014-06-01,2014-2016 oil price collapse,timeline/global.csv,causal,4,negative,immediate,"Exports fell from $95.2bn (2014) to $70.3bn (2015), -26.2%, tracking the global oil-price slide from ~$115 to below $30/barrel amid US shale supply growth and OPEC's decision not to cut output -- a fiscal shock Iran shared with Saudi Arabia, Venezuela and Russia over this same window.",
pcc-021,wdi__TX.VAL.MRCH.CD,Merchandise exports (current US$),2018-05-08,US withdraws from JCPOA,timeline/iran.csv,causal,5,negative,"immediate, deepening over 2 years","Exports fell from $103.4bn (2018) to $65.7bn (2019, -36.5%) to $46.9bn (2020, -28.6% further, -54.6% cumulative) after JCPOA withdrawal, the April 2019 end of oil-import waivers explicitly aimed at zeroing out Iran's oil exports, and the COVID-19 demand shock layered on top in 2020 -- the steepest sustained multi-year export decline in the post-1979 series.","2020's contribution is a compound of sanctions AND the COVID-19 global demand collapse (GLOBAL, 2020-03-11) -- the two cannot be cleanly separated in this single aggregate series."
pcc-022,wdi__TM.VAL.MRCH.CD,Merchandise imports (current US$),1974-08-01,Great Civilization spending surge -- Fifth Plan revised,timeline/iran.csv,causal,4,positive,"immediate, compounding over 2 years","Imports rose from $3.39bn (1973) to $5.43bn (1974, +60.1%) to $10.34bn (1975, +90.4% further, +204.8% cumulative), tracking the Shah's revision of the Fifth Development Plan (investment nearly doubled from $36.5bn to $70bn, total government spending from $44bn to $123bn) that the 1973-74 oil windfall financed -- a textbook oil-boom import surge.",
pcc-023,wdi__TM.VAL.MRCH.CD,Merchandise imports (current US$),1979-02-11,Islamic Revolution,timeline/iran.csv,causal,4,negative,immediate,"Imports fell from $13.55bn (1978) to $9.74bn (1979), -28.1%, as the revolution disrupted trade financing, banking, and the general commercial economy.","The Nov 1979 US asset freeze and embassy hostage crisis fall late in this same year and add to the disruption, so 1979's full-year figure reflects a build-up of shocks, not one single dated event."
pcc-024,wdi__TM.VAL.MRCH.CD,Merchandise imports (current US$),1993-03-21,Exchange-rate unification attempt,timeline/iran.csv,contributing,3,negative,immediate to 1-2 years,"Imports fell from $27.93bn (1991, the post-war reconstruction peak) to $25.86bn (1992) to $21.43bn (1993) to $13.77bn (1994, -50.7% cumulative from the 1991 peak) as Rafsanjani's attempted exchange-rate unification collided with reserve pressure and partially unwound, forcing a sharp compression of the import-financed reconstruction boom that had followed the Iran-Iraq War.",The decline is gradual across four years and overlaps with a general post-reconstruction-boom cooling that would likely have occurred to some degree even without the FX-policy episode -- confidence kept at 'contributing' rather than 'causal' for that reason.
pcc-025,wdi__TM.VAL.MRCH.CD,Merchandise imports (current US$),2011-12-31,NDAA Section 1245 targets Central Bank of Iran,timeline/iran.csv,causal,4,negative,"immediate, deepening over 2 years","Imports fell from $61.76bn (2011) to $57.29bn (2012, -7.2%) to $46.57bn (2013, -18.7% further, -24.6% cumulative) as the same Central Bank/SWIFT/EU sanctions cluster that crushed exports also cut off the hard-currency and banking-channel access needed to pay for imports.",
pcc-026,wdi__TM.VAL.MRCH.CD,Merchandise imports (current US$),2018-05-08,US withdraws from JCPOA,timeline/iran.csv,causal,4,negative,"immediate, deepening over 2 years","Imports fell from $49.35bn (2018) to $41.83bn (2019, -15.2%) to $38.76bn (2020, -7.3% further, -21.5% cumulative) after sanctions reimposition cut hard-currency availability, compounded by the 2020 COVID-19 shock.","Import declines here are proportionally milder than the export declines over the same window (-21.5% vs. -54.6%), consistent with Iran prioritizing scarce foreign exchange for essential imports (food, medicine, intermediate goods) even as export earnings collapsed."
pcc-027,pahlavi__imports_by_commodity_value_1956_59,"Merchandise Imports by Commodity (Value, USD), 1956/57-1958/59",1955-09-01,Second Seven-Year Plan launched; First Seven-Year Plan,timeline/iran.csv,causal,4,positive,"concurrent, within the Plan's opening years","Total imports rose from $270.7m (1956/57) to $351.3m (1957/58, +29.8%) to $441.4m (1958/59, +25.6% further, +63.1% cumulative in two years), led by capital-goods categories: machinery imports nearly doubled ($25.0m to $49.3m, +97.2%) and iron-and-steel imports more than doubled ($23.6m to $50.6m, +114.4%) -- a clear capital-goods import surge consistent with Plan Organization-directed, Consortium-oil-revenue-financed infrastructure investment (Khuzestan dams, industrialization) getting underway.",This 3-year window (1956/57-1958/59) sits entirely inside the Second Plan period with no pre-Plan baseline year in the chart itself for a clean before/after comparison -- the within-window acceleration is suggestive rather than a sharp single-year inflection against a flat prior baseline.
pcc-028,pahlavi__ocean_trade_tonnage_1950_60,"Ocean-Borne Trade Tonnage, Excl. Petroleum, 1950/51-1959/60",1951-03-15,Oil industry nationalized,timeline/iran.csv,causal,4,mixed,"immediate, lasting through the boycott (1951-53)","Non-oil ocean-borne imports fell from 658,000 tonnes (1950/51) to 408,000 (1951/52, -38.0%) to 254,000 tonnes (1952/53, -37.7% further, -61.4% cumulative) as the AIOC-enforced international boycott of Iranian oil cut off the hard-currency earnings needed to pay for imports -- a textbook import-compression response to a foreign-exchange crisis. Non-oil EXPORTS rose over the same window (189,000 to 283,000 to 351,000 tonnes, +85.7% cumulative), consistent with merchants pushing non-oil goods (carpets, cotton, dried fruit) harder to earn scarce foreign exchange once oil revenue dried up.","Direction is 'mixed' because imports and exports moved in opposite directions -- both consistent with the same underlying foreign-exchange squeeze, but not a simple 'trade collapsed' story."
pcc-029,pahlavi__ocean_trade_tonnage_1950_60,"Ocean-Borne Trade Tonnage, Excl. Petroleum, 1950/51-1959/60",1954-08-19,Consortium Agreement,timeline/iran.csv,causal,4,positive,"immediate, compounding over 3 years","Imports rebounded from the 1953/54 low of 254,000 tonnes to 460,000 (1954/55, +81.1%) to 581,000 (1955/56) to 891,000 (1956/57) to 1,004,000 tonnes (1957/58) -- exceeding the pre-nationalization 1950/51 level (658,000) by more than 50% within three years, as restored oil revenue under the new Consortium eased the foreign-exchange constraint that had forced import compression during the boycott.",
pcc-030,pahlavi__exports_by_commodity_value_1956_59,"Merchandise Exports by Commodity (Value, USD), 1956/57-1958/59",1955-09-01,Second Seven-Year Plan launched; First Seven-Year Plan,timeline/iran.csv,context,2,none,"n/a — snapshot, not an inflection","Carpets were Iran's third-largest non-oil export earner in this window ($17.1m-19.5m/yr, 16.3-17.7% of non-oil exports, behind only raw cotton), captured here as the earliest REGISTERED chart data point in the carpet-export story. The much fuller and more dramatic arc of this narrative -- carpets rising to a $2.13bn peak in 1994 and collapsing to just $39.7m by 2024 (per Encyclopaedia Iranica CARPETS xii and multiple Iran International/Radio Farda reports) -- lives in data/processed/specialty_goods_series/carpet_exports_1960_1988.csv and carpet_exports_post1990.csv, which per that folder's own README and per iran_trade__cites_caviar_quota_trade_timeline_1998_2006's registry notes has NOT yet been promoted to its own chart_id in CHART_REGISTRY.csv. This row is offered as a placeholder anchor, not a real inflection-point finding.","Confidence deliberately low -- this is a scene-setting snapshot (3 flat years, no visible trend break) rather than a genuine data-driven correlation. The real carpet-collapse story is well documented to be MULTI-causal (synthetic-fiber and machine-made-rug competition from Turkey and elsewhere, changing Western consumer tastes away from traditional handwoven rugs, and sanctions-driven export-financing/banking difficulty especially post-2018) and should not be pinned on any single policy event once that fuller dataset is registered."
pcc-031,wdi__BN.CAB.XOKA,"Current account balance (BoP, current US$)",1979-01-01,Second oil shock,timeline/global.csv,causal,4,positive,immediate,"The current account surplus widened from $104m (1978) to $11.97bn (1979) as global oil prices roughly doubled following the Iranian Revolution's disruption of Iran's own supply -- a textbook case of the PRICE effect swamping the VOLUME effect: Iran's own oil exports were falling through the revolution, but the price windfall more than compensated in dollar terms.","The Islamic Revolution (1979-02-11, same year) is a direct alternative/compounding candidate event for the same data point -- the two are not separable within a single annual observation; listed under the GLOBAL price-shock event because the price mechanism is what actually drives the sign and scale of the current-account move."
pcc-032,wdi__BN.CAB.XOKA,"Current account balance (BoP, current US$)",1980-09-22,Iran-Iraq War begins,timeline/iran.csv,causal,4,negative,immediate,"The current account swung from a $11.97bn surplus (1979) to a $2.44bn deficit (1980), a roughly $14.4bn swing in one year, as the war's outbreak (Sept 1980) damaged export infrastructure and disrupted trade even as the Nov 1979 US asset freeze and April 1980 trade embargo (both already in effect) compounded the financial isolation.","Three IRN events (asset freeze Nov 1979, trade embargo Apr 1980, war Sept 1980) all fall within or just before this single annual data point -- the war is highlighted as the most direct cause of the swing to deficit specifically because it damaged physical export capacity, but the asset freeze and embargo are genuine compounding causes, not ruled out."
pcc-033,wdi__BX.KLT.DINV.CD,"Foreign direct investment, net inflows (BoP, current US$)",2002-03-21,Official/market exchange-rate unification,timeline/iran.csv,causal,4,positive,immediate to 1 year,"Net FDI inflows jumped from $39m (2000) to $408m (2001) to $3.52bn (2002), roughly a 90-fold increase in two years, right as Iran unified its notoriously fragmented multi-tier exchange-rate system -- a textbook FDI-facilitating reform since unpredictable profit-repatriation economics under multiple exchange rates is one of the most commonly cited deterrents to foreign investment in this kind of economy.",Global FDI flows to emerging markets were also broadly recovering in the early 2000s after the 1997-98 Asian crisis and 2001 dot-com bust -- a confound not fully separable from the Iran-specific reform. WDI's Iran FDI series is also volatile and revision-prone; a single large deal can dominate an annual figure.
pcc-034,wdi__BX.KLT.DINV.CD,"Foreign direct investment, net inflows (BoP, current US$)",2012-03-01,SWIFT disconnection and oil-export sanctions,timeline/iran.csv,contributing,3,negative,1-2 year lag,"FDI kept RISING through 2012 ($4.66bn, actually above 2011's $4.28bn) despite the NDAA/EU embargo/SWIFT sanctions cluster hitting that same year, then collapsed in 2013 ($3.05bn, -34.6%) and 2014 ($2.11bn, -31.1% further, -54.8% cumulative from the 2012 peak) as the sanctions regime matured and the October 2012 rial crash made Iran a much less attractive investment destination in dollar terms.","The counter-intuitive 2011-to-2012 RISE complicates a purely 'immediate sanctions shock' story -- FDI deals often reflect commitments made 1-2 years earlier, so the 2013-14 collapse more plausibly reflects the full, matured sanctions/rial-crash environment than the initial 2012 sanctions announcements themselves."
pcc-035,wdi__BX.KLT.DINV.CD,"Foreign direct investment, net inflows (BoP, current US$)",2016-01-16,JCPOA Implementation Day,timeline/iran.csv,causal,4,positive,immediate to 18 months,"FDI rose from $3.37bn (2016) to $5.02bn (2017, +48.9%), the series' second-highest year on record, as sanctions relief and roughly $56bn of unfrozen assets brought foreign investors (notably Peugeot/Renault automotive joint ventures and Airbus/Boeing aircraft orders, both widely reported at the time) back into Iran.",
pcc-036,wdi__BX.KLT.DINV.CD,"Foreign direct investment, net inflows (BoP, current US$)",2018-05-08,US withdraws from JCPOA,timeline/iran.csv,causal,5,negative,"immediate, deepening over 2 years","FDI collapsed from $5.02bn (2017) to $2.37bn (2018, -52.7%) to $1.51bn (2019, -36.5% further) to $1.34bn (2020, -73.3% cumulative from the 2017 peak) as major European firms (Total, Peugeot, Airbus among them) publicly announced their exit from Iran within months of the May 2018 withdrawal announcement, well documented in contemporaneous business press.",
pcc-037,faostat__Wheat__production,"Wheat — Production, Area & Yield",1962-01-09,Land Reform Law first stage enacted,timeline/iran.csv,contributing,2,mixed,"1-2 year dip, then 3-4 year gradual recovery/acceleration","Wheat production dipped from 2.75m tonnes (1962) to 2.47m tonnes (1963, -10.4%) right as the first-stage Land Reform Law took effect, then recovered to 2.62m (1964) and accelerated to 3.65m (1965, +39.1%) and 4.38m tonnes (1966) as land redistribution and accompanying irrigation/input investment matured.","Genuinely uncertain call: Iranian dryland wheat yields are heavily rainfall-driven and this database has no year-specific rainfall/drought data to rule out simple weather variability explaining the 1962-63 dip on its own. The land-reform-productivity link is also actively contested in the academic literature (some studies find short-run disruption from land fragmentation, others find later productivity gains from improved tenant-farmer incentives) -- offered as a plausible contributing factor, not an established causal claim; confidence kept low accordingly."
pcc-038,faostat__Rice__production,"Rice — Production, Area & Yield",2018-05-08,US withdraws from JCPOA,timeline/iran.csv,contributing,2,positive,1-2 year lag,"Rice production rose from 3.11m tonnes (2018) to 4.42m tonnes (2019, +42.4%) to 4.56m tonnes (2020, +46.8% cumulative), consistent with Iran's post-2018 intensification of its 'Resistance Economy' staple-crop self-sufficiency push (the general policy framework itself dated 2014-02-19 in this project's timeline, but reinvigorated in messaging and guaranteed-procurement-price terms once sanctions reimposition made food imports costlier in scarce hard currency).","2019 also saw severe, well-documented spring flooding across Gilan and Mazandaran (Iran's rice-growing heartland), which independently could explain higher paddy-water availability and yields that year regardless of any policy push. This project has no rainfall/flood dataset to separate the two effects, so this is a genuinely uncertain, likely multi-causal call; confidence kept low."
pcc-039,"faostat__Pistachios, in shell__production","Pistachios, in shell — Production, Area & Yield",1979-02-11,Islamic Revolution,timeline/iran.csv,causal,4,negative,immediate (same harvest year),"Pistachio output collapsed from 69,000 tonnes (1978) to just 9,000 tonnes (1979), -87.0%, consistent with the general 1978-79 disruption of capital, credit and export-marketing channels that hit this capital-intensive orchard crop (concentrated in Kerman/Rafsanjan, requiring stable multi-year investment and organized export marketing) especially hard -- many large orchard owners were also exactly the propertied class targeted by post-revolution asset confiscations.","FAOSTAT's pre-1980s Iran orchard-crop figures are visibly noisy even in non-crisis years (e.g. 1977's 27,000 tonnes to 1978's 69,000 tonnes is itself a 2.5x jump with no policy explanation available), so part of the apparent 1979 'collapse' likely reflects this series' general estimate-based volatility in the pre-modern-statistics era, not solely the revolution."
pcc-040,"faostat__Pistachios, in shell__production","Pistachios, in shell — Production, Area & Yield",2018-05-08,US withdraws from JCPOA,timeline/iran.csv,contributing,3,negative,immediate,"Production fell from 648,934 tonnes (2017, a series-record high) to 143,695 tonnes (2018, -77.9%) -- pistachios being one of Iran's top non-oil hard-currency export crops, and the collapse coincides with banking-sanctions reimposition that made dollar-denominated export financing and payment repatriation acutely difficult for exporters that year.","Multi-causal: agricultural trade press also widely reported a severe spring frost damaging Kerman-region pistachio orchards in 2017 (affecting the 2018 harvest specifically), and pistachio trees are well known to exhibit strong biennial/alternate-year bearing -- meaning a down-year was arguably predictable purely from 2017 being an unusually large harvest, independent of sanctions or weather. With at least three plausible contributing mechanisms (sanctions, frost, alternate-bearing biology), confidence is capped rather than treated as a clean causal hit."
pcc-041,faostat__Wheat and products__trade,Wheat and products — Imports & Exports,2011-12-31,NDAA Section 1245 targets Central Bank of Iran,timeline/iran.csv,contributing,2,positive,immediate to 1 year,"Wheat import quantity rose from 592,000 tonnes (2011) to 5,696,000 tonnes (2012), +862%. Food and medicine were nominally exempt from the 2011-12 sanctions escalation (NDAA Central Bank sanctions, EU oil embargo, SWIFT disconnection), but the near-total banking blockade made even exempt trade very hard to finance through normal correspondent-banking channels, and Iran is separately documented in press reporting to have resorted to gold shipments and oil-for-wheat barter arrangements to secure grain imports in this exact window.","The dominant driver is very likely non-policy: Iran's own wheat harvest fell sharply in 2011 (8.68m tonnes vs. 12.14m tonnes in 2010 per this project's own wheat-production chart, a ~28% domestic shortfall) which alone would explain a large import increase regardless of sanctions. The sanctions-banking-friction channel is offered as a secondary, harder-to-isolate complicating factor, not the primary driver -- confidence kept low."
