chart_id,title,category,primary_source,alt_sources,n_unit_variants_merged,underlying_codes,status
wdi__BX.TRF.PWKR.DT.GD,"Personal remittances, received (% of GDP)",Balance of Payments (Receipts),wdi,,1,BX.TRF.PWKR.DT.GD.ZS,new
wdi__SP.POP.6064.FE,"Population ages 60-64, female (% of female population)",Demographics & Population,wdi,,1,SP.POP.6064.FE.5Y,new
wdi__IP.IDS,"Industrial design applications, resident, by count",Intellectual Property,wdi,,2,IP.IDS.RSCT|IP.IDS.NRCT,new
wdi__SL.EMP.1524.SP.MA,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.1524.SP.MA.ZS,new
wdi__SP.POP.65UP.FE,"Population ages 65 and above, female",Demographics & Population,wdi,,2,SP.POP.65UP.FE.ZS|SP.POP.65UP.FE.IN,new
wdi__SE.LPV.PRIM.LD,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Education,wdi,,2,SE.LPV.PRIM.LD.MA|SE.LPV.PRIM.LD.FE,new
wdi__SE.SEC.CUAT.UP.MA,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",Education,wdi,,1,SE.SEC.CUAT.UP.MA.ZS,new
wdi__SP.POP.DPND,"Age dependency ratio, old (% of working-age population)",Demographics & Population,wdi,,2,SP.POP.DPND.YG|SP.POP.DPND.OL,new
wdi__NY.GNP.PCAP,GNI per capita (current LCU),Macro / National Accounts,wdi,,4,NY.GNP.PCAP.CN|NY.GNP.PCAP.KD|NY.GNP.PCAP.KN|NY.GNP.PCAP.CD,new
wdi__SE.PRM.TENR,"Adjusted net enrollment rate, primary, male (% of primary school age children)",Education,wdi,,2,SE.PRM.TENR.FE|SE.PRM.TENR.MA,new
wdi__IE.PPI.ICTI,Investment in ICT with private participation (current US$),Infrastructure (Energy),wdi,,1,IE.PPI.ICTI.CD,new
wdi__GB.XPD.RSDV.GD,Research and development expenditure (% of GDP),Government / Governance,wdi,,1,GB.XPD.RSDV.GD.ZS,new
wdi__SE.ADT.1524.LT,"Literacy rate, youth total (% of people ages 15-24)",Education,wdi,,1,SE.ADT.1524.LT.ZS,new
wdi__NE.GDI.FTOT,Gross fixed capital formation (% of GDP),Macro / Expenditure & Trade Aggregates,wdi,,5,NE.GDI.FTOT.CN|NE.GDI.FTOT.ZS|NE.GDI.FTOT.KN|NE.GDI.FTOT.KD|NE.GDI.FTOT.CD,new
wdi__SH.H2O.BASW.UR,"People using at least basic drinking water services, urban (% of urban population)",Health,wdi,,1,SH.H2O.BASW.UR.ZS,new
wdi__HD_HCIP_EDUC,"Human capital index plus (HCI+): education pillar score, male (scale 0–188)",Human Capital,wdi,,3,HD_HCIP_EDUC_TO|HD_HCIP_EDUC_MA|HD_HCIP_EDUC_FE,new
wdi__SH.MMR,Number of maternal deaths,Health,wdi,,2,SH.MMR.DTHS|SH.MMR.RISK,new
wdi__ER.H2O.FWIN,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Environment (Land & Resources),wdi,,1,ER.H2O.FWIN.ZS,new
wdi__MS.MIL.XPND.GD,Military expenditure (% of GDP),Military Expenditure,wdi,,1,MS.MIL.XPND.GD.ZS,new
wdi__SE.PRM,"Primary education, pupils",Education,wdi,,8,SE.PRM.ENRR|SE.PRM.ENRL|SE.PRM.TCHR|SE.PRM.DURS|SE.PRM.TENR|SE.PRM.UNER|SE.PRM.NENR|SE.PRM.AGES,new
wdi__SE.SEC.CUAT.LO.FE,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Education,wdi,,1,SE.SEC.CUAT.LO.FE.ZS,new
wdi__DC.DAC.ESPL,"Net bilateral aid flows from DAC donors, Spain (current US$)",Aid & Development Finance,wdi,,1,DC.DAC.ESPL.CD,new
wdi__BM.KLT.DINV.WD.GD,"Foreign direct investment, net outflows (% of GDP)",Balance of Payments (Payments),wdi,,1,BM.KLT.DINV.WD.GD.ZS,new
wdi__TM.TAX.MANF.SM.AR,"Tariff rate, applied, simple mean, manufactured products (%)",Trade (Imports),wdi,,1,TM.TAX.MANF.SM.AR.ZS,new
wdi__SI.POV,Gini index,Poverty & Inequality,wdi,,7,SI.POV.DDAY|SI.POV.UMIC|SI.POV.LMIC|SI.POV.MPWB|SI.POV.GINI|SI.POV.SOPO|SI.POV.GAPS,new
wdi__FM.AST.DOMS,Net domestic credit (current LCU),Financial Sector (Monetary),wdi,,1,FM.AST.DOMS.CN,new
wdi__SP.POP.2024.FE,"Population ages 20-24, female (% of female population)",Demographics & Population,wdi,,1,SP.POP.2024.FE.5Y,new
wdi__DT.DOD.DECT.GN,External debt stocks (% of GNI),External Debt,wdi,,1,DT.DOD.DECT.GN.ZS,new
wdi__SE.PRM.GINT.MA,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",Education,wdi,,1,SE.PRM.GINT.MA.ZS,new
wdi__NY.ADJ.AEDU,Adjusted savings: education expenditure (current US$),Macro / National Accounts,wdi,,1,NY.ADJ.AEDU.CD,new
wdi__SL.TLF.PART,"Part time employment, total (% of total employment)",Labor & Employment,wdi,,1,SL.TLF.PART.ZS,new
wdi__SL.GDP.PCAP.EM,GDP per person employed (constant 2021 PPP $),Labor & Employment,wdi,,1,SL.GDP.PCAP.EM.KD,new
wdi__TX.VAL.TRVL.ZS,Travel services (% of commercial service exports),Trade (Exports),wdi,,1,TX.VAL.TRVL.ZS.WT,new
wdi__PA.NUS.PRVT,Price level index (Households and NPISHs Final consumption expenditure),Purchasing Power Parity,wdi,,2,PA.NUS.PRVT.PP|PA.NUS.PRVT.PLI,new
wdi__GC.LBL.TOTL.GD,"Net incurrence of liabilities, total (% of GDP)",Government Finance,wdi,,1,GC.LBL.TOTL.GD.ZS,new
wdi__TM.VAL.MRCH.XD,Import value index (2015 = 100),Trade (Imports),wdi,,1,TM.VAL.MRCH.XD.WD,new
wdi__EN.BIR.THRD,"Bird species, threatened",Environment,wdi,,1,EN.BIR.THRD.NO,new
wdi__GC.TAX.IMPT,Customs and other import duties (current LCU),Government Finance,wdi,,2,GC.TAX.IMPT.CN|GC.TAX.IMPT.ZS,new
wdi__SH.ANM.ALLW,Prevalence of anemia among women of reproductive age (% of women ages 15-49),Health,wdi,,1,SH.ANM.ALLW.ZS,new
wdi__SP.POP.1519.MA,"Population ages 15-19, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.1519.MA.5Y,new
wdi__SE.SEC.ENRL.TC,"Pupil-teacher ratio, secondary",Education,wdi,,1,SE.SEC.ENRL.TC.ZS,new
wdi__FX.OWN.TOTL.FE,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Exchange Rates,wdi,,1,FX.OWN.TOTL.FE.ZS,new
wdi__NE.CON.TOTL,Final consumption expenditure (% of GDP),Macro / Expenditure & Trade Aggregates,wdi,,5,NE.CON.TOTL.KD|NE.CON.TOTL.KN|NE.CON.TOTL.ZS|NE.CON.TOTL.CN|NE.CON.TOTL.CD,new
wdi__SH.STA.STNT.ME,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",Health,wdi,,1,SH.STA.STNT.ME.ZS,new
wdi__SE.SEC.PROG.FE,"Progression to secondary school, female (%)",Education,wdi,,1,SE.SEC.PROG.FE.ZS,new
wdi__SE.SEC.ENRL.UP.TC,"Pupil-teacher ratio, upper secondary",Education,wdi,,1,SE.SEC.ENRL.UP.TC.ZS,new
wdi__SL.FAM.WORK.FE,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.FAM.WORK.FE.ZS,new
wdi__TM.VAL.MRCH.R6,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Trade (Imports),wdi,,1,TM.VAL.MRCH.R6.ZS,new
wdi__EG.ELC.FOSL,"Electricity production from oil, gas and coal sources (% of total)",Energy,wdi,,1,EG.ELC.FOSL.ZS,new
wdi__BX.GSR.INSF,"Insurance and financial services (% of service exports, BoP)",Balance of Payments (Receipts),wdi,,1,BX.GSR.INSF.ZS,new
wdi__NE.GDI.TOTL,Gross capital formation (% of GDP),Macro / Expenditure & Trade Aggregates,wdi,,5,NE.GDI.TOTL.ZS|NE.GDI.TOTL.CN|NE.GDI.TOTL.KN|NE.GDI.TOTL.CD|NE.GDI.TOTL.KD,new
wdi__EN.GHG.CO2.PC.CE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Environment,wdi,,1,EN.GHG.CO2.PC.CE.AR5,new
wdi__SL.UEM.TOTL.MA.NE,"Unemployment, male (% of male labor force) (national estimate)",Labor & Employment,wdi,,1,SL.UEM.TOTL.MA.NE.ZS,new
wdi__MS.MIL.MPRT,Arms imports (SIPRI trend indicator values),Military Expenditure,wdi,,1,MS.MIL.MPRT.KD,new
wdi__GC.XPN.GSRV,Goods and services expense (current LCU),Government Finance,wdi,,2,GC.XPN.GSRV.CN|GC.XPN.GSRV.ZS,new
wdi__SH.STA.OWGH.MA,"Prevalence of overweight, weight for height, male (% of children under 5)",Health,wdi,,1,SH.STA.OWGH.MA.ZS,new
wdi__SH.XPD.OOPC.PP,"Out-of-pocket expenditure per capita, PPP (current international $)",Health,wdi,,1,SH.XPD.OOPC.PP.CD,new
wdi__EN.GHG.N2O.ZG,Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),Environment,wdi,,1,EN.GHG.N2O.ZG.AR5,new
wdi__NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (annual % growth),Macro / National Accounts,wdi,,1,NY.ADJ.NNTY.PC.KD.ZG,new
wdi__GOV_WGI_GE,Government Effectiveness - Governance score (0-100),Governance (WGI),wdi,,2,GOV_WGI_GE_SC|GOV_WGI_GE_EST,new
wdi__NY.ADJ.NNAT.GN,Adjusted savings: net national savings (% of GNI),Macro / National Accounts,wdi,,1,NY.ADJ.NNAT.GN.ZS,new
wdi__SH.DTH,Number of infant deaths,Health,wdi,,7,SH.DTH.MORT|SH.DTH.2024|SH.DTH.1014|SH.DTH.IMRT|SH.DTH.1519|SH.DTH.NMRT|SH.DTH.0509,new
wdi__SE.PRM.REPT.MA,"Repeaters, primary, male (% of male enrollment)",Education,wdi,,1,SE.PRM.REPT.MA.ZS,new
wdi__EN.GHG.CO2.PI.MT.CE,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CO2.PI.MT.CE.AR5,new
wdi__TX.VAL.MRCH.R2,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Trade (Exports),wdi,,1,TX.VAL.MRCH.R2.ZS,new
wdi__EG.USE.CRNW,Combustible renewables and waste (% of total energy),Energy,wdi,,1,EG.USE.CRNW.ZS,new
wdi__AG.LND.FRST,Forest area (sq. km),Agriculture & Rural Development,wdi,,2,AG.LND.FRST.K2|AG.LND.FRST.ZS,new
wdi__SE.PRM.CMPT,"Primary completion rate, total (% of relevant age group)",Education,wdi,,1,SE.PRM.CMPT.ZS,new
wdi__SP.POP.5054.MA,"Population ages 50-54, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.5054.MA.5Y,new
wdi__IT.CEL.SETS,Mobile cellular subscriptions (per 100 people),Infrastructure & Technology,wdi,,1,IT.CEL.SETS.P2,new
wdi__DT.NFL.WITC,"Net official flows from UN agencies, WTO-ITC (current US$)",External Debt,wdi,,1,DT.NFL.WITC.CD,new
wdi__SP.POP.BRTH,Sex ratio at birth (male births per female births),Demographics & Population,wdi,,1,SP.POP.BRTH.MF,new
wdi__NE.IMP.GNFS,Imports of goods and services (% of GDP),Macro / Expenditure & Trade Aggregates,wdi,,5,NE.IMP.GNFS.ZS|NE.IMP.GNFS.CN|NE.IMP.GNFS.KN|NE.IMP.GNFS.CD|NE.IMP.GNFS.KD,new
wdi__BM.GSR.FCTY,"Primary income payments (BoP, current US$)",Balance of Payments (Payments),wdi,,1,BM.GSR.FCTY.CD,new
wdi__BX.KLT.DINV.CD,"Foreign direct investment, net inflows (BoP, current US$)",Balance of Payments (Receipts),wdi,,1,BX.KLT.DINV.CD.WD,new
wdi__NY.GDP.FCST,Gross value added at basic prices (GVA) (current LCU),Macro / National Accounts,wdi,,4,NY.GDP.FCST.KN|NY.GDP.FCST.CN|NY.GDP.FCST.CD|NY.GDP.FCST.KD,new
wdi__NY.ADJ.SVNX.GN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",Macro / National Accounts,wdi,,1,NY.ADJ.SVNX.GN.ZS,new
wdi__SE.PRM.OENR.MA,"Over-age students, primary, male (% of male enrollment)",Education,wdi,,1,SE.PRM.OENR.MA.ZS,new
wdi__TM.VAL.MRCH.WL,Merchandise imports by the reporting economy (current US$),Trade (Imports),wdi,,1,TM.VAL.MRCH.WL.CD,new
wdi__SE.ADT.1524.LT.FE,"Literacy rate, youth female (% of females ages 15-24)",Education,wdi,,1,SE.ADT.1524.LT.FE.ZS,new
wdi__NY.GNP.ATLS,"GNI, Atlas method (current US$)",Macro / National Accounts,wdi,,1,NY.GNP.ATLS.CD,new
wdi__AG.YLD.CREL,Cereal yield (kg per hectare),Agriculture & Rural Development,wdi,,1,AG.YLD.CREL.KG,new
wdi__SL.UEM.ADVN.FE,"Unemployment with advanced education, female (% of female labor force with advanced education)",Labor & Employment,wdi,,1,SL.UEM.ADVN.FE.ZS,new
wdi__TM.VAL.MRCH.HI,Merchandise imports from high-income economies (% of total merchandise imports),Trade (Imports),wdi,,1,TM.VAL.MRCH.HI.ZS,new
wdi__NE.GDI.STKB,Changes in inventories (current LCU),Macro / Expenditure & Trade Aggregates,wdi,,3,NE.GDI.STKB.CN|NE.GDI.STKB.KN|NE.GDI.STKB.CD,new
wdi__AG.LND.IRIG.AG,Agricultural irrigated land (% of total agricultural land),Agriculture & Rural Development,wdi,,1,AG.LND.IRIG.AG.ZS,new
wdi__FX.OWN.TOTL.OL,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Exchange Rates,wdi,,1,FX.OWN.TOTL.OL.ZS,new
wdi__FR.INR,Real interest rate (%),Financial Sector (Interest Rates),wdi,,4,FR.INR.RINR|FR.INR.DPST|FR.INR.LNDP|FR.INR.LEND,new
wdi__TX.MNF.TECH.ZS,Medium and high-tech exports (% manufactured exports),Trade (Exports),wdi,,1,TX.MNF.TECH.ZS.UN,new
wdi__NE.EXP.GNFS,Exports of goods and services (% of GDP),Macro / Expenditure & Trade Aggregates,wdi,,5,NE.EXP.GNFS.KN|NE.EXP.GNFS.CD|NE.EXP.GNFS.ZS|NE.EXP.GNFS.CN|NE.EXP.GNFS.KD,new
wdi__EN.GHG.CO2.FE.MT.CE,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CO2.FE.MT.CE.AR5,new
wdi__SP.POP.0014.MA,"Population ages 0-14, male",Demographics & Population,wdi,,2,SP.POP.0014.MA.ZS|SP.POP.0014.MA.IN,new
wdi__NY.ADJ.DKAP,Adjusted savings: consumption of fixed capital (current US$),Macro / National Accounts,wdi,,1,NY.ADJ.DKAP.CD,new
wdi__SL.EMP.MPYR.FE,"Employers, female (% of female employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.EMP.MPYR.FE.ZS,new
wdi__FD.AST.PRVT.GD,Domestic credit to private sector by banks (% of GDP),Financial Sector (Private Credit),wdi,,1,FD.AST.PRVT.GD.ZS,new
wdi__SL.FAM.WORK,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.FAM.WORK.ZS,new
wdi__SE.TER.CUAT.BA.FE,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Education,wdi,,1,SE.TER.CUAT.BA.FE.ZS,new
wdi__EG.USE.COMM.CL,Alternative and nuclear energy (% of total energy use),Energy,wdi,,1,EG.USE.COMM.CL.ZS,new
wdi__SH.SGR.PROC,"Number of surgical procedures (per 100,000 population)",Health,wdi,,1,SH.SGR.PROC.P5,new
wdi__EN.GHG.N2O.AG.MT.CE,Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),Environment,wdi,,1,EN.GHG.N2O.AG.MT.CE.AR5,new
wdi__SP.POP.5559.MA,"Population ages 55-59, male (% of male population)",Demographics & Population,wdi,,1,SP.POP.5559.MA.5Y,new
wdi__SE.SEC.CUAT.PO.FE,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Education,wdi,,1,SE.SEC.CUAT.PO.FE.ZS,new
wdi__GOV_WGI_RL,Rule of Law - Governance score (0-100),Governance (WGI),wdi,,2,GOV_WGI_RL_SC|GOV_WGI_RL_EST,new
wdi__TM.VAL.MRCH.WR,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),Trade (Imports),wdi,,1,TM.VAL.MRCH.WR.ZS,new
wdi__SH.XPD.CHEX.PC,Current health expenditure per capita (current US$),Health,wdi,,1,SH.XPD.CHEX.PC.CD,new
wdi__GC.NLD.TOTL,Net lending (+) / net borrowing (-) (current LCU),Government Finance,wdi,,1,GC.NLD.TOTL.CN,new
wdi__ER.H2O.INTR,Renewable internal freshwater resources per capita (cubic meters),Environment (Land & Resources),wdi,,2,ER.H2O.INTR.PC|ER.H2O.INTR.K3,new
wdi__SP.REG.BRTH.FE,"Completeness of birth registration, female (%)",Demographics & Population,wdi,,1,SP.REG.BRTH.FE.ZS,new
wdi__NY.GDS.TOTL,Gross domestic savings (% of GDP),Macro / National Accounts,wdi,,3,NY.GDS.TOTL.CD|NY.GDS.TOTL.CN|NY.GDS.TOTL.ZS,new
wdi__SL.UEM.1524.MA,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.UEM.1524.MA.ZS,new
wdi__SI.DST.05TH,Income share held by highest 20%,Poverty & Inequality,wdi,,1,SI.DST.05TH.20,new
wdi__SL.TLF.ACTI.1524.FE.NE,"Labor force participation rate for ages 15-24, female (%) (national estimate)",Labor & Employment,wdi,,1,SL.TLF.ACTI.1524.FE.NE.ZS,new
wdi__GC.XPN.OTHR,Other expense (current LCU),Government Finance,wdi,,2,GC.XPN.OTHR.ZS|GC.XPN.OTHR.CN,new
wdi__SE.PRM.REPT,"Repeaters, primary, total (% of total enrollment)",Education,wdi,,1,SE.PRM.REPT.ZS,new
wdi__SL.EMP.1524.SP.NE,"Employment to population ratio, ages 15-24, total (%) (national estimate)",Labor & Employment,wdi,,1,SL.EMP.1524.SP.NE.ZS,new
wdi__SE.XPD.CTER,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",Education,wdi,,1,SE.XPD.CTER.ZS,new
wdi__SE.SEC,"Secondary education, pupils",Education,wdi,,6,SE.SEC.DURS|SE.SEC.NENR|SE.SEC.AGES|SE.SEC.ENRR|SE.SEC.TCHR|SE.SEC.ENRL,new
wdi__SL.TLF.CACT.FM.NE,Ratio of female to male labor force participation rate (%) (national estimate),Labor & Employment,wdi,,1,SL.TLF.CACT.FM.NE.ZS,new
wdi__HD_HCIP_OTJL,"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30–87)",Human Capital,wdi,,3,HD_HCIP_OTJL_MA|HD_HCIP_OTJL_FE|HD_HCIP_OTJL_TO,new
wdi__LP.LPI.INFR,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),Logistics Performance,wdi,,1,LP.LPI.INFR.XQ,new
wdi__HD_HCIP_HLTH,"Human capital index plus (HCI+): health pillar score, male (scale 0–50)",Human Capital,wdi,,3,HD_HCIP_HLTH_MA|HD_HCIP_HLTH_FE|HD_HCIP_HLTH_TO,new
wdi__SH.STA.OWGH.FE,"Prevalence of overweight, weight for height, female (% of children under 5)",Health,wdi,,1,SH.STA.OWGH.FE.ZS,new
wdi__EN.ATM.PM25.MC.T3,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",Environment,wdi,,1,EN.ATM.PM25.MC.T3.ZS,new
wdi__SH.XPD.EHEX.PP,"External health expenditure per capita, PPP (current international $)",Health,wdi,,1,SH.XPD.EHEX.PP.CD,new
wdi__SE.TER.CUAT.BA.MA,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Education,wdi,,1,SE.TER.CUAT.BA.MA.ZS,new
wdi__SL.SRV.EMPL.FE,"Employment in services, female (% of female employment) (modeled ILO estimate)",Labor & Employment,wdi,,1,SL.SRV.EMPL.FE.ZS,new
wdi__AG.CON.FERT.PT,Fertilizer consumption (% of fertilizer production),Agriculture & Rural Development,wdi,,1,AG.CON.FERT.PT.ZS,new
wdi__FX.OWN.TOTL.PL,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Exchange Rates,wdi,,1,FX.OWN.TOTL.PL.ZS,new
wdi__NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (annual % growth),Macro / Expenditure & Trade Aggregates,wdi,,1,NE.CON.PRVT.KD.ZG,new
wdi__SE.PRM.PRS5,"Persistence to grade 5, total (% of cohort)",Education,wdi,,1,SE.PRM.PRS5.ZS,new
wdi__DT.NFL.PNGC,"PNG, commercial banks and other creditors (NFL, current US$)",External Debt,wdi,,1,DT.NFL.PNGC.CD,new
wdi__DT.DOD.DLXF,"External debt stocks, long-term (DOD, current US$)",External Debt,wdi,,1,DT.DOD.DLXF.CD,new
wdi__DT.ODA.ODAT.MP,"Net ODA received (% of imports of goods, services and primary income)",External Debt,wdi,,1,DT.ODA.ODAT.MP.ZS,new
wdi__SH.SVR.WAST.FE,"Prevalence of severe wasting, weight for height, female (% of children under 5)",Health,wdi,,1,SH.SVR.WAST.FE.ZS,new
wdi__IP.TMK,"Trademark applications, resident, by count",Intellectual Property,wdi,,2,IP.TMK.RSCT|IP.TMK.NRCT,new
wdi__FB.ATM.TOTL,"Automated teller machines (ATMs) (per 100,000 adults)",Financial Sector (Banking Access),wdi,,1,FB.ATM.TOTL.P5,new
wdi__SM.POP,Net migration,Migration,wdi,,3,SM.POP.NETM|SM.POP.FDIP|SM.POP.TOTL,new
wdi__EN.POP.SLUM.UR,Population living in slums (% of urban population),Environment,wdi,,1,EN.POP.SLUM.UR.ZS,new
wdi__EN.GHG.CO2.IC.MT.CE,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Environment,wdi,,1,EN.GHG.CO2.IC.MT.CE.AR5,new
wdi__EN.POP.EL5M,Population living in areas where elevation is below 5 meters (% of total population),Environment,wdi,,1,EN.POP.EL5M.ZS,new
wdi__NE.CON.PRVT.PP,"Households and NPISHs Final consumption expenditure, PPP (current international $)",Macro / Expenditure & Trade Aggregates,wdi,,2,NE.CON.PRVT.PP.KD|NE.CON.PRVT.PP.CD,new
