chart_id,title,title_fa,category,category_fa,primary_source,alt_sources,n_unit_variants_merged,underlying_codes,status,extends_chart_id,merged_into,time_range,notes,citations_json
wdi__ST.INT.TVLX,"International tourism, expenditures for travel items",گردشگری بین‌المللی، هزینه‌های اقلام سفر (دلار جاری آمریکا),Tourism & Trade Services,گردشگری و خدمات تجاری,wdi,,1,ST.INT.TVLX.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/ST.INT.TVLX.CD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__EN.GHG.ALL.PC.CE,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),سرانه کل انتشار گازهای گلخانه‌ای به استثنای LULUCF (تن معادل CO2 سرانه),Environment,محیط‌زیست,wdi,,1,EN.GHG.ALL.PC.CE.AR5,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/EN.GHG.ALL.PC.CE.AR5"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SL.UEM.NEET.ME,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",سهم جوانان خارج از آموزش، اشتغال یا آموزش حرفه‌ای، کل (درصد از جمعیت جوانان) (برآورد مدل‌سازی‌شده سازمان بین‌المللی کار),Labor & Employment,نیروی کار و اشتغال,wdi,,1,SL.UEM.NEET.ME.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SL.UEM.NEET.ME.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__DT.NFL.PROP,"PPG, other private creditors (NFL, current US$)",بدهی عمومی و دارای تضمین دولتی، سایر طلبکاران خصوصی (PPG) (NFL، دلار جاری آمریکا),External Debt,بدهی خارجی,wdi,,1,DT.NFL.PROP.CD,merged,,proposed__external_debt_net_flows_by_creditor_type,,2026-07-14 quality audit: folded into proposed__external_debt_net_flows_by_creditor_type as variant,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/DT.NFL.PROP.CD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__GC.REV.XGRT,"Revenue, excluding grants",درآمد، به استثنای کمک‌های بلاعوض (ریال جاری),Government Finance,مالیه دولت,wdi,pahlavi-era-primary-extraction (FY1958/59 (single year)) | pahlavi-era-primary-extraction (FY1962/63-1971/72 (incl. budget-estimate/revised-estimate/draft-budget columns for 1970/71-1971/72)),1,GC.REV.XGRT.CN,new,,,,"WDI's Iran GC.* government-finance series (incl. GC.REV.XGRT) only starts 1972 -- this single actual-revenue year sits 14 years before WDI's own Iran coverage begins. Direct/indirect tax and oil-transfer breakdown by category, actuals not budget. Unit: million rials, 1958/59 exchange rate -- do not convert to USD without checking the source table's own stated rate (see pahlavi_government_finance_series/README.md). || Almost entirely fills the pre-1972 gap in WDI's Iran GC.REV.XGRT coverage (WDI starts 1972; this table runs through FY1971/72, ending exactly at the WDI boundary). Overlaps in time with pahlavi__central_govt_operations_summary_1962_73's 'Total Revenues' rows (1962-1971) but the two multi-year tables' totals do NOT agree exactly (e.g. FY1969/70: 143.9bn vs 150.4bn rials for the same nominal year, per README) -- kept as two distinct report vintages, not merged into one reconciled figure. Direct/indirect tax and oil revenue breakdown by category.","[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/GC.REV.XGRT.CN"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__TM.VAL.MMTL.ZS,Ores and metals imports (% of merchandise imports),واردات سنگ‌معدن و فلزات (درصد از واردات کالا),Trade (Imports),تجارت (واردات),wdi,,1,TM.VAL.MMTL.ZS.UN,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/TM.VAL.MMTL.ZS.UN"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__TM.QTY.MRCH.XD,Import volume index,شاخص حجم واردات (2015 = 100),Trade (Imports),تجارت (واردات),wdi,,1,TM.QTY.MRCH.XD.WD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/TM.QTY.MRCH.XD.WD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__GC.NFN.TOTL,Net investment in nonfinancial assets,سرمایه‌گذاری خالص در دارایی‌های غیرمالی (ریال جاری),Government Finance,مالیه دولت,wdi,,1,GC.NFN.TOTL.CN,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/GC.NFN.TOTL.CN"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__BM.GSR.TOTL,"Imports of goods, services and primary income",واردات کالا، خدمات و درآمد اولیه (موازنه پرداخت‌ها، دلار جاری آمریکا),Balance of Payments (Payments),تراز پرداخت‌ها (پرداخت‌ها),wdi,,1,BM.GSR.TOTL.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/BM.GSR.TOTL.CD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__NY.ADJ.NNTY.KD,Adjusted net national income (annual % growth),رشد درآمد خالص ملی تعدیل‌شده (درصد سالانه),Macro / National Accounts,کلان / حساب‌های ملی,wdi,,1,NY.ADJ.NNTY.KD.ZG,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/NY.ADJ.NNTY.KD.ZG"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SL.TLF.ACTI.1524.MA,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",نرخ مشارکت نیروی کار در گروه سنی 15 تا 24 سال، مردان (درصد) (برآورد مدل‌سازی‌شده سازمان بین‌المللی کار),Labor & Employment,نیروی کار و اشتغال,wdi,,1,SL.TLF.ACTI.1524.MA.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SL.TLF.ACTI.1524.MA.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__ER.PTD.TOTL,Terrestrial and marine protected areas (% of total territorial area),مناطق حفاظت‌شده خشکی و دریایی (درصد از کل مساحت سرزمینی),Environment (Land & Resources),محیط‌زیست (زمین و منابع),wdi,,1,ER.PTD.TOTL.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/ER.PTD.TOTL.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SI.SPR.PCAP,"Annualized average growth rate in per capita real survey mean consumption or income, total population",نرخ رشد سالانه میانگین مصرف یا درآمد واقعی سرانه بر پایه بررسی میدانی، کل جمعیت (درصد),Poverty & Inequality,فقر و نابرابری,wdi,,1,SI.SPR.PCAP.ZG,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SI.SPR.PCAP.ZG"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SH.XPD.GHED.PP,"Domestic general government health expenditure per capita, PPP",سرانه هزینه سلامت عمومی دولت داخلی، برابری قدرت خرید (دلار بین‌المللی جاری),Health,سلامت,wdi,,1,SH.XPD.GHED.PP.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SH.XPD.GHED.PP.CD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SP.POP.4044.MA,"Population ages 40-44, male (% of male population)",جمعیت گروه سنی 40 تا 44 سال، مردان (درصد از جمعیت مردان),Demographics & Population,جمعیت‌شناسی و جمعیت,wdi,,1,SP.POP.4044.MA.5Y,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SP.POP.4044.MA.5Y"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SL.TLF.BASC.FE,"Labor force with basic education, female (% of female working-age population with basic education)",نیروی کار با تحصیلات پایه، زنان (درصد از جمعیت زنان در سن کار دارای تحصیلات پایه),Labor & Employment,نیروی کار و اشتغال,wdi,,1,SL.TLF.BASC.FE.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SL.TLF.BASC.FE.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__NV.SRV.TOTL,"Services, value added (% of GDP)",ارزش افزوده خدمات (درصد از تولید ناخالص داخلی),Industry / Value Added by Sector,صنعت / ارزش افزوده بخشی,wdi,,5,NV.SRV.TOTL.KN|NV.SRV.TOTL.KD|NV.SRV.TOTL.CN|NV.SRV.TOTL.ZS|NV.SRV.TOTL.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/NV.SRV.TOTL.KN"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SE.SEC.NENR,"School enrollment, secondary, by sex (% net)",ثبت‌نام در مقطع متوسطه، به تفکیک جنسیت (درصد خالص),Education,آموزش,wdi,,2,SE.SEC.NENR.FE|SE.SEC.NENR.MA,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SE.SEC.NENR.FE"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SP.M18.2024.FE,Women who were first married by age 18 (% of women ages 20-24),زنانی که برای نخستین بار تا سن 18 سالگی ازدواج کرده‌اند (درصد از زنان 20 تا 24 ساله),Demographics & Population,جمعیت‌شناسی و جمعیت,wdi,,1,SP.M18.2024.FE.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SP.M18.2024.FE.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SL.AGR.EMPL.FE,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",اشتغال در بخش کشاورزی، زنان (درصد از اشتغال زنان) (برآورد مدل‌سازی‌شده سازمان بین‌المللی کار),Labor & Employment,نیروی کار و اشتغال,wdi,,1,SL.AGR.EMPL.FE.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SL.AGR.EMPL.FE.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__ST.INT.TVLR,"International tourism, receipts for travel items",گردشگری بین‌المللی، درآمدهای اقلام سفر (دلار جاری آمریکا),Tourism & Trade Services,گردشگری و خدمات تجاری,wdi,,1,ST.INT.TVLR.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/ST.INT.TVLR.CD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__TT.PRI.MRCH.XD,Net barter terms of trade index,شاخص شرایط مبادله کالایی خالص (2015 = 100),Terms of Trade,شرایط تجاری (نسبت مبادله),wdi,,1,TT.PRI.MRCH.XD.WD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/TT.PRI.MRCH.XD.WD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__EN.GHG.CO2.TR.MT.CE,Carbon dioxide (CO2) emissions from Transport (Energy),انتشار دی‌اکسید کربن (CO2) از حمل‌ونقل (انرژی) (مگاتن معادل CO2),Environment,محیط‌زیست,wdi,,1,EN.GHG.CO2.TR.MT.CE.AR5,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/EN.GHG.CO2.TR.MT.CE.AR5"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__BX.TRF.PWKR.DT.GD,"Personal remittances, received (% of GDP)",حواله‌های شخصی دریافتی (درصد از تولید ناخالص داخلی),Balance of Payments (Receipts),تراز پرداخت‌ها (دریافت‌ها),wdi,,1,BX.TRF.PWKR.DT.GD.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/BX.TRF.PWKR.DT.GD.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SP.POP.6064.FE,"Population ages 60-64, female (% of female population)",جمعیت گروه سنی 60 تا 64 سال، زنان (درصد از جمعیت زنان),Demographics & Population,جمعیت‌شناسی و جمعیت,wdi,,1,SP.POP.6064.FE.5Y,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SP.POP.6064.FE.5Y"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__IP.IDS,"Industrial design applications, resident, by count",درخواست‌های ثبت طرح صنعتی، مقیم، بر حسب تعداد,Intellectual Property,مالکیت فکری,wdi,,2,IP.IDS.RSCT|IP.IDS.NRCT,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/IP.IDS.RSCT"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SL.EMP.1524.SP.MA,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",نسبت اشتغال به جمعیت، گروه سنی 15 تا 24 سال، مردان (درصد) (برآورد مدل‌سازی‌شده سازمان بین‌المللی کار),Labor & Employment,نیروی کار و اشتغال,wdi,,1,SL.EMP.1524.SP.MA.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SL.EMP.1524.SP.MA.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SP.POP.65UP.FE,"Population ages 65 and above, female",جمعیت 65 سال به بالا، زنان,Demographics & Population,جمعیت‌شناسی و جمعیت,wdi,,2,SP.POP.65UP.FE.ZS|SP.POP.65UP.FE.IN,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SP.POP.65UP.FE.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SE.LPV.PRIM.LD,"Pupils below minimum reading proficiency at end of primary, by sex (%). Low GAML threshold",دانش‌آموزان زیر حداقل مهارت خواندن در پایان دوره ابتدایی، به تفکیک جنسیت (درصد). آستانه پایین GAML,Education,آموزش,wdi,,2,SE.LPV.PRIM.LD.MA|SE.LPV.PRIM.LD.FE,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SE.LPV.PRIM.LD.MA"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SE.SEC.CUAT.UP.MA,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",میزان تحصیلات، حداقل تکمیل دوره متوسطه دوم، جمعیت 25 سال به بالا، مردان (درصد) (تجمعی),Education,آموزش,wdi,,1,SE.SEC.CUAT.UP.MA.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SE.SEC.CUAT.UP.MA.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SP.POP.DPND,"Age dependency ratio, old (% of working-age population)",نسبت وابستگی سالمندان (درصد از جمعیت در سن کار),Demographics & Population,جمعیت‌شناسی و جمعیت,wdi,,2,SP.POP.DPND.YG|SP.POP.DPND.OL,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SP.POP.DPND.YG"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__NY.GNP.PCAP,GNI per capita,تولید ناخالص ملی سرانه (ریال جاری),Macro / National Accounts,کلان / حساب‌های ملی,wdi,,4,NY.GNP.PCAP.CN|NY.GNP.PCAP.KD|NY.GNP.PCAP.KN|NY.GNP.PCAP.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/NY.GNP.PCAP.CN"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SE.PRM.TENR,"Adjusted net enrollment rate, primary, by sex (% of primary school age children)",نرخ خالص ثبت‌نام تعدیل‌شده، دوره ابتدایی، به تفکیک جنسیت (درصد از کودکان در سن ابتدایی),Education,آموزش,wdi,,2,SE.PRM.TENR.FE|SE.PRM.TENR.MA,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SE.PRM.TENR.FE"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__IE.PPI.ICTI,Investment in ICT with private participation,سرمایه‌گذاری در بخش فناوری اطلاعات و ارتباطات با مشارکت خصوصی (دلار جاری آمریکا),Infrastructure (Energy),زیرساخت (انرژی),wdi,,1,IE.PPI.ICTI.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/IE.PPI.ICTI.CD"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__GB.XPD.RSDV.GD,Research and development expenditure (% of GDP),مخارج تحقیق و توسعه (درصد از تولید ناخالص داخلی),Government / Governance,دولت / حکمرانی,wdi,,1,GB.XPD.RSDV.GD.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SE.ADT.1524.LT,"Literacy rate, youth total (% of people ages 15-24)",نرخ باسوادی جوانان، کل (درصد از افراد 15 تا 24 سال),Education,آموزش,wdi,,1,SE.ADT.1524.LT.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SE.ADT.1524.LT.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__NE.GDI.FTOT,Gross fixed capital formation (% of GDP),تشکیل ناخالص سرمایه ثابت (درصد از تولید ناخالص داخلی),Macro / Expenditure & Trade Aggregates,کلان / تجمیع‌های هزینه و تجارت,wdi,,5,NE.GDI.FTOT.CN|NE.GDI.FTOT.ZS|NE.GDI.FTOT.KN|NE.GDI.FTOT.KD|NE.GDI.FTOT.CD,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/NE.GDI.FTOT.CN"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__SH.H2O.BASW.UR,"People using at least basic drinking water services, urban (% of urban population)",افراد استفاده‌کننده از حداقل خدمات پایه آب آشامیدنی، شهری (درصد از جمعیت شهری),Health,سلامت,wdi,,1,SH.H2O.BASW.UR.ZS,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/SH.H2O.BASW.UR.ZS"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
wdi__HD_HCIP_EDUC,"Human capital index plus (HCI+): education pillar score, male (scale 0, 188)",شاخص سرمایه انسانی به‌علاوه (HCI+): امتیاز رکن آموزش، مردان (مقیاس 0 تا 188),Human Capital,سرمایه انسانی,wdi,,3,HD_HCIP_EDUC_TO|HD_HCIP_EDUC_MA|HD_HCIP_EDUC_FE,new,,,,,"[{""source_org"": ""World Bank, World Development Indicators"", ""source_url"": ""https://data.worldbank.org/indicator/HD_HCIP_EDUC_TO"", ""access_date"": ""2026-07-13"", ""time_range"": """"}]"
