"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,

"2. Population by sex, residence, and intercensal rates of increase for total population, each census: 1948-1997",,,,,,,,,,,,,,,,,,
"Population selon le sexe, résidence et taux d'accroissement intercensitaire pour la population totale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,

"Continent, country or area and date",,,Source[a],Enumerated population,,,,,,Annual rate,,Urban population,,,,Rural population,,
,,21 IX 1960,Cdf,25984101,,13068012,,12916089,,[...],,9863703,,38,,16120398,,62
,,31 V 1966,Cdf,30075858,,15175554,,14900304,,2.4,,12384502,,41.2,,17691356,,58.8
,,22 XI 1976,Cdf,36626204,,18647289,,17978915,,2,,16036403,,43.8,,20589801,,56.2
,,17 XI 1986,Cdf,48254238,,24709274,,23544964,,2.8,,21215504,,44,,27038734,,56
,,19 XI 1996,Cdf,59272382,,[...],,[...],,2.1,,[...],,[...],,[...],,[...] 
,Equatorial Guinea - Guinée équatoriale,,,,,,,,,,,,,,,,,
,,31 XII 1950,Cdf,198663,,103759,,94904,,[...],,[...],,[...],,[...],,[...] 
,,31 XII 1960,Cdf,245989,,132293,,113696,,2.1,,[...],,[...],,[...],,[...] 
,,4 VII 1983,Cdf,300000,,144760,,155240,,0.9,,84460,,28.2,,215540,,71.8
,Eritrea - Érythrée,,,,,,,,,,,,,,,,,
,,9 V 1984,Cdf,2748304,,1374452,,1373852,,[...],,415772,,15.1,,2332532,,84.9
,Ethiopia - Éthiopie,,,,,,,,,,,,,,,,,
,,9 V 1984,Cdf,39868572,,20062490,,19806082,,[...],,4453517,,11.2,,35415055,,88.8
,,11 X 1994,Cdf,49218178,,24564929,,24653249,,2.1,,6806304,,13.8,,42411874,,86.2
,Former Ethiopia - Ancienne Éthiopie,,,,,,,,,,,,,,,,,
,,9 V 1984,Cdf,42616876,,21436942,,21179934,,[...],,4869289,,11.4,,37747587,,88.6
,Gabon,,,,,,,,,,,,,,,,,
,,8 X 1960,Cdf,448564,,211350,,237214,,[...],,[...],,[...],,[...],,[...] 
,,31 VII 1993,Cdf,1014976,,501784,,513192,,2.5,,742296,,73.1,,272680,,26.9
,Gambia - Gambie,,,,,,,,,,,,,,,,,
,,17 IV 1963,Cdf,315486,,160849,,154637,,[...],,27809,,8.8,,287677,,91.2
,,21 IV 1973,Cdf,493499,,250386,,243113,,4.5,,78583,,15.9,,414916,,84.1
,,15 IV 1983,Cdf,687817,,342134,,345683,,3.3,,[...],,[...],,[...],,[...] 
,,13 IV 1993,Cdf,1025867,,514530,,511337,,4,,[...],,[...],,[...],,[...] 
,Ghana,,,,,,,,,,,,,,,,,
,,I 1948,Cdf,4118450,,2083648,,2034802,,[...],,[...],,[...],,[...],,[...] 
,,20 III 1960,Cdf,6726815,,3400270,,3326545,,4.1,,[...],,[...],,[...],,[...] 
,,1 III 1970,Cdf,8559313,,4247809,,4311504,,2.4,,2472456,,28.9,,6086857,,71.1
,,11 III 1984,Cdf,12296081,,6063848,,6232233,,2.6,,3934796,,32,,8361285,,68
,Guinea - Guinée,,,,,,,,,,,,,,,,,
,,4 II 1983,Cdf,4533240,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,Guinea-Bissau - Guinée-Bissau,,,,,,,,,,,,,,,,,
,,15 VI 1950,Cdf,510777,,252777,,258000,,[...],,[...],,[...],,[...],,[...] 
,,30 XII 1960,Cdf,521336,,260650,,260686,,0.2,,[...],,[...],,[...],,[...] 
,,15 XII 1970,Cdf,487448,,237293,,250155,,-0.7,,[...],,[...],,[...],,[...] 
,,16 IV 1979,Cdf,753313,,362589,,390724,,4.8,,[...],,[...],,[...],,[...] 
,,1 XII 1991,Cdf,983367,,476210,,507157,,2.2,,[...],,[...],,[...],,[...] 
,Kenya [6],,,,,,,,,,,,,,,,,
,,25 II 1948,Cdf,5405966,,2680248,,2725718,,[...],,[...],,[...],,[...],,[...] 
,,15 VIII 1962,Cdf,8636263,,4276963,,4359300,,3.3,,[...],,[...],,[...],,[...] 
,,24 VIII 1969,Cdf,10942705,,5482381,,5460324,,3.4,,1079908,,9.9,,9862797,,90.1
,,24 VIII 1979,Cdf,15327061,,7607113,,7719948,,3.4,,2382203,,15.5,,12944858,,84.5
,,24 VIII 1989,Cdf,21443636,,10628368,,10815268,,3.4,,[...],,[...],,[...],,[...] 
,Lesotho [7],,,,,,,,,,,,,,,,,
,,8 IV 1956,Cdf,641674,,271851,,369823,,[...],,[...],,[...],,[...],,[...] 
,,14 IV 1966,Cdf,852361,,368255,,484106,,2.8,,[...],,[...],,[...],,[...] 
,,12 IV 1976,Cdf,1064188,,458260,,605928,,2.2,,[...],,[...],,[...],,[...] 
,,12 IV 1986,Cdf,1447000,,[...],,[...],,3.1,,[...],,[...],,[...],,[...] 
,Liberia - Libéria,,,,,,,,,,,,,,,,,
,,2 IV 1962,Cdf,1016443,,503588,,512855,,[...],,200803,,19.8,,815640,,80.2
,,1 II 1974,Cdf,1503368,,759109,,744259,,3.3,,438171,,29.1,,1065197,,70.9
,,1 II 1984,Cdf,2101628,,1063127,,1038501,,3.4,,816124,,38.8,,1285504,,61.2
,Libyan Arab Jamahiriya - Jamahiriya arabe libyenne,,,,,,,,,,,,,,,,,
,,30 VII 1954,Cdf,1088889,,564450,,524439,,[...],,[...],,[...],,[...],,[...] 
,,31 VII 1964,Cdj,1564369,,813386,,750983,,[...],,385239,,24.6,,1179130,,75.4
,,31 VII 1973,Cdj,2249237,,1191853,,1057384,,4,,1344327,,59.8,,904910,,40.2
,,31 VII 1984,Cdf,3642576,,1953757,,1688819,,[...],,2746648,,75.4,,895928,,24.6
,,VIII 1995,Cdf,4404986,,2236943,,2168043,,1.7,,[...],,[...],,[...],,[...] 
,Madagascar [8],,,,,,,,,,,,,,,,,
,,9 V 1966,Sdf,6200000,,3049000,,3151000,,[...],,790000,,12.7,,5410000,,87.3
,,1 I 1975,Cdf,7603790,,3805288,,3798502,,[...],,1239442,,16.3,,6364348,,83.7
,,1 VIII 1993,Cdf,12092157,,5991171,,6100986,,2.6,,[...],,[...],,[...],,[...] 
,Malawi,,,,,,,,,,,,,,,,,
,,9 VIII 1966,Cdf,4039583,,1913262,,2126321,,[...],,203303,,5,,3836280,,95
,,20 IX 1977,Cdf,5547460,,2673589,,2873871,,2.9,,470658,,8.5,,5076802,,91.5
,,1 IX 1987,Cdf,7988507,,3867136,,4121371,,3.6,,853390,,10.7,,7135117,,89.3
,Mali [9],,,,,,,,,,,,,,,,,
,,15 VI 1960,Sdf,3484500,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,16 XII 1976,Cdf,6524650,,3186495,,3338155,,[...],,1107927,,17,,5416723,,83
,,1 IV 1987,Cdj,7696348,,3760711,,3935637,,[...],,1690289,,22,,6006059,,78
,"Mauritania - Mauritanie [10], [11]",,,,,,,,,,,,,,,,,
,,XII 1964,Sdf,1030000,,515989,,514011,,[...],,100000,,9.7,,930000,,90.3
,,1 I 1977,Cdf,1338830,,658361,,680469,,[...],,303819,,22.7,,1035011,,77.3
,,5 IV 1988,Cdf,1864236,,923175,,941061,,3,,[...],,[...],,[...],,[...] 
,Mauritius - Maurice,,,,,,,,,,,,,,,,,
,,29 VI 1952,Cdf,516556,,259001,,257555,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1962,Cdf,701016,,[...],,[...],,3.1,,[...],,[...],,[...],,[...] 
,,30 VI 1972,Cdf,851334,,426122,,425212,,1.9,,[...],,[...],,[...],,[...] 
,,11 VII 1983,Cdf,999945,,497920,,502025,,1.5,,[...],,[...],,[...],,[...] 
,,1 VII 1990,Cdf,1056660,,527760,,528900,,0.8,,414242,,39.2,,642418,,60.8
,"Mauritius, Island of Mauritius - Maurice, Ile Maurice",,,,,,,,,,,,,,,,,
,,29 VI 1952,Cdf,501471,,252088,,249383,,[...],,175110,,34.9,,326361,,65.1
,,30 VI 1962,Cdf,681619,,342306,,339313,,3.1,,306800,,45,,374819,,55
,,30 VI 1972,Cdf,826199,,413580,,412619,,1.9,,364678,,44.1,,461521,,55.9
,,11 VII 1983,Cdf,966863,,481368,,485495,,1.4,,403251,,41.7,,563612,,58.3
,,1 VII 1990,Cdf,1022456,,510676,,511780,,0.8,,[...],,[...],,[...],,[...] 
,"Mauritius, Rodrigues - Maurice, Rodrigues",,,,,,,,,,,,,,,,,
,,29 VI 1952,Cdf,15085,,6913,,8172,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1962,Cdf,18335,,9062,,9273,,2,,[...],,[...],,[...],,[...] 
,,30 VI 1972,Cdf,24769,,12270,,12499,,3,,[...],,[...],,[...],,[...] 
,,11 VII 1983,Cdf,33082,,16552,,16530,,2.6,,[...],,[...],,[...],,[...] 
,,1 VII 1990,Cdf,34204,,17084,,17120,,0.5,,[...],,[...],,[...],,[...] 
,"Mauritius, Others - Maurice, Autres",,,,,,,,,,,,,,,,,
,,29 VI 1952,Cdf,1752,,966,,786,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1962,Cdf,1062,,[...],,[...],,-5,,[...],,[...],,[...],,[...] 
,,30 VI 1972,Cdf,366,,272,,94,,-10.7,,[...],,[...],,[...],,[...] 
,Morocco - Maroc,,,,,,,,,,,,,,,,,
,,18 VI 1960,Cdj,11626232,,5809172,,5817060,,[...],,3411671,,29.3,,8214561,,70.7
,,20 VII 1971,Cdf,15321210,,7669957,,7651253,,[...],,5367964,,35,,9953246,,65
,,3 IX 1982,Cdf,20419555,,[...],,[...],,2.6,,8730399,,42.8,,11689156,,57.2
,,2 IX 1994,Cdf,26073717,,[...],,[...],,2,,13407835,,51.4,,12665882,,48.6
,Mozambique [12],,,,,,,,,,,,,,,,,
,,21 IX 1950,Cdf,5738911,,2744475,,2994436,,[...],,[...],,[...],,[...],,[...] 
,,15 IX 1960,Cdf,6592948,,[...],,[...],,1.4,,[...],,[...],,[...],,[...] 
,,15 XII 1970,Cdf,8168933,,4038549,,4130384,,2.1,,257958,,3.2,,7910975,,96.8
,,1 VIII 1980,Cdf,11673725,,5670484,,6003241,,3.6,,1539119,,13.2,,10134606,,86.8
,Namibia - Namibie,,,,,,,,,,,,,,,,,
,,8 V 1951,Cdf,434081,,218561,,215520,,[...],,[...],,[...],,[...],,[...] 
,,6 IX 1960,Cdf,526004,,265312,,260692,,2.1,,123356,,23.5,,402648,,76.5
,,6 V 1970,Cdf,762184,,[...],,[...],,3.7,,[...],,[...],,[...],,[...] 
,,21 X 1991,Cdf,1409920,,686327,,723593,,2.9,,382680,,27.1,,1027240,,72.9
,Niger [13],,,,,,,,,,,,,,,,,
,,X 1959,Sdf,2611473,,1297557,,1313916,,[...],,[...],,[...],,[...],,[...] 
,,20 XI 1977,Cdf,5098427,,2514532,,2583895,,[...],,[...],,[...],,[...],,[...] 
,,20 V 1988,Cdf,7248100,,3590070,,3658030,,3.2,,1105740,,15.3,,6142360,,84.7
,Nigeria - Nigéria [14],,,,,,,,,,,,,,,,,
,,VII 1952,Cdf,30418025,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,5 XI 1963,Cdf,55670055,,28111852,,27558203,,5.5,,8971464,,16.1,,46698591,,83.9
,,26 XI 1991,Cdf,88992220,,44529608,,44462612,,1.7,,[...],,[...],,[...],,[...] 
,Réunion,,,,,,,,,,,,,,,,,
,,1 VII 1954,Cdf,274370,,133387,,140983,,[...],,[...],,[...],,[...],,[...] 
,,9 X 1961,Cdf,349282,,170151,,179131,,3.4,,[...],,[...],,[...],,[...] 
,,16 X 1967,Cdf,416525,,203497,,213028,,2.9,,[...],,[...],,[...],,[...] 
,,16 X 1974,Cdf,474940,,[...],,[...],,1.9,,205073,,43.2,,269867,,56.8
,,9 III 1982,Cdj,515798,,252997,,262801,,[...],,[...],,[...],,[...],,[...] 
,,15 III 1990,Cdf,597828,,294256,,303572,,[...],,[...],,[...],,[...],,[...] 
,Rwanda [15],,,,,,,,,,,,,,,,,
,,5 XI 1970,Sdj,3572550,,1757370,,1815180,,[...],,114260,,3.2,,3458290,,96.8
,,16 VIII 1978,Cdf,4800433,,2331147,,2469286,,[...],,224866,,4.7,,4575567,,95.3
,,15 VIII 1991,Cdf,7142755,,[...],,[...],,3.1,,384295,,5.4,,6758460,,94.6
,Saint Helena ex. dep. - Sainte-Hélène sans dép.,,,,,,,,,,,,,,,,,
,,21 X 1956,Cdf,5032,,2562,,2470,,[...],,[...],,[...],,[...],,[...] 
,,24 VII 1966,Cdf,5125,,2661,,2464,,0.2,,[...],,[...],,[...],,[...] 
,,31 X 1976,Cdf,5147,,2514,,2633,,0,,1516,,29.5,,3631,,70.5
,,22 II 1987,Cdf,5644,,2769,,2875,,0.8,,2417,,42.8,,3227,,57.2
,Saint Helena - Sainte-Hélène: Ascension,,,,,,,,,,,,,,,,,
,,21 X 1956,Cdf,390,,338,,52,,[...],,[...],,[...],,[...],,[...] 
,,24 VII 1966,Cdf,476,,428,,48,,2,,[...],,[...],,[...],,[...] 
,,31 XII 1978,Cdf,849,,608,,241,,4.8,,[...],,[...],,[...],,[...] 
,Saint Helena - Sainte-Hélène: Tristan da Cunha,,,,,,,,,,,,,,,,,
,,22 II 1987,Cdf,296,,139,,157,,[...],,[...],,[...],,[...],,[...] 
,Sao Tome and Principe - Sao Tomé-et-Principe,,,,,,,,,,,,,,,,,
,,15 XII 1950,Cdf,60159,,36054,,24105,,[...],,[...],,[...],,[...],,[...] 
,,15 XII 1960,Cdf,64149,,35635,,28514,,0.6,,[...],,[...],,[...],,[...] 
,,30 IX 1970,Cdf,73800,,37468,,36332,,1.4,,[...],,[...],,[...],,[...] 
,,15 VIII 1981,Cdf,96611,,48031,,48580,,2.4,,[...],,[...],,[...],,[...] 
,,4 VIII 1991,Cdf,116998,,57837,,59161,,1.9,,[...],,[...],,[...],,[...] 
,Senegal - Sénégal,,,,,,,,,,,,,,,,,
,,IV 1960,Sdf,3109840,,1531760,,1578080,,[...],,[...],,[...],,[...],,[...] 
,,1 V 1970,Sdj,3620047,,1736476,,1883571,,[...],,[...],,[...],,[...],,[...] 
,,16 IV 1976,Cdj,4997885,,2472622,,2525263,,[...],,1713296,,34.3,,3284589,,65.7
,,27 V 1988,Cdj,6896808,,3353599,,3543209,,2.7,,2653943,,38.5,,4242865,,61.5
,Seychelles,,,,,,,,,,,,,,,,,
,,1951,Cdf,34370,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,4 V 1960,Cdf,41425,,20289,,21136,,2.1,,10504,,25.4,,30921,,74.6
,,5 V 1971,Cdf,53096,,26502,,26594,,2.3,,[...],,[...],,[...],,[...] 
,,1 VIII 1977,Cdf,61898,,31171,,30727,,2.6,,23012,,37.2,,38886,,62.8
,,17 VIII 1987,Cdf,68598,,34125,,34473,,1,,[...],,[...],,[...],,[...] 
,Sierra Leone [16],,,,,,,,,,,,,,,,,
,,1 IV 1963,Cdf,2180355,,1081123,,1099232,,[...],,[...],,[...],,[...],,[...] 
,,8 XII 1974,Cdf,2735159,,1359321,,1375838,,2.1,,[...],,[...],,[...],,[...] 
,,15 XII 1985,Cdf,3515812,,1746055,,1769757,,2.3,,[...],,[...],,[...],,[...] 
,Somalia - Somalie,,,,,,,,,,,,,,,,,
,,7 II 1975,Cdf,3253024,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,15 II 1987,Cdf,7114431,,3741664,,3372767,,6.5,,[...],,[...],,[...],,[...] 
,"South Africa - Afrique du Sud [16], [17], [18]",,,,,,,,,,,,,,,,,
,,8 V 1951,Cdf,12671452,,6432085,,6239367,,[...],,[...],,[...],,[...],,[...] 
,,6 IX 1960,Cdf,16002797,,8043493,,7959304,,2.6,,[...],,[...],,[...],,[...] 
,,6 V 1970,Cdf,21794328,,10746089,,11048239,,3.1,,10410293,,47.8,,11384035,,52.2
,,6 V 1980,Cdf,25016525,,12720448,,12296077,,1.4,,13168465,,52.6,,11848060,,47.4
,,5 III 1985,Cdf,23385645,,11545282,,11840363,,-1.3,,13068343,,55.9,,10317302,,44.1
,,7 III 1991,Cdf,30986920,,15479528,,15507392,,4.7,,17551745,,56.6,,13435175,,43.4
,,9 X 1996,Cdf,37859000,,18163000,,19696000,,4,,16899000,,44.6,,20960000,,55.4
,Sudan - Soudan [19],,,,,,,,,,,,,,,,,
,,17 I 1956,Sdf,10262536,,5186126,,5076410,,[...],,[...],,[...],,[...],,[...] 
,,3 IV 1973,Cdf,14113590,,7137964,,6975626,,[...],,2605896,,18.5,,11507694,,81.5
,,1 II 1983,Cdf,20594197,,10512884,,10081313,,3.8,,[...],,[...],,[...],,[...] 
,,15 IV 1993,Cdf,24940683,,12518638,,12422045,,1.9,,[...],,[...],,[...],,[...] 
,Swaziland [16],,,,,,,,,,,,,,,,,
,,17 VII 1956,Cdf,237021,,113924,,123097,,[...],,[...],,[...],,[...],,[...] 
,,24 V 1966,Cdf,374697,,178903,,195794,,4.6,,[...],,[...],,[...],,[...] 
,,25 VIII 1976,Cdf,494534,,231861,,262673,,2.8,,75320,,15.2,,419214,,84.8
,,25 VIII 1986,Cdf,681059,,321579,,359480,,3.2,,154979,,22.8,,526080,,77.2
,Togo,,,,,,,,,,,,,,,,,
,,XI 1958,Cdf,1439800,,689557,,750243,,[...],,[...],,[...],,[...],,[...] 
,,1 III 1970,Cdf,1997109,,958113,,1038996,,2.7,,[...],,[...],,[...],,[...] 
,,22 XI 1981,Cdf,2703250,,[...],,[...],,2.8,,[...],,[...],,[...],,[...] 
,"Tunisia - Tunisie [20], [21]",,,,,,,,,,,,,,,,,
,,1 II 1956,Cdf,3783169,,1957271,,1825898,,[...],,1347484,,35.6,,2435685,,64.4
,,3 V 1966,Cdf,4533351,,2314419,,2218932,,1.8,,1819719,,40.1,,2713632,,59.9
,,8 V 1975,Cdf,5577250,,2827540,,2749710,,2.3,,2779180,,49.8,,2798070,,50.2
,,30 III 1984,Cdf,6966173,,3547315,,3418858,,2.5,,3680830,,52.8,,3285343,,47.2
,,20 IV 1994,Cdf,8785711,,4439289,,4346422,,2.3,,5361927,,61,,3423784,,39
,Uganda - Ouganda,,,,,,,,,,,,,,,,,
,,II 1948,Cdf,4958520,,2481394,,2477126,,[...],,[...],,[...],,[...],,[...] 
,,18 III 1959,Cdf,6536616,,3283230,,3253386,,2.5,,315989,,4.8,,6220627,,95.2
,,18 VIII 1969,Cdf,9548847,,4818449,,4730398,,3.8,,[...],,[...],,[...],,[...] 
,,18 I 1980,Cdf,12636179,,6259837,,6376342,,2.5,,[...],,[...],,[...],,[...] 
,,12 I 1991,Cdf,16671705,,8185747,,8485958,,2.5,,1889622,,11.3,,14782083,,88.7
,United Republic of Tanzania - République Unie de Tanzanie,,,,,,,,,,,,,,,,,
,,26 VIII 1967,Cdf,12313469,,6005894,,6307575,,[...],,679291,,5.5,,11634178,,94.5
,,26 VIII 1978,Cdf,17512611,,8587086,,8925525,,3.2,,2412902,,13.8,,15099709,,86.2
,,28 VIII 1988,Cdf,23126310,,11217723,,11908587,,2.8,,4269462,,18.5,,18856848,,81.5
,United Republic of Tanzania: Tanganyika - Rép. Unie de Tanzanie: Tanganyika,,,,,,,,,,,,,,,,,
,,25 II 1948,Cdf,7480429,,3596274,,3884155,,[...],,[...],,[...],,[...],,[...] 
,,20 II 1957,Cdf,8788466,,4233487,,4554979,,1.8,,[...],,[...],,[...],,[...] 
,,26 VIII 1967,Cdf,11958654,,5826413,,6132241,,3.1,,677709,,5.7,,11280945,,94.3
,,26 VIII 1978,Cdf,17036498,,8350492,,8686006,,3.2,,2257921,,13.3,,14778577,,86.7
,,28 VIII 1988,Cdf,22485625,,10906307,,11579318,,2.8,,4043684,,18,,18441941,,82
,United Republic of Tanzania: Zanzibar - Rép. Unie de Tanzanie: Zanzibar,,,,,,,,,,,,,,,,,
,,25 II 1948,Cdf,264162,,138554,,125608,,[...],,[...],,[...],,[...],,[...] 
,,19 III 1958,Cdf,299111,,157502,,141609,,1.2,,[...],,[...],,[...],,[...] 
,,26 VIII 1967,Cdf,354815,,179481,,175334,,1.9,,68490,,19.3,,286325,,80.7
,,26 VIII 1978,Cdf,476113,,236594,,239519,,2.7,,154982,,32.6,,321131,,67.4
,,28 VIII 1988,Cdf,640685,,311416,,329269,,3,,[...],,[...],,[...],,[...] 
,Western Sahara - Sahara occidental,,,,,,,,,,,,,,,,,
,,31 XII 1970,Cdf,76425,,43981,,32444,,[...],,31073,,40.7,,45352,,59.3
,Zambia - Zambie,,,,,,,,,,,,,,,,,
,,22 VIII 1969,Cdf,4056995,,1987011,,2069984,,[...],,1201232,,29.6,,2855763,,70.4
,,25 VIII 1980,Cdf,5661801,,2769995,,2891806,,3,,2258520,,39.9,,3403281,,60.1
,,20 VIII 1990,Cdf,7383097,,3617577,,3765520,,2.7,,2905283,,39.4,,4477814,,60.6
,Zimbabwe,,,,,,,,,,,,,,,,,
,,21 IV 1969,Cdf,5099340,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,18 VIII 1982,cdf,7501470,,3673620,,3827850,,[...],,1765750,,23.5,,5735720,,76.5
,,18 VIII 1992,Cdf,10412548,,5083537,,5329011,,[...],,[...],,[...],,[...],,[...] 
"AMERICA, NORTH - AMERIQUE DU NORD",,,,,,,,,,,,,,,,,,
,Anguilla,,,,,,,,,,,,,,,,,
,,10 IV 1984,Cdf,6987,,3428,,3559,,[...],,[...],,[...],,[...],,[...] 
,Antigua and Barbuda - Antigua-et-Barbuda,,,,,,,,,,,,,,,,,
,,7 IV 1960,Cdf,54304,,25368,,28936,,[...],,[...],,[...],,[...],,[...] 
,,7 IV 1970,Cdf,65525,,31054,,34471,,1.9,,22153,,33.8,,43372,,66.2
,,28 V 1991,Cdf,62922,,[...],,[...],,-0.2,,[...],,[...],,[...],,[...] 
