"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,20 III 1987,,Cdj,C,22600957,3741591,[=>],[0-4],,3353299,,2851210,,2473329,,2202665,,1647752,,1381273,,1033291,,727541,,700307,,656553,,530426,,405704,,893159,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,2857
,,,1 VII 1990,,Edj,U,25068000,3718000,[=>],[0-4],,3651000,,3228000,,2762000,,2415000,,2039000,,1578000,,1276000,,937000,,724000,,687000,,609000,,476000,,356000,,258000,,354000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1991,,Edj,U,25658000,3723000,[=>],[0-4],,3659000,,3306000,,2846000,,2478000,,2107000,,1658000,,1328000,,994000,,760000,,691000,,620000,,494000,,370000,,267000,,357000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1992,,Edj,U,26269000,3728000,[=>],[0-4],,3666000,,3384000,,2934000,,2542000,,2176000,,1743000,,1384000,,1055000,,798000,,696000,,630000,,514000,,385000,,275000,,359000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1993,,Edj,U,26903000,3732000,[=>],[0-4],,3673000,,3466000,,3024000,,2609000,,2248000,,1832000,,1441000,,1119000,,837000,,699000,,641000,,534000,,399000,,284000,,365000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1994,,Edj,U,27561000,3737000,[=>],[0-4],,3681000,,3549000,,3116000,,2677000,,2322000,,1925000,,1501000,,1187000,,879000,,704000,,652000,,554000,,415000,,293000,,369000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1995,,Edj,U,28243000,3741000,[=>],[0-4],,3688000,,3634000,,3212000,,2746000,,2400000,,2023000,,1562000,,1260000,,923000,,708000,,663000,,576000,,432000,,303000,,372000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,Sdj,C,4821620,2231140,[=>],[0-14],,[0-14],,[0-14],,390420,,299660,,296500,,956760,[=>],[30-49],,[30-49],,[30-49],,183460,,143420,,122460,,190620,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,7180
,,,4 IV 1966,,Cdj,C,6073207,249417,,938986,,908979,,821146,,553188,,400907,,385459,,350989,,298526,,231669,,202100,,178677,,156926,,132890,,101491,,64268,,40847,,24168,,22276,[=>],[85+],,[85+],,[85+],,10298
,,,12 II 1977,,Cdj,C,8153375,343370,,1197109,,1299584,,1101474,,852863,,698147,,535969,,340981,,336583,,320323,,266895,,211288,,183436,,143885,,132743,,89344,,55666,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,43715
,,,1 VII 1982,,Edj,U,9893262,401997,,1394906,,1568323,,1326309,,1128726,,880968,,733201,,536285,,335042,,317168,,305107,,254407,,197064,,164993,,124709,,107266,,63921,,52870,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 I 1983,,Edj,U,10026000,391000,,1441000,,1549000,,1357000,,1150000,,895000,,746000,,534000,,335000,,330000,,313000,,258000,,201000,,170000,,128000,,109000,,65000,,54000,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 I 1984,,Edj,U,10348000,401000,,1487000,,1599000,,1401000,,1187000,,924000,,770000,,551000,,345000,,341000,,323000,,267000,,208000,,175000,,132000,,113000,,67000,,57000,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,20 III 1987,,Cdj,C,11425492,1910048,[=>],[0-4],,1710348,,1467460,,1248468,,1110255,,837975,,715031,,523583,,354748,,337177,,313581,,257950,,195681,,441519,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,1668
,,,1 VII 1990,,Edj,U,12690000,1902000,[=>],[0-4],,1863000,,1651000,,1412000,,1218000,,1030000,,807000,,657000,,470000,,352000,,330000,,293000,,231000,,172000,,126000,,176000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1991,,Edj,U,12992000,1904000,[=>],[0-4],,1868000,,1690000,,1455000,,1253000,,1064000,,846000,,683000,,501000,,372000,,333000,,298000,,239000,,179000,,130000,,177000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1992,,Edj,U,13304000,1906000,[=>],[0-4],,1873000,,1729000,,1500000,,1289000,,1098000,,887000,,711000,,535000,,393000,,336000,,303000,,248000,,186000,,134000,,176000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1993,,Edj,U,13628000,1907000,[=>],[0-4],,1877000,,1770000,,1546000,,1326000,,1134000,,930000,,739000,,570000,,415000,,338000,,308000,,257000,,193000,,138000,,180000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1994,,Edj,U,13965000,1909000,[=>],[0-4],,1882000,,1812000,,1593000,,1364000,,1171000,,975000,,769000,,608000,,438000,,341000,,313000,,266000,,201000,,142000,,181000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1995,,Edj,U,14314000,1911000,[=>],[0-4],,1887000,,1854000,,1642000,,1403000,,1210000,,1022000,,799000,,649000,,463000,,344000,,318000,,276000,,209000,,146000,,181000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,Sdj,C,4923860,2053240,[=>],[0-14],,[0-14],,[0-14],,393400,,414300,,390240,,1024360,[=>],[30-49],,[30-49],,[30-49],,179740,,124800,,126480,,209440,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,7860
,,,4 IV 1966,,Cdj,C,6023140,239342,,916456,,881481,,748383,,542468,,421669,,413074,,378904,,304463,,237911,,194982,,178792,,142063,,134989,,96482,,76926,,45829,,30932,,27194,[=>],[85+],,[85+],,[85+],,10800
,,,12 II 1977,,Cdj,C,8107116,327217,,1150914,,1247499,,1049455,,826327,,713255,,528713,,374956,,381715,,346648,,286775,,214653,,189931,,150784,,129516,,81959,,58076,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,48723
,,,1 VII 1982,,Edj,U,9963744,386326,,1343375,,1459870,,1278930,,1085330,,848577,,706432,,565779,,401653,,383784,,362088,,297618,,227876,,192433,,145346,,127047,,79049,,72231,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 I 1983,,Edj,U,10166000,367000,,1389000,,1490000,,1309000,,1106000,,862000,,723000,,573000,,408000,,400000,,372000,,303000,,232000,,198000,,149000,,130000,,81000,,74000,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 I 1984,,Edj,U,10493000,376000,,1434000,,1539000,,1351000,,1142000,,890000,,746000,,591000,,421000,,413000,,384000,,312000,,240000,,205000,,154000,,134000,,83000,,78000,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,20 III 1987,,Cdj,C,11175465,1831543,[=>],[0-4],,1642951,,1383750,,1224861,,1092410,,809777,,666242,,509708,,372793,,363130,,342972,,272476,,210023,,451640,[=>],[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,[65+],,1189
,,,1 VII 1990,,Edj,U,12378000,1816000,[=>],[0-4],,1788000,,1577000,,1350000,,1197000,,1009000,,771000,,619000,,467000,,372000,,357000,,316000,,245000,,184000,,132000,,178000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1991,,Edj,U,12666000,1819000,[=>],[0-4],,1791000,,1616000,,1391000,,1225000,,1043000,,812000,,645000,,493000,,388000,,358000,,322000,,255000,,191000,,137000,,180000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1992,,Edj,U,12965000,1822000,[=>],[0-4],,1793000,,1655000,,1434000,,1253000,,1078000,,856000,,673000,,520000,,405000,,360000,,327000,,266000,,199000,,141000,,183000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1993,,Edj,U,13275000,1825000,[=>],[0-4],,1796000,,1696000,,1478000,,1283000,,1114000,,902000,,702000,,549000,,422000,,361000,,333000,,277000,,206000,,146000,,185000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1994,,Edj,U,13596000,1828000,[=>],[0-4],,1799000,,1737000,,1523000,,1313000,,1151000,,950000,,732000,,579000,,441000,,363000,,339000,,288000,,214000,,151000,,188000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1995,,Edj,U,13929000,1830000,[=>],[0-4],,1801000,,1780000,,1570000,,1343000,,1190000,,1001000,,763000,,611000,,460000,,364000,,345000,,300000,,223000,,157000,,191000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4 IV 1966,Cdj,C,4687901,203602,,716802,,688792,,588694,,430285,,326336,,316241,,293106,,234656,,182644,,154644,,137958,,117137,,98780,,71661,,49165,,31462,,18757,,16824,[=>],[85+],,[85+],,[85+],,10355
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4 IV 1966,Cdj,C,2342866,103932,,363845,,348378,,301198,,213304,,157338,,153031,,143402,,118766,,92904,,79600,,69236,,60344,,47982,,34985,,21590,,13796,,7487,,6588,[=>],[85+],,[85+],,[85+],,5160
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4 IV 1966,Cdj,C,2345035,99670,,352957,,340414,,287496,,216981,,168998,,163210,,149704,,115890,,89740,,75044,,68722,,56793,,50798,,36676,,27575,,17666,,11270,,10236,[=>],[85+],,[85+],,[85+],,5195
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4 IV 1966,Cdj,C,7408446,285157,,1138640,,1101668,,980835,,665371,,496240,,482292,,436787,,368333,,286936,,242438,,219511,,181852,,169099,,126312,,92029,,55214,,36343,,32646,[=>],[85+],,[85+],,[85+],,10743
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4 IV 1966,Cdj,C,3730341,145485,,575141,,560601,,519948,,339884,,243569,,232428,,207587,,179760,,138765,,122500,,109441,,96582,,84908,,66506,,42678,,27051,,16681,,15688,[=>],[85+],,[85+],,[85+],,5138
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4 IV 1966,Cdj,C,3678105,139672,,563499,,541067,,460887,,325487,,252671,,249864,,229200,,188573,,148171,,119938,,110070,,85270,,84191,,59806,,49351,,28163,,19662,,16958,[=>],[85+],,[85+],,[85+],,5605
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1950,,Cdf,C,4145266,628587,[=>],[0-4],,561201,,432145,,348681,,398682,,384285,,311110,,286590,,222120,,174802,,116361,,78148,,77946,,49580,,33089,,16873,,10899,,7416,[=>],[85+],,[85+],,[85+],,6751
,,,1 IX 1960,,Cdj,C,4830449,828086,[=>],[0-4],,710463,,472829,,378585,,417917,,441065,,368813,,321857,,249393,,193139,,135581,,92805,,90343,,53732,,36846,,17657,,10541,,5981,[=>],[85+],,[85+],,[85+],,4816
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1950,,Cdf,C,2033568,308289,[=>],[0-4],,291977,,232108,,176835,,191687,,182600,,139218,,135916,,103048,,85039,,53243,,37881,,33034,,23932,,16485,,9212,,5275,,3779,[=>],[85+],,[85+],,[85+],,4010
,,,1 IX 1960,,Cdj,C,2459015,409192,[=>],[0-4],,367892,,259626,,206566,,208861,,215718,,175417,,160882,,123973,,99283,,67760,,48889,,44274,,28421,,20297,,10272,,5923,,3331,[=>],[85+],,[85+],,[85+],,2438
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31 XII 1950,,Cdf,C,2111698,320298,[=>],[0-4],,269224,,200037,,171846,,206995,,201685,,171892,,150674,,119072,,89763,,63118,,40267,,44912,,25648,,16604,,7661,,5624,,3637,[=>],[85+],,[85+],,[85+],,2741
,,,1 IX 1960,,Cdj,C,2371434,418894,[=>],[0-4],,342571,,213203,,172019,,209056,,225347,,193396,,160975,,125420,,93856,,67821,,43916,,46069,,25311,,16549,,7385,,4618,,2650,[=>],[85+],,[85+],,[85+],,2378
,Benin - Bénin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VIII 1975,,Edf,U,3112000,165000,,451000,,523000,,296000,,215000,,236000,,252000,,193000,,186000,,134000,,121000,,88000,,78000,,59000,,53000,,28000,,34000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,20 III 1979,,Cdf,C,3331210,152870,,549718,,597189,,326886,,247783,,253022,,250642,,181615,,156186,,117985,,105523,,87855,,60684,,66740,,45570,,42520,,26144,,59605,[=>],[80+],,[80+],,[80+],,[80+],,2673
,,,1 VII 1987,,Edf,U,4304000,820000,[=>],[0-4],,650000,,535000,,453000,,365000,,312000,,274000,,217000,,166000,,138000,,112000,,90000,,66000,,46000,,32000,,28000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,15 II 1992,,Cdf,C,4915555,162033,,745774,,913108,,565897,,437048,,379801,,375114,,292301,,241568,,180080,,134952,,118417,,71031,,91541,,51047,,57733,,25905,,32125,,11213,,10834,,14699,[=>],[95+],,3334
,,,1 VII 1993,,Edf,U,5074560,1015000,[=>],[0-4],,833000,,630000,,492000,,400000,,364000,,315000,,244184,,185221,,141453,,108798,,87365,,73435,,59926,,41073,,24924,,59181,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1994,,Edf,U,5241843,1033000,[=>],[0-4],,875000,,661000,,516000,,411000,,368000,,326000,,255881,,193965,,147811,,112839,,88995,,73832,,60210,,42548,,24582,,51180,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1995,,Edf,U,5408463,1053000,[=>],[0-4],,907000,,696000,,542000,,424000,,372000,,335000,,267701,,200963,,154650,,117285,,91081,,74388,,60437,,43657,,24689,,44612,[=>],[80+],,[80+],,[80+],,[80+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VIII 1975,,Edf,U,1525000,81000,,227000,,271000,,162000,,103000,,90000,,106000,,84000,,93000,,65000,,62000,,44000,,41000,,31000,,31000,,16000,,18000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,20 III 1979,,Cdf,C,1596939,75946,,275532,,311098,,178517,,115521,,94734,,98845,,77805,,69493,,53486,,49782,,41859,,30531,,32336,,23406,,22087,,13843,,31159,[=>],[80+],,[80+],,[80+],,[80+],,959
,,,1 VII 1987,,Edf,U,2086000,412000,[=>],[0-4],,322000,,258000,,216000,,176000,,150000,,131000,,103000,,79000,,66000,,53000,,41000,,30000,,21000,,15000,,13000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,15 II 1992,,Cdf,C,2390336,81320,,375574,,471465,,301965,,215583,,163676,,157763,,130430,,109547,,84443,,63907,,55477,,34337,,41687,,24163,,28966,,13347,,15759,,5725,,5777,,7746,[=>],[95+],,1679
,,,1 VII 1993,,Edf,U,2467604,519000,[=>],[0-4],,434000,,323000,,242000,,177000,,154000,,136000,,110917,,86805,,66887,,51407,,40988,,34283,,28430,,20294,,12776,,29817,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1994,,Edf,U,2548310,523000,[=>],[0-4],,457000,,339000,,258000,,185000,,156000,,139000,,115091,,90399,,69695,,53218,,41690,,34304,,28230,,20668,,12465,,25550,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1995,,Edf,U,2630779,530000,[=>],[0-4],,473000,,358000,,275000,,195000,,159000,,142000,,119005,,91486,,72684,,55229,,42612,,34436,,28054,,20878,,12337,,22058,[=>],[80+],,[80+],,[80+],,[80+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 VIII 1975,,Edf,U,1587000,84000,,224000,,252000,,134000,,112000,,146000,,146000,,109000,,93000,,69000,,59000,,44000,,37000,,28000,,22000,,12000,,16000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,20 III 1979,,Cdf,C,1734271,76924,,274186,,286091,,148369,,132262,,158288,,151797,,103810,,86693,,64499,,55741,,45996,,30153,,34404,,22164,,20433,,12301,,28446,[=>],[80+],,[80+],,[80+],,[80+],,1714
,,,1 VII 1987,,Edf,U,2218000,408000,[=>],[0-4],,328000,,277000,,237000,,189000,,162000,,143000,,114000,,87000,,72000,,59000,,49000,,36000,,25000,,17000,,15000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,15 II 1992,,Cdf,C,2525219,80713,,370200,,441643,,263932,,221465,,216125,,217351,,161871,,132021,,95637,,71045,,62940,,36694,,49854,,26884,,28767,,12558,,16366,,5488,,5057,,6953,[=>],[95+],,1655
,,,1 VII 1993,,Edf,U,2606956,496000,[=>],[0-4],,399000,,307000,,250000,,223000,,210000,,179000,,133267,,98416,,74566,,57391,,46377,,39152,,31496,,20779,,12148,,29364,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1994,,Edf,U,2693533,510000,[=>],[0-4],,418000,,322000,,258000,,226000,,212000,,187000,,140790,,103566,,78116,,59621,,47305,,39528,,31980,,21880,,12117,,25630,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1995,,Edf,U,2777684,523000,[=>],[0-4],,434000,,338000,,267000,,229000,,213000,,193000,,148696,,109477,,81966,,62056,,48469,,39952,,32383,,22779,,12352,,22554,[=>],[80+],,[80+],,[80+],,[80+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VIII 1975,Edf,U,419000,21000,,65000,,76000,,47000,,30000,,30000,,36000,,27000,,23000,,15000,,14000,,9000,,9000,,4000,,4000,,5000,,4000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,20 III 1979,Cdf,C,1313710,57134,,200533,,225244,,149371,,117076,,111268,,101245,,72480,,59491,,46738,,39181,,32853,,21345,,22526,,15188,,13965,,8560,,18413,[=>],[80+],,[80+],,[80+],,[80+],,1099
,,,,1 VII 1987,Edf,U,1386000,257000,[=>],[0-4],,175000,,163000,,165000,,141000,,128000,,122000,,80000,,43000,,32000,,26000,,22000,,12000,,7000,,5000,,8000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,15 II 1992,Cdf,C,1756197,51996,,226619,,291645,,223784,,184544,,163827,,148394,,112435,,88836,,65337,,47551,,39869,,25449,,27969,,16186,,15934,,7272,,7947,,2928,,2565,,3293,[=>],[95+],,1817
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VIII 1975,Edf,U,206000,11000,,34000,,39000,,27000,,15000,,11000,,15000,,11000,,11000,,7000,,7000,,5000,,5000,,2000,,2000,,2000,,2000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,20 III 1979,Cdf,C,632270,28689,,100540,,114424,,78037,,57606,,47280,,42372,,31908,,26767,,21747,,18715,,15556,,10582,,10325,,7343,,6826,,4221,,8893,[=>],[80+],,[80+],,[80+],,[80+],,439
,,,,1 VII 1987,Edf,U,701000,129000,[=>],[0-4],,88000,,79000,,81000,,76000,,69000,,63000,,41000,,21000,,15000,,13000,,10000,,5000,,4000,,3000,,4000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,15 II 1992,Cdf,C,857191,26171,,114449,,145750,,110826,,92194,,79268,,68531,,53311,,42182,,31758,,23083,,18909,,12355,,12280,,7243,,7178,,3346,,3358,,1259,,1151,,1560,[=>],[95+],,1029
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VIII 1975,Edf,U,213000,10000,,31000,,37000,,20000,,15000,,19000,,21000,,16000,,12000,,8000,,7000,,4000,,4000,,2000,,2000,,3000,,2000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,20 III 1979,Cdf,C,681440,28445,,99993,,110820,,71334,,59470,,63988,,58873,,40572,,32724,,24991,,20466,,17297,,10763,,12201,,7845,,7139,,4339,,9520,[=>],[80+],,[80+],,[80+],,[80+],,660
,,,,1 VII 1987,Edf,U,685000,128000,[=>],[0-4],,87000,,84000,,84000,,65000,,59000,,59000,,39000,,22000,,17000,,13000,,12000,,7000,,3000,,2000,,4000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,15 II 1992,Cdf,C,899006,25825,,112170,,145895,,112958,,92350,,84559,,79863,,59124,,46654,,33579,,24468,,20960,,13094,,15689,,8943,,8756,,3926,,4589,,1669,,1414,,1733,[=>],[95+],,788
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VIII 1975,Edf,U,2693000,144000,,386000,,447000,,249000,,185000,,206000,,216000,,166000,,163000,,119000,,107000,,79000,,69000,,55000,,49000,,23000,,30000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,20 III 1979,Cdf,C,2017500,95736,,349185,,371965,,177515,,130707,,141754,,149397,,109135,,96695,,71247,,66342,,55002,,39339,,44214,,30382,,28555,,17584,,41192,[=>],[80+],,[80+],,[80+],,[80+],,1554
,,,,1 VII 1987,Edf,U,2918000,562000,[=>],[0-4],,476000,,371000,,288000,,224000,,185000,,152000,,137000,,123000,,105000,,86000,,69000,,54000,,40000,,25000,,21000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
