law_id,importance,domains,why,year,title_fa,path
02783f921a13,major,housing,Urban Land Law (1987) — major land/housing policy affecting land supply and housing prices.,1987,قانون زمين شهري,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_زمين_شهري_14748031078579790898.txt
a9589c1fa09f,minor,agriculture,Law on preventing drought damages and compensation — has fiscal/compensation instrument affecting agriculture output.,2001,قانون پيشگيري از عوارض ناشي از خشكسالي و جبران خسارات,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_پيشگيري_از_عوارض_ناشي_از_خشكسالي_و_جبران_خسارات_7003960586148571447.txt
623505d51313,moderate,agriculture|privatization,Law on sale of crown lands (khalisejat) and agricultural/industrial bonds — land privatization and credit instrument.,1934,قانون راجع به فروش خالصجات و قرضه هاي فلاحتي و صنعتي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_راجع_به_فروش_خالصجات_و_قرضه_هاي_فلاحتي_و_صنعتي_6832530461518469301.txt
19134a80777a,moderate,energy,Law establishing Iran's national electricity organization — shapes power-sector production/pricing.,1967,قانون  سازمان  برق  ايران,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__سازمان__برق__ايران_3083103430619713532.txt
169408e64fad,major,agriculture,Law on division and sale of leased farmland to tenant farmers — classic land reform affecting agricultural production/ownership.,1969,قانون تقسیم و فروش املاک مورد اجاره بزارعین مستاجر با اصلاحات و الحاقات بعدی,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/9630085646541449275_9630085646541449275.txt
b12ba31416a4,minor,budget_fiscal,Implementing bylaw for a budget-law clause — narrow fiscal instrument.,2006,آيين نامه اجرايي بند  15  تبصره  2  قانون بودجه سال 1385 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__15__تبصره__2__قانون_بودجه_سال_1385_كل_كشور_15641497212702863632.txt
8ebf737ce68f,minor,customs_trade,Amendment adding a note to import/export regulations bylaw — trade instrument tweak.,2014,الحاق تبصره به بند  2  ماده  10  آيين نامه اجرايي قانون مقررات صادرات و واردات,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/الحاق_تبصره_به_بند__2__ماده__10__آيين_نامه_اجرايي_قانون_مقررات_صادرات_و_واردات_424123100945393656.txt
d8b4dd8686d1,minor,customs_trade,Amendment to import/export regulations implementing bylaw.,2015,اصلاح ماده  11  آيين نامه اجرايي قانون مقررات صادرات و واردات,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_ماده__11__آيين_نامه_اجرايي_قانون_مقررات_صادرات_و_واردات_5166512543779858111.txt
cebabe4313ae,minor,budget_fiscal,Budget-law clause implementing bylaw.,2004,آيين نامه اجرايي بند  الف  تبصره  20  قانون بودجه سال 1383 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__الف__تبصره__20__قانون_بودجه_سال_1383_كل_كشور_4590574716997632899.txt
b1d60a8a1599,moderate,industry,Bylaw implementing law on improving quality of domestic auto/industrial production — industrial policy instrument.,2010,آيين نامه اجرايي قانون ارتقاء كيفي توليد خودرو و ساير توليدات صنعتي داخلي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_ارتقاء_كيفي_توليد_خودرو_و_ساير_توليدات_صنعتي_داخلي_9456766416223505608.txt
e0dad07bfe57,minor,agriculture,Bylaw implementing agriculture ministry formation law article — administrative but touches ag policy execution.,2008,آيين نامه اجرايي ماده  11  قانون تشكيل وزارت جهاد كشاورزي   مصوب 1379,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__11__قانون_تشكيل_وزارت_جهاد_كشاورزي___مصوب_1379___18012823514481694102.txt
9151a41dbfc8,minor,budget_fiscal,Bylaw implementing Fifth Development Plan clause.,2013,آيين نامه اجرايي بند  د  ماده  32  قانون برنامه پنجساله پنجم توسعه جمهوري اسلامي ايران,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__د__ماده__32__قانون_برنامه_پنجساله_پنجم_توسعه_جمهوري_اسلامي_ايران_9586238414337093918.txt
154647eb926b,minor,customs_trade|taxation,Amendment to tariff/duty (عوارض) collection procedure in free trade-industrial zones.,1996,اصلاح تصويبنامه دستورالعمل و روش اجرائي آئين نامه اخذ عوارض در مناطق آزاد تجاري - صنعتي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_تصويبنامه_دستورالعمل_و_روش_اجرائي_آئين_نامه_اخذ_عوارض_در_مناطق_آزاد_تجاري_-_صنعتي_16943020053571238.txt
29a699213348,moderate,agriculture,Bylaw implementing law on increasing agricultural sector productivity — real ag policy instrument.,2012,آيين نامه اجرايي ماده  33  قانون افزايش بهره وري بخش كشاورزي و منابع طبيعي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__33__قانون_افزايش_بهره_وري_بخش_كشاورزي_و_منابع_طبيعي_5960329854997799828.txt
bcc015061b59,minor,customs_trade,Financial/transaction bylaw for free trade-industrial zone organizations.,2021,آيين نامه مالي و معاملاتي سازمانهاي مناطق آزاد تجاري - صنعتي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_مالي_و_معاملاتي_سازمانهاي_مناطق_آزاد_تجاري_-_صنعتي_8428565048002600893.txt
d29a2414b309,minor,budget_fiscal,Budget-clause implementing bylaw.,1987,آيين نامه اجرايي تبصره 13 قانون بودجه سال 1366,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/_آيين_نامه_اجرايي_تبصره_13_قانون_بودجه_سال_1366_7080090943692673959.txt
a7f190d457ec,minor,budget_fiscal,Budget-clause implementing bylaw.,2004,آيين نامه اجرايي بند  ث  تبصره  12  قانون بودجه سال 1383 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__ث__تبصره__12__قانون_بودجه_سال_1383_كل_كشور_4305785804889386716.txt
d2f64b219a44,moderate,banking_money,Policy-supervisory rules for the national banking network — affects credit/monetary conditions.,2008,ضوابط سياستي - نظارتي شبكه بانكي كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/ضوابط_سياستي_-_نظارتي_شبكه_بانكي_كشور_12208405519519593478.txt
0fbc04ca25cc,minor,housing,Amendment to bylaw on housing production/supply support law — housing supply instrument.,2012,اصلاح تبصره  1  ماده  7  آيين  نامه اجرا ... ن ساماندهي و حمايت از توليد و عرضه مسكن,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_تبصره__1__ماده__7__آيين__نامه_اجرا_..._ن_ساماندهي_و_حمايت_از_توليد_و_عرضه_مسكن__10882355465250143122.txt
2eb6a0f910c6,minor,customs_trade|taxation,Amendment to duty (عوارض) collection decree in free trade zones.,2015,اصلاح تصويب نامه شماره 39311  ت50410ك مو ... مه اخذ عوارض در مناطق آزاد تجاري - صنعتي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_تصويب_نامه_شماره_39311__ت50410ك_مو_..._مه_اخذ_عوارض_در_مناطق_آزاد_تجاري_-_صنعتي_9631723304724178333.txt
30c0f1bd23ba,minor,budget_fiscal,Annual current-budget implementing rules.,1999,ضوابط اجرايي بودجه جاري سال 1378 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/ضوابط_اجرايي_بودجه_جاري_سال_1378_كل_كشور_3402074550890812377.txt
2ef22f362cb2,minor,budget_fiscal,Budget-clause implementing bylaw.,1989,آئين نامه اجرائي بند ج  تبصره 13 قانون بودجه سال 1368,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئين_نامه_اجرائي_بند_ج__تبصره_13_قانون_بودجه_سال_1368_6754107488560647976.txt
8eb59ed0c1ff,minor,budget_fiscal,Budget-clause implementing bylaw.,1991,آئين نامه  اجرايي  تبصره  4 قانون  بودجه  سال  1370 كل  كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئين_نامه__اجرايي__تبصره__4_قانون__بودجه__سال__1370_كل__كشور_16683540973806680494.txt
2cf4efee3349,moderate,fx|banking_money,Bylaw on establishing stock exchange operations in free trade-industrial zones — capital market instrument.,2019,آيين نامه تأسيس و فعاليت بورس در مناطق آزاد تجاري - صنعتي جمهوري اسلامي ايران,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_تأسيس_و_فعاليت_بورس_در_مناطق_آزاد_تجاري_-_صنعتي_جمهوري_اسلامي_ايران_4312926141625237562.txt
793ca174fc40,minor,budget_fiscal,Budget-clause implementing bylaw.,2006,آيين نامه اجرايي بند  ب   تبصره   6   قانون بودجه سال 1385 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__ب___تبصره___6___قانون_بودجه_سال_1385_كل_كشور_7725452321958553455.txt
47cd8a8b44ce,moderate,agriculture|housing,Bylaw implementing law preventing fragmentation of agricultural land — land consolidation affecting farm output.,2009,آيين نامه اجرايي قانون جلوگيري از خرد شدن اراضي كشاورزي و ايجاد قطعات مناسب فني و اقتصادي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_جلوگيري_از_خرد_شدن_اراضي_كشاورزي_و_ايجاد_قطعات_مناسب_فني_و_اقتصادي_14600755021331626327.txt
9d8c049d54f0,major,privatization,Bylaw implementing Article 44 privatization law article — headline privatization policy instrument.,2009,آيين نامه اجرايي ماده   7   قانون اصلاح  ... سياستهاي كلي اصل چهل و چهارم قانون اساسي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده___7___قانون_اصلاح__..._سياستهاي_كلي_اصل_چهل_و_چهارم_قانون_اساسي_7836293619891643710.txt
66b5f197f4b4,major,privatization,Bylaw implementing Article 44 privatization policy amendment — major privatization instrument.,2014,آيين نامه اجرايي تبصره  5  اصلاحي بند  ا ... اجراي سياست هاي كلي اصل  44  قانون اساسي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره__5__اصلاحي_بند__ا_..._اجراي_سياست_هاي_كلي_اصل__44__قانون_اساسي_14094834951593849964.txt
1097bb983752,minor,budget_fiscal,Budget-clause implementing bylaw.,2004,آيين نامه اجرايي بند  الف  تبصره  15  قانون بودجه سال 1383 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__الف__تبصره__15__قانون_بودجه_سال_1383_كل_كشور_10227075356341605073.txt
1e64d8d17cea,minor,housing,Rural housing improvement implementing instructions under budget note — housing subsidy instrument.,1996,دستورالعمل اجرايي بهسازي مسكن روستايي مو ... يي تبصره 52 قانون بودجه سال 1375 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_اجرايي_بهسازي_مسكن_روستايي_مو_..._يي_تبصره_52_قانون_بودجه_سال_1375_كل_كشور_6276037033182286065.txt
61a7cc847066,minor,budget_fiscal,Implementing instructions for a budget-bylaw article.,2006,دستورالعمل اجرايي ماده    5   آيين نامه اجرايي تبصره    13   قانون بودجه سال 1385كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_اجرايي_ماده____5___آيين_نامه_اجرايي_تبصره____13___قانون_بودجه_سال_1385كل_كشور_2192923714977350441.txt
dee5bf748e79,moderate,industry,Bylaw implementing industrial support law to prevent factory closures — industrial policy instrument.,2018,آيين نامه اجرايي قانون حمايت صنعتي و جلوگيري از تعطيل كارخانه هاي كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_حمايت_صنعتي_و_جلوگيري_از_تعطيل_كارخانه_هاي_كشور_16505523975817843203.txt
f908e10b8d17,moderate,banking_money,Rules governing activity of investment/underwriting companies (تأمين سرمايه) — capital market regulation.,2007,ضوابط فعاليت شركتهاي تأمين سرمايه,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/ضوابط_فعاليت_شركتهاي_تأمين_سرمايه_18150980651432223751.txt
fe8542354221,minor,budget_fiscal,"Annual budget implementing rules, repealing prior decrees on same topic.",1998,ضوابط اجرايي بودجه سال 1377 كل كشور و لغو چند تصويبنامه ي مربوط به اين موضوع,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/ضوابط_اجرايي_بودجه_سال_1377_كل_كشور_و_لغو_چند_تصويبنامه_ي_مربوط_به_اين_موضوع_7399854713825852423.txt
ba511ef75df4,minor,budget_fiscal,Budget-clause implementing bylaw.,2001,آيين نامه اجرايي بند  هـ  تبصره  42  قانون بودجه سال 1380 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__هـ__تبصره__42__قانون_بودجه_سال_1380_كل_كشور_12683530048848999301.txt
e430dc4256b1,major,agriculture,"Implementing bylaw for chapter 2 of the Fair Water Distribution Law — governs water allocation, a key agricultural input.",1984,آئین نامه اجرائی فصل دوم - قانون توزیع عادلانه آب با اصلاحات و الحاقات بعدی,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/10199171450659586236_10199171450659586236.txt
687e8e3acc9e,minor,budget_fiscal,Budget-clause implementing bylaw.,1996,آيين نامه اجرايي تبصره 4 قانون بودجه سال 1375 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره_4_قانون_بودجه_سال_1375_كل_كشور_2478365567664690380.txt
e6cf8fb40bff,minor,budget_fiscal,Budget-clause implementing bylaw.,2015,آيين نامه اجرايي بند  ب  تبصره  12  قانون بودجه سال 1394 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__ب__تبصره__12__قانون_بودجه_سال_1394_كل_كشور_7424361376553063406.txt
68680546bea4,minor,budget_fiscal,Budget-clause implementing bylaw.,2018,آيين نامه اجرايي بند  هـ  تبصره  10  ماده واحده قانون بودجه سال 1397 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__هـ__تبصره__10__ماده_واحده_قانون_بودجه_سال_1397_كل_كشور_10508232228869396670.txt
3225da5d343a,minor,housing|welfare,Housing purchase/construction facilities bylaw for veterans/martyrs' families — housing subsidy instrument.,2016,آيين نامه تسهيلات خريد يا ساخت مسكن آزادگان، جانبازان و خانواده شهدا,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_تسهيلات_خريد_يا_ساخت_مسكن_آزادگان،_جانبازان_و_خانواده_شهدا_6852187598161795569.txt
31b32a008317,moderate,industry,Bylaw implementing law on continuous improvement of business environment — business climate/regulatory instrument.,2015,آيين نامه اجرايي ماده  16  قانون بهبود مستمر محيط كسب و كار,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__16__قانون_بهبود_مستمر_محيط_كسب_و_كار_16004668517311016835.txt
cbc3ff978af9,minor,budget_fiscal,Budget-clause implementing bylaw for 1374.,1995,آيين نامه اجرايي تبصره 4 قانون بودجه سال 1374كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره_4_قانون_بودجه_سال_1374كل_كشور_13162021169025247643.txt
f8483cf0deed,minor,budget_fiscal,Budget-clause implementing bylaw for 1397.,2018,آيين نامه اجرايي بند  ج  تبصره  4  ماده واحده قانون بودجه سال 1397 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__ج__تبصره__4__ماده_واحده_قانون_بودجه_سال_1397_كل_كشور_2305007206595313163.txt
8275d2412687,minor,budget_fiscal,Budget-clause implementing bylaw for 1381.,2002,آيين نامه  اجرايي  بند ي  تبصره  12 قانون  بودجه  سال  1381 كل  كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه__اجرايي__بند_ي__تبصره__12_قانون__بودجه__سال__1381_كل__كشور_12129861138166880444.txt
35814931b0e9,minor,budget_fiscal,"Implementing instructions for budget bylaw article, 1375.",1996,دستورالعمل اجرايي موضوع ماده 12 آيين نامه اجرايي تبصره 52 قانون بودجه سال 1375 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/دستورالعمل_اجرايي_موضوع_ماده_12_آيين_نامه_اجرايي_تبصره_52_قانون_بودجه_سال_1375_كل_كشور_13087809518628455797.txt
5465c38fb31f,minor,budget_fiscal,Budget-clause implementing bylaw for 1383.,2004,آيين نامه اجرايي بند  چ  تبصره  12  قانون بودجه سال 1383 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_بند__چ__تبصره__12__قانون_بودجه_سال_1383_كل_كشور_2654949163168974242.txt
3697dc755648,moderate,banking_money,Regulation on insurance companies' investment rules — shapes insurance-sector capital allocation.,2006,آئين نامه شماره 60 درخصوص سرمايه گذاري مؤسسات بيمه,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئين_نامه_شماره_60_درخصوص_سرمايه_گذاري_مؤسسات_بيمه_14898934666272175145.txt
ed519d932ad2,moderate,agriculture|subsidies,Implementing bylaw for budget clause on government's share payment to agricultural insurance fund — ag subsidy instrument.,2025,آيين  نامه اجرايي بند  ب  تبصره  11  قان ... ع پرداخت سهم دولت به صندوق بيمه كشاورزي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_aali_votes/آيين__نامه_اجرايي_بند__ب__تبصره__11__قان_..._ع_پرداخت_سهم_دولت_به_صندوق_بيمه_كشاورزي__14016079820386346651.txt
120204a1c332,moderate,agriculture|subsidies,Same as above (duplicate filing) — government payment to agricultural insurance fund.,2025,آيين  نامه اجرايي بند  ب  تبصره  11  قان ... ع پرداخت سهم دولت به صندوق بيمه كشاورزي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/آيين__نامه_اجرايي_بند__ب__تبصره__11__قان_..._ع_پرداخت_سهم_دولت_به_صندوق_بيمه_كشاورزي__14016079820386346651.txt
32e3705e4dc9,moderate,customs_trade,Customs circular on 1404 tariff schedule amendments — directly changes import tariffs.,2025,بخشنامه گمرك در خصوص اصلاحات تعرفه ايي سال 1404,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_aali_votes/بخشنامه_گمرك_در_خصوص_اصلاحات_تعرفه_ايي_سال_1404_10084609404945887602.txt
7818778e1bc8,moderate,customs_trade,Duplicate customs circular on 1404 tariff schedule amendments.,2025,بخشنامه گمرك در خصوص اصلاحات تعرفه ايي سال 1404,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/بخشنامه_گمرك_در_خصوص_اصلاحات_تعرفه_ايي_سال_1404_10084609404945887602.txt
2b2400dbbf17,moderate,customs_trade|agriculture,Court ruling on rice export/import regulations — annuls a trade-restriction rule affecting agricultural trade.,2018,رأي شماره هاي 915 الي 916 هيأت عمومي ديو ... رات و واردات برنج از 31  4  1395 به بعد,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_هاي_915_الي_916_هيأت_عمومي_ديو_..._رات_و_واردات_برنج_از_31__4__1395_به_بعد__5097824372987462736.txt
f4c91f7db1b4,moderate,customs_trade,Court ruling voiding a customs circular on customs valuation — changes tariff/valuation practice.,2012,ابطال بخشنامه شماره 319053 366 102 24 44 ... ن ارزش گمرك ايران، از تاريخ صدور بخشنامه,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/ابطال_بخشنامه_شماره_319053_366_102_24_44_..._ن_ارزش_گمرك_ايران،_از_تاريخ_صدور_بخشنامه_10852371713142038696.txt
5a43dd99fae9,moderate,taxation|fx,Court ruling on taxation of FX exchange-rate-difference profits from exports — affects export tax burden.,2017,رأي شماره هاي 536 ـ 535 هيأت عمومي ديوان ...  ماليات سود تفاوت تسعير ارز حاصل صادرات,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_هاي_536_ـ_535_هيأت_عمومي_ديوان_...__ماليات_سود_تفاوت_تسعير_ارز_حاصل_صادرات__15564468984956903631.txt
a36a1c5b115c,moderate,banking_money|budget_fiscal,Implementing bylaw for treasury settlement bond issuance via securities — public debt/monetary instrument.,2025,آيين نامه اجرايي جزء هاي  1  و  2  بند   ... ز طريق انتشار اسناد  اوراق  تسويه خزانه,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/آيين_نامه_اجرايي_جزء_هاي__1__و__2__بند___..._ز_طريق_انتشار_اسناد__اوراق__تسويه_خزانه__9851026475754963041.txt
e834dfb31311,minor,,placeholder unused,1998,آيين نامه اجرايي ماده  201  قانون مقررات استخدامي سپاه پاسداران انقلاب اسلامي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده__201__قانون_مقررات_استخدامي_سپاه_پاسداران_انقلاب_اسلامي_11782977352317065034.txt
16e3920fccf0,major,oil_gas,1972 agreement between Persian Gulf states and oil companies fixing crude oil price,1972,قانون قرارداد بين كشورهاي منطقه خليج فارس و شركتهاي نفتي در مورد تعيين بهاي نفت خام,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_قرارداد_بين_كشورهاي_منطقه_خليج_فارس_و_شركتهاي_نفتي_در_مورد_تعيين_بهاي_نفت_خام_9782482080307467209.txt
cdc7b58757b2,major,fx|banking_money,"1958 law transferring all foreign-exchange transactions to Bank Melli, foundational FX regime",1958,قانون راجع بواگذاري معاملات ارزي به بانك ملي ايران,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_راجع_بواگذاري_معاملات_ارزي_به_بانك_ملي_ايران_12223705497508296406.txt
cd902cb9f646,major,agriculture|energy,"1968 Water Law nationalizing water resources, foundational for agricultural/water allocation",1968,قانون آب و نحوه ملي شدن آن,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_آب_و_نحوه_ملي_شدن_آن_15454061032465338512.txt
c02bc434b48f,major,agriculture|housing,1972 law dividing garden land under land-reform statutes between landlords and farmers,1972,قانون تقسيم عرصه واعيان باغات مشمول قوانين ومقررات اصلاحات ارضي بين مالكان وزارعان مربوط,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تقسيم_عرصه_واعيان_باغات_مشمول_قوانين_ومقررات_اصلاحات_ارضي_بين_مالكان_وزارعان_مربوط_18237896789527011772.txt
94146c38b4c4,major,budget_fiscal,"National budget law for year 1348, sets government spending/revenue",1969,قانون بودجه سال 1348 كل كشور,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1348_كل_كشور_6527990345157547919.txt
f77d259fa85d,major,customs_trade|privatization,"2014 bylaw establishing free trade-industrial zones, a major trade/investment instrument",2014,آيين نامه چگونگي ايجاد مناطق آزاد تجاري - صنعتي,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_چگونگي_ايجاد_مناطق_آزاد_تجاري_-_صنعتي_6754341791968383565.txt
