market_id,market,countryiso3,admin1,admin2,latitude,longitude
8292,Betijoque,VEN,Trujillo,Rafael Rangel,9.38,-70.73
8293,Carvajal,VEN,Trujillo,San Rafael De Carv,9.33,-70.59
8294,Sabana de Mendoza,VEN,Trujillo,Sucre,9.44,-70.77
8295,La Quebrada,VEN,Trujillo,Urdaneta,9.15,-70.58
8296,Valera,VEN,Trujillo,Valera,9.32,-70.6
8297,"Trujillo, Trujillo",VEN,Trujillo,Trujillo,9.37,-70.44
8298,"San Pablo, Arístides Bastidas",VEN,Yaracuy,Aristides Bastidas,10.25,-68.85
8299,Aroa,VEN,Yaracuy,Bolivar,10.44,-68.89
8300,Chivacoa,VEN,Yaracuy,Bruzual,10.16,-68.9
8301,Cocorote,VEN,Yaracuy,Cocorote,10.32,-68.79
8303,San Javier,VEN,Yaracuy,San Felipe,10.37,-68.67
8304,Sabana de Parra,VEN,Yaracuy,Jose Antonio Paez,10.12,-69.04
8305,Yumare,VEN,Yaracuy,Manuel Monge,10.6,-68.67
8306,Boraure,VEN,Yaracuy,La Trinidad,10.25,-68.77
8307,Nirgua,VEN,Yaracuy,Nirgua,10.15,-68.57
8308,Yaritagua,VEN,Yaracuy,Peña,10.08,-69.12
8309,San Felipe,VEN,Yaracuy,Independencia,10.33,-68.75
8310,Guama,VEN,Yaracuy,Sucre,10.26,-68.82
8311,Urachiche,VEN,Yaracuy,Urachiche,10.16,-69.01
8312,El Guayabo,VEN,Yaracuy,Veroes,10.43,-68.48
8553,Arismendi,VEN,Barinas,Arismendi,8.48,-68.38
8998,Puerto Píritu,VEN,Anzoategui,Fernando De Peñalv,10.06,-65.04
9000,Francisco del Carmen Carvajal,VEN,Anzoategui,Francisco Del Carm,9.91,-65.67
9001,Independencia,VEN,Anzoategui,Independencia,8.17,-63.57
9002,Juan Manuel Cajigal,VEN,Anzoategui,Juan Manuel Cajiga,9.6,-65.19
9003,San Mateo,VEN,Anzoategui,Libertad,9.74,-64.56
9004,Manuel Ezequiel Bruzual,VEN,Anzoategui,Manuel Ezequiel Br,9.94,-65.16
9005,Cantaura,VEN,Anzoategui,Pedro Maria Freite,9.3,-64.35
9006,Píritu,VEN,Anzoategui,Piritu,10.05,-65.03
9007,Santa Ana,VEN,Anzoategui,Santa Ana,9.31,-64.66
9008,Barcelona,VEN,Anzoategui,Simon Bolivar,10.14,-64.68
9009,Caripito,VEN,Monagas,Bolivar,10.11,-63.1
9010,Caicara de Maturín,VEN,Monagas,Cedeño,9.81,-63.61
9011,Punta de Mata,VEN,Monagas,Ezequiel Zamora,9.69,-63.62
9012,Temblador,VEN,Monagas,Libertador,9.01,-62.64
9013,Maturín,VEN,Monagas,Maturin,9.73,-63.19
9014,Santa Bárbara,VEN,Monagas,Santa Barbara,9.6,-63.61
9015,Acosta,VEN,Monagas,Acosta,10.12,-63.73
9016,Caripe,VEN,Monagas,Caripe,10.18,-63.51
9017,Uracoa,VEN,Monagas,Uracoa,9,-62.35
9018,Sotillo,VEN,Monagas,Sotillo,8.7,-62.2
9019,Casanay,VEN,Sucre,Andres Eloy Blanco,10.51,-63.42
9020,Andrés Mata,VEN,Sucre,Andres Mata,10.61,-63.32
9021,Rio Caribe,VEN,Sucre,Arismendi,10.7,-63.11
9022,Carúpano,VEN,Sucre,Bermudez,10.64,-63.26
9023,Cruz Salmerón Acosta,VEN,Sucre,Cruz Salmeron Acos,10.58,-64.25
9024,Tunapuy,VEN,Sucre,Libertador,10.57,-63.11
9025,Cumaná,VEN,Sucre,Sucre,10.43,-64.18
9026,Valdez,VEN,Sucre,Valdez,10.58,-62.3
10282,San Timoteo,VEN,Zulia,Baralt,9.79,-71.06
10283,Cabimas,VEN,Zulia,Cabimas,10.41,-71.46
10284,Sinamaica,VEN,Zulia,Paez,11.08,-71.86
10285,Ciudad Ojeda,VEN,Zulia,Lagunillas,10.2,-71.31
10286,Maracaibo,VEN,Zulia,Maracaibo,10.64,-71.61
10287,Los Puertos de Altagracia,VEN,Zulia,Miranda,10.67,-71.51
10818,Puerto Ayacucho,VEN,Amazonas,Autonomo Atures,5.66,-67.62
11378,Palmasola,VEN,Falcon,Palmasola,10.6,-68.55
11379,San Juan de los Cayos,VEN,Falcon,Acosta,11.17,-68.41
11380,Santa Cruz de Los Taques,VEN,Falcon,Los Taques,11.82,-70.26
11381,Mirimire,VEN,Falcon,San Francisco,11.15,-68.73
11382,Tocópero,VEN,Falcon,Tocopero,11.5,-69.26
11383,La Cruz de Taratara,VEN,Falcon,Sucre,11.06,-69.71
11753,San Fernando de Apure,VEN,Apure,San Fernando,7.89,-67.47
11754,Biruaca,VEN,Apure,Biruaca,7.84,-67.52
11755,San Juan de Payara,VEN,Apure,Pedro Camejo,7.65,-67.6
11756,Achaguas,VEN,Apure,Achaguas,7.78,-68.23
11757,Bruzual,VEN,Apure,Muñoz,8.05,-69.33
11758,Elorza,VEN,Apure,Romulo Gallegos,7.06,-69.5
11759,Guasdualito,VEN,Apure,Paez,7.25,-70.73
