date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,"meat, fish and eggs","Meat (beef, minced)",211,KG,actual,Retail,USD,5,5
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,4.5,4.5
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,3.6,3.6
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.41,0.41
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.38,2.38
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,2.25,2.25
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,2.25,2.25
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,2.16,2.16
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,vegetables and fruits,Bananas,254,KG,actual,Retail,USD,0.6,0.6
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,vegetables and fruits,Carrots,166,KG,actual,Retail,USD,0.68,0.68
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,vegetables and fruits,Onions,173,KG,actual,Retail,USD,1.36,1.36
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,vegetables and fruits,Oranges,360,KG,actual,Retail,USD,1,1
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,vegetables and fruits,Papaya,408,KG,actual,Retail,USD,0.43,0.43
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,vegetables and fruits,Pumpkin,412,KG,actual,Retail,USD,0.26,0.26
2022-08-15,Falcon,Cacique Manaure,Yaracal,7522,10.97,-68.55,vegetables and fruits,Tomatoes,114,KG,actual,Retail,USD,1.19,1.19
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.53,1.53
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.8,0.8
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,0.96,0.96
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,5.03,5.03
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,0.97,0.97
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.75,1.75
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,6.12,6.12
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,3.17,3.17
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.31,0.31
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,miscellaneous food,Sugar,97,KG,actual,Retail,USD,1.5,1.5
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.19,2.19
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,2.99,2.99
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,2.6,2.6
2022-08-15,Falcon,Carirubana,Punto Fijo,7519,11.71,-70.18,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,2.34,2.34
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.42,1.42
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.76,0.76
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,cereals and tubers,Potatoes,83,KG,actual,Retail,USD,1.02,1.02
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,0.89,0.89
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,4.67,4.67
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,1.24,1.24
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.26,1.26
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,3.41,3.41
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,2.9,2.9
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.38,0.38
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,miscellaneous food,Sugar,97,KG,actual,Retail,USD,1.48,1.48
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.27,2.27
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,2.51,2.51
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,2.33,2.33
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,1.99,1.99
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,vegetables and fruits,Carrots,166,KG,actual,Retail,USD,0.85,0.85
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,vegetables and fruits,Onions,173,KG,actual,Retail,USD,1.7,1.7
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,vegetables and fruits,Pumpkin,412,KG,actual,Retail,USD,0.68,0.68
2022-08-15,Falcon,Colina,La Vela de Coro,7528,11.46,-69.57,vegetables and fruits,Tomatoes,114,KG,actual,Retail,USD,1.36,1.36
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,cereals and tubers,Cassava,68,KG,actual,Retail,USD,1.2,1.2
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.4,1.4
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.84,0.84
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,cereals and tubers,Potatoes,83,KG,actual,Retail,USD,1.65,1.65
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,0.97,0.97
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,5.1,5.1
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,1.25,1.25
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.69,1.69
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,"meat, fish and eggs","Meat (beef, minced)",211,KG,actual,Retail,USD,5.1,5.1
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,5.8,5.8
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,2.81,2.81
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.34,0.34
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,miscellaneous food,Sugar,97,KG,actual,Retail,USD,1.59,1.59
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.36,2.36
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,3.07,3.07
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,2.61,2.61
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,2.88,2.88
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,vegetables and fruits,Bananas,254,KG,actual,Retail,USD,0.43,0.43
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,vegetables and fruits,Carrots,166,KG,actual,Retail,USD,0.76,0.76
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,vegetables and fruits,Onions,173,KG,actual,Retail,USD,1.65,1.65
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,vegetables and fruits,Oranges,360,KG,actual,Retail,USD,1,1
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,vegetables and fruits,Papaya,408,KG,actual,Retail,USD,0.89,0.89
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,vegetables and fruits,Pumpkin,412,KG,actual,Retail,USD,0.42,0.42
2022-08-15,Falcon,Dabajuro,Dabajuro,7512,11.02,-70.68,vegetables and fruits,Tomatoes,114,KG,actual,Retail,USD,1.76,1.76
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.43,1.43
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.73,0.73
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,1.03,1.03
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,5.25,5.25
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,1.5,1.5
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.43,1.43
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,"meat, fish and eggs","Meat (beef, minced)",211,KG,actual,Retail,USD,6.5,6.5
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,2.75,2.75
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,3.62,3.62
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.24,0.24
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,miscellaneous food,Sugar,97,KG,actual,Retail,USD,1.47,1.47
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,2.2,2.2
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,1.7,1.7
2022-08-15,Falcon,Falcon,Pueblo Nuevo (Falcon),7532,11.95,-69.92,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,2.43,2.43
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.25,1.25
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.8,0.8
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,1,1
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,5.12,5.12
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,1.12,1.12
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.76,1.76
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,2.73,2.73
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,3.04,3.04
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.27,0.27
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,miscellaneous food,Sugar,97,KG,actual,Retail,USD,1.37,1.37
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.46,2.46
2022-08-15,Falcon,Federacion,Churuguara,7511,10.81,-69.54,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,2.71,2.71
2022-08-15,Falcon,Jacura,Pueblo Nuevo,7517,11.11,-68.84,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,5,5
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.17,1.17
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.59,0.59
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,cereals and tubers,Potatoes,83,KG,actual,Retail,USD,1.11,1.11
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,0.82,0.82
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,4.77,4.77
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,0.84,0.84
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,0.7,0.7
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,3,3
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.28,0.28
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,miscellaneous food,Sugar,97,KG,actual,Retail,USD,1.47,1.47
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.29,2.29
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,1.93,1.93
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,1.88,1.88
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,1.38,1.38
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,vegetables and fruits,Bananas,254,KG,actual,Retail,USD,0.43,0.43
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,vegetables and fruits,Carrots,166,KG,actual,Retail,USD,1.02,1.02
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,vegetables and fruits,Onions,173,KG,actual,Retail,USD,1.36,1.36
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,vegetables and fruits,Oranges,360,KG,actual,Retail,USD,1.02,1.02
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,vegetables and fruits,Pumpkin,412,KG,actual,Retail,USD,0.68,0.68
2022-08-15,Falcon,Mauroa,Mene de Mauroa,7516,10.68,-71.04,vegetables and fruits,Tomatoes,114,KG,actual,Retail,USD,1.36,1.36
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,cereals and tubers,Cassava,68,KG,actual,Retail,USD,1.48,1.48
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.51,1.51
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.85,0.85
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,cereals and tubers,Potatoes,83,KG,actual,Retail,USD,1.62,1.62
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,1.03,1.03
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,4.51,4.51
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,1.19,1.19
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,1.76,1.76
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,"meat, fish and eggs","Meat (beef, minced)",211,KG,actual,Retail,USD,4.5,4.5
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,6.61,6.61
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,3.56,3.56
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,miscellaneous food,Salt,185,KG,actual,Retail,USD,0.37,0.37
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,oil and fats,Margarine,1260,0.5 KG,actual,Retail,USD,2.39,2.39
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,oil and fats,Oil (vegetable),96,850 ML,actual,Retail,USD,3.33,3.33
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,pulses and nuts,"Beans (black, dry)",1259,KG,actual,Retail,USD,2.53,2.53
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,pulses and nuts,Lentils,108,900 G,actual,Retail,USD,2.71,2.71
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,vegetables and fruits,Bananas,254,KG,actual,Retail,USD,0.51,0.51
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,vegetables and fruits,Carrots,166,KG,actual,Retail,USD,0.68,0.68
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,vegetables and fruits,Onions,173,KG,actual,Retail,USD,1.78,1.78
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,vegetables and fruits,Oranges,360,KG,actual,Retail,USD,0.93,0.93
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,vegetables and fruits,Papaya,408,KG,actual,Retail,USD,1,1
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,vegetables and fruits,Pumpkin,412,KG,actual,Retail,USD,0.34,0.34
2022-08-15,Falcon,Miranda,Coro,7523,11.4,-69.68,vegetables and fruits,Tomatoes,114,KG,actual,Retail,USD,1.55,1.55
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,cereals and tubers,Cassava,68,KG,actual,Retail,USD,1.37,1.37
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,cereals and tubers,Potatoes,83,KG,actual,Retail,USD,1.2,1.2
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,vegetables and fruits,Bananas,254,KG,actual,Retail,USD,0.68,0.68
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,vegetables and fruits,Carrots,166,KG,actual,Retail,USD,0.68,0.68
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,vegetables and fruits,Onions,173,KG,actual,Retail,USD,1.37,1.37
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,vegetables and fruits,Oranges,360,KG,actual,Retail,USD,1.03,1.03
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,vegetables and fruits,Papaya,408,KG,actual,Retail,USD,0.85,0.85
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,vegetables and fruits,Pumpkin,412,KG,actual,Retail,USD,0.34,0.34
2022-08-15,Falcon,Monseñor Iturriza,Chichiriviche,7529,10.94,-68.28,vegetables and fruits,Tomatoes,114,KG,actual,Retail,USD,1.37,1.37
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,cereals and tubers,Maize flour,76,KG,actual,Retail,USD,1.42,1.42
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,cereals and tubers,Pasta,112,0.5 KG,actual,Retail,USD,0.86,0.86
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,cereals and tubers,Rice (white),133,KG,actual,Retail,USD,1.13,1.13
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,USD,4.78,4.78
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,"meat, fish and eggs","Fish (sardine, canned)",321,170 G,actual,Retail,USD,0.8,0.8
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,"meat, fish and eggs","Fish (tuna, canned)",322,140 G,actual,Retail,USD,2.18,2.18
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,"meat, fish and eggs","Meat (chicken, breast)",1258,KG,actual,Retail,USD,5.13,5.13
2022-08-15,Falcon,Piritu,Chimpire,7510,11.35,-69.12,milk and dairy,Cheese (white),1257,KG,actual,Retail,USD,2.22,2.22
