date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
n/a,1973,Land Use,Agricultural land share of total land area -- Iran,14,percent,"Comparator country figures also printed: Iraq 18%, Afghanistan 22%, Turkey 34%.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Agricultural land share of total land area -- Iraq,18,percent,Comparator figure printed alongside Iran's.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Agricultural land share of total land area -- Afghanistan,22,percent,Comparator figure printed alongside Iran's.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Agricultural land share of total land area -- Turkey,34,percent,Comparator figure printed alongside Iran's.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Northern Iran share of national wheat and barley production,60,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Northern Iran share of national cotton production,70,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Northern Iran share of national tobacco production,75,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Northern Iran share of national rice and dried-fruit production,80,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Northern Iran share of national citrus production,90,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,"Northern Iran share of national tea, jute, and kenaf production",100,percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Share of agricultural land under cultivation in any one year,33,percent,"""only about one-third""; remainder kept fallow to conserve moisture.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Additional land classified as potentially cultivable farmland,66,million acres,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
March 1968-March 1973 (Fourth Plan),1973,Land Use,Government-planned increase in cultivable land during Fourth Development Plan,2 (1.2 million acres),percent,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Share of agricultural land irrigated,25,percent,"""only about one-fourth""",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
1970,1970,Land Use,Ghanats (underground irrigation channels) in use,7000,count,"Compared with 20,000 in the 1950s.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
1950s,1955,Land Use,Ghanats (underground irrigation channels) in use,20000,count,"Comparator figure for 1950s vs 1970's 7,000.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,"Total land utilization -- Desert, waste, or urban",51,percent,Figure 4 top pie (composition of Iran's total 402 million acres).,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Total land utilization -- Farmland,14,percent,Figure 4 top pie; farmland total also given as 55.6 million acres.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Total land utilization -- Potentially cultivable,16,percent,Figure 4 top pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Total land utilization -- Forested,11,percent,Figure 4 top pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Total land utilization -- Grazing and other,8,percent,Figure 4 top pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Wheat,18,percent,"Figure 4 bottom pie (composition of farmland, field crops = 30% total).",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Barley,5,percent,Figure 4 bottom pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Rice,2,percent,Figure 4 bottom pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Cotton,1,percent,Figure 4 bottom pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Permanent crops,1,percent,Figure 4 bottom pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Other field crops,3,percent,Figure 4 bottom pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Permanent meadows and pastures,49,percent,Figure 4 bottom pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Farmland composition -- Fallow,21,percent,Figure 4 bottom pie.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.12 (printed p.4)"
n/a,1973,Land Use,Total water storage capacity from named large dams,1.4,million acres (irrigated equivalent),"As printed: ""...provide electric power... store water for a total of about 1.4 million acres."" Refers to the six named dam projects (Shahbanu Farah, Aras, Shah Abbas Kabir, Mohammad Reza Shah, Shahnaz, Reza Shah Kabir).",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.13 (printed p.5)"
started Aug 1970,1970,Land Use,Reza Shah Kabir Dam (Karun river) construction cost,107,million USD,"Started August 1970, expected completion within 5 years; will irrigate 400,000 acres of farmland.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.13 (printed p.5)"
1960 vs 1968,1968,Land Use,Number of farm cooperatives,"711 (1960) / 8,865 (end 1968)",count,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.16 (printed p.8)"
n/a,1973,Land Use,Average farmer's plot size,2.5-12.5,acres,,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.16 (printed p.8)"
1960s,1969,Land Use,Annual growth rate in agricultural output (government data),3.7,percent,"Actual rate probably closer to 3%, per the source; Fourth Plan goal was 4.4%.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.16 (printed p.8)"
Fourth Plan goal,1973,Land Use,Fourth Development Plan target farm-production growth rate,5,percent per year (minimum),,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.16 (printed p.8)"
1951,1951,Land Use,Land reform program launch year,1951,year,Launched with distribution of the Shah's own landholdings.,IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.16 (printed p.8)"
1961/62-1965/66 average,1965,Agriculture,Production of major crops -- Wheat,2801,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1966/67,1967,Agriculture,Production of major crops -- Wheat,3190,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1967/68,1968,Agriculture,Production of major crops -- Wheat,4000,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1968/69,1969,Agriculture,Production of major crops -- Wheat,4400,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1969/70,1970,Agriculture,Production of major crops -- Wheat,3900,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1970/71,1971,Agriculture,Production of major crops -- Wheat,3800,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1971/72,1972,Agriculture,Production of major crops -- Wheat,3000,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1961/62-1965/66 average,1965,Agriculture,Production of major crops -- Rice (paddy),766,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1966/67,1967,Agriculture,Production of major crops -- Rice (paddy),875,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1967/68,1968,Agriculture,Production of major crops -- Rice (paddy),954,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1968/69,1969,Agriculture,Production of major crops -- Rice (paddy),1000,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1969/70,1970,Agriculture,Production of major crops -- Rice (paddy),1046,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1970/71,1971,Agriculture,Production of major crops -- Rice (paddy),1138,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1971/72,1972,Agriculture,Production of major crops -- Rice (paddy),1046,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1961/62-1965/66 average,1965,Agriculture,Production of major crops -- Barley,980,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1966/67,1967,Agriculture,Production of major crops -- Barley,1000,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1967/68,1968,Agriculture,Production of major crops -- Barley,1030,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1968/69,1969,Agriculture,Production of major crops -- Barley,1160,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1969/70,1970,Agriculture,Production of major crops -- Barley,1200,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1970/71,1971,Agriculture,Production of major crops -- Barley,1200,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1971/72,1972,Agriculture,Production of major crops -- Barley,800,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1961/62-1965/66 average,1965,Agriculture,Production of major crops -- Tobacco,16,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1966/67,1967,Agriculture,Production of major crops -- Tobacco,20,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1967/68,1968,Agriculture,Production of major crops -- Tobacco,22,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1968/69,1969,Agriculture,Production of major crops -- Tobacco,20,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1969/70,1970,Agriculture,Production of major crops -- Tobacco,17,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1970/71,1971,Agriculture,Production of major crops -- Tobacco,18,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1971/72,1972,Agriculture,Production of major crops -- Tobacco,18,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1961/62-1965/66 average,1965,Agriculture,Production of major crops -- Cotton,117,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1966/67,1967,Agriculture,Production of major crops -- Cotton,115,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1967/68,1968,Agriculture,Production of major crops -- Cotton,118,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1968/69,1969,Agriculture,Production of major crops -- Cotton,160,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1969/70,1970,Agriculture,Production of major crops -- Cotton,155,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1970/71,1971,Agriculture,Production of major crops -- Cotton,150,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1971/72,1972,Agriculture,Production of major crops -- Cotton,130,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1961/62-1965/66 average,1965,Agriculture,Production of major crops -- Cottonseed,258,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1966/67,1967,Agriculture,Production of major crops -- Cottonseed,230,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1967/68,1968,Agriculture,Production of major crops -- Cottonseed,233,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1968/69,1969,Agriculture,Production of major crops -- Cottonseed,305,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
1969/70,1970,Agriculture,Production of major crops -- Cottonseed,314,thousand metric tons,"Figure 10; 1967/68 Barley cell printed as ""1,0?0"" (partially obscured digit) -- transcribed as 1030 per visual best-read; treat with light caution.",IRN,cia-nis33-iran-economy-1973,"NIS 33 ""Iran: The Economy"" (National Intelligence Survey), May 1973 (research completed Jan 1973), PDF p.17 (printed p.9)"
