date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
"1973-1977 (Fifth Plan, current)",1974,Government finance,Planned investment in oil and gas development,5000000000,USD,Tehran plans to invest $5 billion in oil and gas development during the current Plan.,IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1975 (projected),1975,Trade,"Iranian imports of goods and services incl. arms, expected annual level",10000000000,USD/year,"Iranian imports of goods and services, including arms, expected to swell to about $10 billion annually by 1975.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1975 (projected),1975,Trade,Resulting US sales to Iran,1600000000,USD (at least),"The $10 billion import level was expected to result in US sales of at least $1.6 billion, with the US needing to counter growing Japanese/West European competition to retain share.",IRN,cia-shah-economy-overview-1974,"CIA/OER, ""Iran: An Overview of the Shah's Economy"" (S-6549), 16 October 1974, PDF p.3"
1985,1985,Oil production & trade,"Iran average oil export level, last year (1985)",1.6,million barrels/day,Assumed baseline: Tehran maintained last year's (1985) average oil export level of about 1.6 million b/d.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Oil production & trade,Assumed oil price for 1986 FX-earnings estimate,13,USD/barrel,Estimate assumes an oil price of $13 per barrel.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Foreign exchange,Iran estimated drop in real foreign exchange earnings,50-55,percent,"Assuming a $13/barrel price and no significant dollar appreciation, Iran faces a 50-55 percent drop in real foreign exchange earnings in 1986.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Oil production & trade,Iran intended oil export increase target,2-2.8,million barrels/day,"Iran intends to increase oil exports to between 2 and 2.8 million b/d, though shortages of skilled personnel and facility deterioration will make this hard to sustain.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986 (Jan-Apr),1986,Oil production & trade,"Iran oil exports, first four months of 1986 average",1.5,million barrels/day,Exports for the first four months of 1986 averaged 1.5 million b/d.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Foreign exchange,Oil share of Iran's foreign exchange earnings,90,percent (over),Oil revenues constitute over 90 percent of Iran's foreign exchange earnings.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Trade,Oil-funded imports share of Iran's food requirements,20-25,percent,"Oil-funded imports provide 20-25 percent of Iran's food requirements, plus the vast bulk of its war materiel and essential industrial/transport/construction supplies.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Foreign exchange,Iran estimated 1986 foreign exchange revenues,8500000000,USD,Estimated Iranian foreign exchange revenue for 1986: $8.5 billion; maintaining recent food/military import levels would use almost three-fourths of this.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Trade,Iran required import cut,33,percent (one-third),Tehran will need to slash imports by one-third in 1986 despite expected foreign loans from Japan and West European trading partners.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1984-1986,1986,Trade,Iran cumulative import decline since 1984,50,percent (about),A one-third 1986 cut would represent about a 50 percent decline in Iran's imports since 1984.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Foreign exchange,Iran foreign exchange reserve cushion,3,months of imports,"Iran's limited foreign exchange assets amount to about three months of imports, serving as a cushion against a complete oil-export cutoff -- probably will avoid drawing these down.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.3"
1986,1986,Labor & Employment,Iran official unemployment rate,15,percent,"Official Iranian estimates place unemployment at 15 percent, or about 2 million people.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1986,1986,Labor & Employment,Iran official unemployment count,2000000,persons,Official estimate of approximately 2 million unemployed.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1986-04,1986,Labor & Employment,Iran 'false employment' + unemployment share of labor force,39,percent,"Former head of Iran's Planning and Budget Ministry complained in April 1986 that ""false employment"" (government make-work) plus unemployment account for 39 percent of Iran's 12.3 million labor force, per press reports.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1986,1986,Labor & Employment,Iran total labor force,12300000,persons,Iran's labor force cited at 12.3 million as of this 1986 assessment.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1986,1986,Foreign exchange,Iraq estimated 1986 foreign exchange earnings,7400000000,USD,Iraqi foreign exchange earnings estimated to fall to $7.4 billion in 1986.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1985,1985,Foreign exchange,Iraq 1985 foreign exchange earnings,11700000000,USD,"Iraqi foreign exchange earnings in 1985 were $11.7 billion, the prior-year baseline for the 1986 decline.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1986,1986,Trade,Iraq required import cut,30-35,percent,Baghdad will need to cut imports by 30-35 percent given the FX earnings decline; deeper if Saudi Arabia/Kuwait do not provide additional cash assistance.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1986,1986,Foreign exchange,Oil exports share of Iraq's foreign exchange earnings,98,percent,"Iraqi oil exports, already near capacity, represent 98 percent of foreign exchange earnings -- Baghdad cannot appreciably raise revenues.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.4"
1986,1986,External debt,Iraq missed payment to France (first-time default),120000000,USD,"US Embassy in Baghdad reports Iraq failed for the first time to make a $120 million payment to France, its major creditor and an important arms supplier; Paris suspended short/medium-term credit as a result.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.5"
1986,1986,External debt,Iraq letters-of-credit payment failures,1000000000,USD (up to),Baghdad's failure to honor up to $1 billion in letters of credit -- the principal manner of conducting trade -- caused many banks to refuse handling Iraqi L/Cs.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.5"
1986,1986,External debt,Iraq debt payments sought for rescheduling,3000000000,USD (at least),Iraq reportedly seeking to reschedule at least $3 billion in debt payments due in 1986.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.5"
1986,1986,Foreign exchange,Iraq required FX share to maintain military/food imports,90,percent (almost),"To maintain recent import levels of military goods and food, Iraq would have to use almost 90 percent of its estimated 1986 foreign exchange revenues.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.5"
1985,1985,Labor & Employment,Iraq foreign workers,1200000,persons,Iraq had about 1.2 million foreign workers in 1985; the regime is trying to reduce this number despite a war-intensified labor shortage.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.5"
1986,1986,Foreign exchange,Tehran readily-accessible foreign exchange assets,3000000000,USD,"Tehran has about $3 billion in readily accessible foreign exchange assets, versus almost none for Baghdad.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,External debt,Iraq debt owed to non-Arab creditors,9-10,USD billion,"Iraq owes $9-10 billion to non-Arab debtors and has virtually no access to further credit, versus Iran's negligible foreign debt.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1987 (planned),1987,Oil production & trade,New Iraq pipeline through Turkey completion,1987-05,date,"A new Iraqi oil pipeline through Turkey is scheduled for completion in May 1987, expected to raise export capacity.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,Macro / National Accounts,"Oil sector share of domestic output, Iraq",66.7,percent (two-thirds),Two-thirds of Iraq's domestic output is directly linked to oil.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,Macro / National Accounts,"Oil sector share of domestic output, Iran",33,percent (about one-third),"The oil sector contributes only about one-third of domestic output in Iran, versus two-thirds for Iraq.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1980-1986,1986,Foreign aid,"Saudi/Kuwait financial support to Iraq since war start, cumulative",25000000000,USD,About $25 billion in financial support from Saudi Arabia and Kuwait since the beginning of the war has helped maintain Iraqi living standards.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,Oil production & trade,Decline in Iraq oil revenues this year,4300000000,USD,Total Arab aid this year is unlikely to offset the $4.3 billion decline in Iraqi oil revenues unless substantial additional cash payments are made.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1985,1985,Foreign aid,"Saudi/Kuwait financial assistance to Iraq, 1985 level",2.0-2.5,USD billion,"Financial assistance from Saudi Arabia and Kuwait for 1986 will probably be even less than last year's (1985) $2.0-2.5 billion, absent substantial additional cash payments.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,Foreign aid,Iraq oil aid figure announced by Baghdad,300000,barrels/day,"The 300,000 b/d oil-aid figure announced by Baghdad (crude sold on Iraq's behalf, mainly via the Neutral Zone) may be overstated because of low Neutral Zone production.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,Oil production & trade,Neutral Zone share of Iraq's oil aid,80,percent,"Low production in the Neutral Zone, which accounts for 80 percent of Iraq's oil aid, may make the 300,000 b/d aid figure overstated.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,Oil production & trade,Iraq-Saudi pipeline flow restriction,150000,barrels/day (below capacity),"Saudi Arabia has restricted Iraqi crude flow through the Iraq-Saudi pipeline to about 150,000 b/d below its 500,000 b/d capacity, depriving Baghdad of several hundred million dollars since last November (1985).",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986,1986,Oil production & trade,Iraq-Saudi pipeline capacity,500000,barrels/day,"Full nameplate capacity of the Iraq-Saudi pipeline, against which the ~150,000 b/d restriction is measured.",IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.7"
1986-05 (early May),1986,Conflict & Violence,Iranian tanker attacks on Saudi shipping,3,tankers,In early May 1986 Iran attacked three Saudi tankers in the Gulf to underscore its warning that Saudi Arabia/Kuwait should restrain oil production and discontinue economic support for Iraq.,IRN,cia-iran-iraq-economic-balance-1986,"CIA Directorate of Intelligence, NESA M 86-20082, ""Iran-Iraq: The Economic Balance"", 6 June 1986, PDF p.6"
1988 (as of 10 Nov),1988,Oil production & trade,"Iraq oil reserves, proved",100000000000,barrels,Iraq's proved oil reserves increased this year to 100 billion barrels -- second in the world only to Saudi Arabia's.,IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii/1"
1990 (projected),1990,Oil production & trade,Iraq projected oil exports by 1990,3.3,million barrels/day,"Assuming oil prices of $13-16/barrel, Iraq could earn $15-20 billion in oil revenues annually by 1990 (highest since 1980) on exports of about 3.3 million b/d.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii"
1990 (projected),1990,Oil production & trade,Iraq projected annual oil revenue by 1990,15-20,USD billion,Iraq could earn $15-20 billion in oil revenues annually by 1990 -- the highest level since 1980 -- given the assumed price/export scenario.,IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii"
1988,1988,External debt,Iraq non-Arab military and civilian debt,40000000000,USD,Servicing Iraq's $40 billion non-Arab military and civilian debt will probably be Baghdad's major postwar challenge.,IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii"
1988 (midyear),1988,Oil production & trade,Iran current oil production capacity,3,million barrels/day,Iran's current oil production capacity of roughly 3 million b/d is about half what it was 10 years ago (i.e. under the Shah).,IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii"
1978,1978,Demographics & Population,Iran population when the Shah fell,37000000,persons,"Iran's population was 37 million when the Shah fell (1978/79), used as the baseline for the war-era population surge.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iv"
1988 (midyear),1988,Demographics & Population,"Iran population, midyear 1988",52000000,persons,Rapid population growth swelled Iran's population from about 37 million (1978) to 52 million by midyear 1988.,IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iv"
1980-1986,1986,External debt,Iraq non-Arab military/civilian debt rise,5 to 40,USD billion,"Iraq's heavy borrowing caused its non-Arab military and civilian debt to rise from about $5 billion in 1979 to $40 billion in 1987, funding both military and civilian imports Tehran could not match.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1980-1987,1987,Foreign aid,Interest-free 'soft' loans to Iraq from Arab Gulf allies since 1980,35000000000,USD,"Iraq received $35 billion in interest-free 'soft' loans since 1980 from its Arab allies in the Persian Gulf (mainly Saudi Arabia and Kuwait), via Neutral Zone crude oil sales on Iraq's behalf and cash payments.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1980-1987,1987,Foreign exchange,Iraq foreign assets (reserves + gold) decline,36 to 3,USD billion,"Iraq's foreign assets, including foreign exchange reserves and gold, fell from $36 billion in 1980 to about $3 billion in 1987.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1987,1987,Trade,Iraq civilian imports level,7100000000,USD,"In 1987, Iraq's civilian imports amounted to $7.1 billion -- roughly half the 1980 level -- as Baghdad restricted civilian imports to essentials like food and medicine plus defense/oil-industry materials.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1980-1986,1980,Foreign exchange,Iran foreign assets decline,19 to 5.5,USD billion,"Iran's foreign assets fell from about $19 billion in 1980 to $5.5 billion 'last year' (1987), of which only an estimated $1.5 billion are liquid reserves.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1987,1987,Foreign exchange,Iran liquid reserves within total foreign assets,1500000000,USD,"Of Iran's $5.5 billion in foreign assets, only an estimated $1.5 billion are liquid reserves.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1986,1986,Trade,"Iran civilian imports level, 1986",8000000000,USD (about),Iranian civilian imports in 1986 -- about $8 billion -- were nearly 35 percent less than in 1980 despite a near-20-percent increase in population over the period.,IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1980-1986,1986,Trade,Iran civilian import decline vs. 1980,35,percent (nearly),Iran's 1986 civilian imports were nearly 35 percent below the 1980 level despite population growth of nearly 20 percent over the same period.,IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1980-1986,1986,Demographics & Population,"Iran population increase, 1980-1986",20,percent (near),"Iran's population grew by near 20 percent between 1980 and 1986, the denominator against which the real import-cut burden is measured.",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1"
1987 (demographics: midyear 1988),1987,Demographics,Population -- Iran,52000000,persons,"Table 1 comparison row 'Population', Iran column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
1987 (demographics: midyear 1988),1987,Demographics,Population -- Iraq,17600000,persons,"Table 1 comparison row 'Population', Iraq column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
1987 (demographics: midyear 1988),1987,Demographics,"Population, male -- Iran",26500000,persons,"Table 1 comparison row 'Population, male', Iran column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
1987 (demographics: midyear 1988),1987,Demographics,"Population, male -- Iraq",9000000,persons,"Table 1 comparison row 'Population, male', Iraq column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
1987 (demographics: midyear 1988),1987,Demographics,"Population, female -- Iran",25500000,persons,"Table 1 comparison row 'Population, female', Iran column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
1987 (demographics: midyear 1988),1987,Demographics,"Population, female -- Iraq",8600000,persons,"Table 1 comparison row 'Population, female', Iraq column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
1987 (demographics: midyear 1988),1987,Demographics,Population growth rate -- Iran,3.2,percent/year,"Table 1 comparison row 'Population growth rate', Iran column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
1987 (demographics: midyear 1988),1987,Demographics,Population growth rate -- Iraq,3.5,percent/year,"Table 1 comparison row 'Population growth rate', Iraq column. 1987 data except demographics (midyear 1988).",IRN,cia-iran-iraq-war-weary-economies-1988,"CIA NESA 88-10067, Table 1 ""How Do Iran-Iraq Economies Compare?"" (1987 data; demographics midyear 1988), November 1988, PDF p.9"
